,Limonene,alpha-Pinene,para-Cymene,"1,8-Cineole",Methyl chavicol,Elemol,3-Hexenyl acetate,Nonyl acetate,1-Nonanol,2-Nonanone,2-Undecanone,2-Heptanone,2-Decanone,2-Tridecanone,2-Octanone,Octyl acetate,Dibutyl phthalate,2-Nonanol,Phytol,2-Undecanol,o-Cresyl methyl ether,3-Hexenol-1,2-Dodecanone,2-Nonyl acetate,10-Methyl-2-undecanone,2-Undecyl acetate,2-Octyl acetate,2-Decyl acetate,9-Methyl-2-decanone,8-Methyl-2-nonanone,11-Methyl-2-dodecanone,Ethylbenzene,2-Hydroxy-4-methoxy-acetophenone,Angelicin,2-Octanol,4-Methyl-2-heptanone
"Rue (China) 1 - Ruta graveolens L., fam. Rutaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.2317,0.365,0.0,0.0134,0.0047,0.0,0.0,0.0,0.0105,0.0,0.0067,0.0,0.0,0.0176,0.2203,0.0,0.0273,0.004,0.0043,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0025
"Rue (China) 2 - Ruta graveolens L., fam. Rutaceae",0.0009,0.0002,0.0002,0.0016,0.001,0.0018,0.0004,0.0057,0.0007,0.2412,0.3682,0.0001,0.0131,0.008,0.0024,0.0021,0.0025,0.0073,0.0086,0.0,0.0002,0.0007,0.0054,0.1671,0.0128,0.0304,0.0048,0.0033,0.0012,0.0006,0.0007,0.0002,0.0002,0.0036,0.0002,0.0
