,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,Myrcene,beta-Phellandrene,delta-3-Carene,alpha-Terpinene,alpha-Terpineol,Linalool,Terpinen-4-ol,Camphor,alpha-Copaene,Nerol,"1,8-Cineole",Myrtenal,Myrtenol,o-Allyltoluene,alpha-Guaiene,Isocaryophyllene,Carvone,cis-Carveol,delta-Copaene
"Amomum villosum (China) 1c - Amomum villosum Lour., fam. Zingiberaceae",0.072,0.011,0.019,0.344,0.098,0.0015,0.127,0.029,0.002,0.001,0.0,0.006,0.002,0.0,0.273,0.0,0.002,0.0015,0.002,0.002,0.002,0.0005,0.0,0.0,0.0,0.0005
"Amomum villosum (China) 1f fruit - Amomum villosum Lour., fam. Zingiberaceae",0.072,0.011,0.019,0.344,0.098,0.0015,0.127,0.026,0.002,0.001,0.001,0.006,0.002,0.006,0.273,0.0001,0.002,0.0015,0.002,0.002,0.002,0.0001,0.002,0.0001,0.0001,0.0
