,beta-Caryophyllene,delta-Cadinene,gamma-Cadinene,alpha-Humulene,alpha-Copaene,Caryophyllene oxide,Terpinen-4-yl acetate,Germacrene D,beta-Farnesene,beta-Cubebene,gamma-Elemene,Germacrene (unknown isomer),beta-Elemene,alpha-Farnesene,alpha-Cubebene,beta-Bourbonene,Bicyclogermacrene,Farnesene (unknown isomer),Sesquiterpene hydrocarbons (unknown),alpha-Elemene,Precocene II,Precocene I
"Ageratum conyzoides flower (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.196,0.0125,0.0065,0.0315,0.0005,0.0005,0.0055,0.0215,0.0645,0.0085,0.001,0.002,0.0035,0.035,0.0025,0.0001,0.0195,0.0105,0.0055,0.003,0.1,0.4505
"Ageratum conyzoides plant 2 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.1895,0.0055,0.0035,0.0205,0.0001,0.0045,0.006,0.0075,0.0435,0.005,0.004,0.0015,0.0035,0.0525,0.0001,0.0001,0.0125,0.0045,0.007,0.0035,0.108,0.488
