,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Borneol,beta-Caryophyllene,delta-Cadinene,Myrcene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,Piperitone,gamma-Terpinene,Thymol,"1,8-Cineole",Germacrene D,Menthol,4-Thujanol,(E)-beta-Ocimene,(Z)-beta-Ocimene,Bisabolene (unknown isomer),beta-Bourbonene,3-Octanol,Perillyl alcohol,Pulegone,Menthone,Isomenthone,Isomenthol,Piperitenone,Neomenthol,Piperitenone oxide,Piperitone oxide,Dihydrocarveol,Menthofuran,Menthyl acetate,3-Octyl acetate,Piperitenol
"Mentha longifolia (Italy) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",0.0071,0.0019,0.0004,0.0,0.0001,0.0,0.0007,0.0,0.0076,0.0001,0.0014,0.0012,0.0007,0.0001,0.0018,0.0077,0.0001,0.0043,0.0162,0.037,0.0064,0.0006,0.0,0.0057,0.0,0.0007,0.0072,0.0001,0.0008,0.0023,0.0003,0.001,0.0085,0.0002,0.7743,0.0,0.0,0.0019,0.0013,0.0,0.0
"Mentha suaveolens (Greece) - Mentha suaveolens Ehrh., fam Lamiacae (Labiatae)",0.0085,0.0028,0.0012,0.0001,0.0,0.005,0.0068,0.003,0.0035,0.0,0.0015,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0086,0.0148,0.0,0.0,0.0001,0.0,0.0125,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7583,0.0116,0.0089,0.0,0.0,0.005,0.0076
