,beta-Caryophyllene,Myrcene,alpha-Humulene,alpha-Terpineol,Linalool,Geraniol,Caryophyllene oxide,Farnesene (unknown isomer),Humulene epoxide II,Geranyl isobutyrate,Humulene epoxide I,Citral,Humulene epoxide III,Humulene diepoxide,Humulenol II
"Hop (Galena cultivar) (USA) - Humulus lupulus L., cultivar Galena, fam. Cannabaceae",0.1037,0.6035,0.2237,0.011,0.0058,0.0012,0.0012,0.0015,0.0031,0.0258,0.0004,0.0149,0.0008,0.0003,0.0031
"Hop (Nugget cultivar) (USA) - Humulus lupulus L., cultivar Nugget, fam. Cannabaceae",0.0874,0.6379,0.2224,0.0064,0.0182,0.0007,0.0008,0.0016,0.0027,0.0086,0.0003,0.0122,0.0002,0.0005,0.0001
