,Limonene,beta-Caryophyllene,alpha-Terpineol,Linalool,Terpinen-4-ol,Geraniol,Geranyl acetate,alpha-Copaene,Citronellol,Nerol,Citronellal,"1,8-Cineole",trans-Carveol,Hexanal,Neryl acetate,Nerolidol (unknown isomer),(E)-Nerolidol,Carvone,cis-Carveol,Elemol,Nonanal,Octanal,Decanal,Undecanal,Perilla aldehyde,Geranial,Neral,(Z)-3-Hexenol,(E)-2-Hexenol,1-Octanol,Hexyl acetate,1-Decanol,"cis-Limonene-1,2-epoxide","trans-Limonene-1,2-epoxide",1-Nonanol,Perillyl alcohol,Octanoic acid,Nootkatone,Valencene,Dodecanal,Octyl acetate,Piperitenone,Methyl heptenone (unknown structure),Heptanal,(E)-2-Nonenal,Dihydrocarvone,"(E,E)-alpha-Farnesene",Heptyl acetate,alpha-Sinensal,beta-Sinensal,Decanoic acid,2-Decenal,1-Heptanol,"2,4-Decadienal",Heptyl formate,Nonyl propionate
"Orange, sweet (USA) (hydrocarbon-free) - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.0,0.0,0.029,0.2999,0.0,0.0043,0.0,0.0,0.0063,0.0025,0.0287,0.0009,0.0038,0.0004,0.0,0.0012,0.0,0.0107,0.0005,0.0048,0.0257,0.1417,0.1272,0.0094,0.0189,0.0421,0.0281,0.0002,0.0,0.0225,0.0006,0.0094,0.0023,0.0063,0.0026,0.001,0.0012,0.0073,0.0,0.0193,0.0,0.0,0.0,0.0009,0.0022,0.001,0.0,0.0001,0.0024,0.0031,0.0047,0.0,0.0011,0.0029,0.0,0.0013
"Orange, sweet, deterpenized - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.002,0.0005,0.03,0.28,0.004,0.002,0.001,0.0005,0.0,0.012,0.032,0.0,0.0,0.0,0.002,0.0,0.002,0.0001,0.0,0.004,0.023,0.116,0.17,0.008,0.011,0.065,0.04,0.0,0.0001,0.025,0.0,0.003,0.0,0.002,0.0,0.0,0.0,0.005,0.001,0.033,0.004,0.002,0.0001,0.0001,0.0,0.0,0.0005,0.0,0.006,0.009,0.0,0.001,0.0,0.001,0.0001,0.0
