,Limonene,alpha-Pinene,Camphor,"1,8-Cineole",Safrole
"Sassafras bark (Brazil) - Sassafras albidum (Nutt.) Nees, fam. Lauraceae",0.0289,0.0032,0.3326,0.018,0.4452
"Sassafras leaf (Brazil) - Sassafras albidum (Nutt.) Nees, fam. Lauraceae",0.0499,0.0149,0.3067,0.0178,0.4497
