Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Spain) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.952430171881625,(E)-Anethole,0.96,Methyl chavicol,0.02,Anisyl propionate,0.01,Anisyl butyrate,0.0,Anisaldehyde,0.0
"Anise (Egypt) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Star anise (China) 2 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)",0.9152996062700652,(E)-Anethole,0.86,Methyl chavicol,0.05,Anisaldehyde,0.02,beta-Caryophyllene,0.02,Carvone,0.01
"Anise (Spain) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.952430171881625,(E)-Anethole,0.96,Limonene,0.01,Anisaldehyde,0.01,Anisalcohol,0.0,(Z)-Anethole,0.0
"Anise (Spain) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9043713603104396,(E)-Anethole,0.92,Sesquiterpene hydrocarbons,0.02,2-(1-E-Propenyl)-5-methoxyphenyl 2-methylbutyrate,0.01,Methyl chavicol,0.01,Anisaldehyde,0.01
"Anise (Turkey) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9689504729211073,(E)-Anethole,0.95,Methyl chavicol,0.02,Anisaldehyde,0.01,Isochavibetol,0.0,(Z)-Anethole,0.0
"Anise (Turkey) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9029886078633224,(E)-Anethole,0.88,Methyl chavicol,0.04,(Z)-Anethole,0.04,Carvone,0.01,p-Methoxyphenylacetone,0.0
"Anise (USSR) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9029646706742342,(E)-Anethole,0.94,Anisalcohol,0.04,Anisaldehyde,0.02,(Z)-Anethole,0.0,Isochavibetol,0.0
"Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Turkey) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9029886078633224,(E)-Anethole,0.85,(Z)-Anethole,0.02,Methyl chavicol,0.01,4-Methoxyacetophenone,0.01,Anisaldehyde,0.01
"Anise seed 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9043713603104396,(E)-Anethole,0.92,Sesquiterpene hydrocarbons (unknown),0.02,2-(1-E-Propenyl)-5-methoxyphenyl 2-methylbutyrate,0.01,Methyl chavicol,0.01,Anisaldehyde,0.01
"Anise seed 3 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9544754497057212,(E)-Anethole,0.94,Methyl chavicol,0.02,gamma-Himachalene,0.01,2-(1-E-Propenyl)-5-methoxyphenyl 2-methylbutyrate,0.01,Anisaldehyde,0.01
