,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,beta-Caryophyllene,delta-Cadinene,Myrcene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Geranyl acetate,alpha-Copaene,"1,8-Cineole",cis-Sabinene hydrate,trans-Sabinene hydrate,Eugenol,Germacrene D,beta-Cubebene,Methyl eugenol,alpha-Thujene,cis-p-Menth-2-en-1-ol,trans-alpha-Bergamotene,Safrole,alpha-Cubebene,"alpha,p-Dimethylstyrene",Myristicin,Elemicin,trans-p-Menth-2-en-1-ol,(E)-Methyl isoeugenol
"Nutmeg (India) 8 - Myristica fragrans Houtt., fam. Myristicaceae",0.04,0.129,0.136,0.0,0.003,0.007,0.002,0.0,0.022,0.012,0.02,0.0,0.008,0.022,0.321,0.006,0.008,0.007,0.072,0.039,0.0,0.0,0.003,0.0,0.005,0.004,0.001,0.001,0.016,0.022,0.004,0.001,0.028,0.0,0.0,0.026,0.024,0.003,0.002
"Nutmeg (Sri Lanka) 3 - Myristica fragrans Houtt., fam. Myristicaceae",0.037,0.1065,0.1375,0.001,0.002,0.009,0.006,0.002,0.021,0.014,0.024,0.002,0.009,0.0245,0.341,0.006,0.004,0.007,0.068,0.0395,0.003,0.005,0.0,0.004,0.0055,0.0015,0.0,0.0,0.006,0.0,0.003,0.0,0.0135,0.002,0.001,0.048,0.021,0.002,0.0
