Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Lime (Japan) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (hybrid Mexican x Persian) (India) leaf - Citrus latifolia Tanaka x Citrus aurantifolia Swingle, fam. Rutaceae",0.9062245398895444,Geranial,0.4,Limonene,0.25,Neral,0.24,Sabinene,0.02,(E)-beta-Ocimene,0.01
"Lime (Mexican, West Indian, Key) (India) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (hybrid Mexican x Persian) (India) leaf - Citrus latifolia Tanaka x Citrus aurantifolia Swingle, fam. Rutaceae",0.9344457843191336,Geranial,0.34,Limonene,0.26,Neral,0.24,Geranyl acetate,0.02,Citronellal,0.01
"Lime (hybrid Mexican x Persian) (India) leaf - Citrus latifolia Tanaka x Citrus aurantifolia Swingle, fam. Rutaceae","Lime (Japan) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9062245398895444,Geranial,0.37,Limonene,0.27,Neral,0.26,Geranyl acetate,0.02,Myrcene,0.01
"Litsea cubeba (China) 2b fruit - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Lime (Japan) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9246281573058164,Geranial,0.38,Neral,0.26,Limonene,0.23,Sabinene,0.02,alpha-Pinene,0.01
