,Limonene,beta-Pinene,alpha-Pinene,Camphene,beta-Caryophyllene,Myrcene,Terpinolene,alpha-Terpinene,Sabinene,Linalool,Camphor,"1,8-Cineole",beta-Thujone,alpha-Thujone,Germacrene D,(E)-beta-Ocimene,(Z)-beta-Ocimene,trans-Ocimene epoxide,cis-Ocimene epoxide,Geranyl propionate,Chamazulene,Neryl isobutyrate
"Wormwood (Mugwort) (U.S.A.) 4 - Artemisia absinthium L., var. 'Powis Castle', fam. Asteraceae (Compositae)",0.0033,0.0018,0.0098,0.0042,0.0185,0.0177,0.0006,0.0015,0.0239,0.0102,0.0229,0.0042,0.3836,0.0236,0.0348,0.005,0.0603,0.0074,0.258,0.003,0.0361,0.0055
"Wormwood (Mugwort) (U.S.A.) 5 - Artemisia absinthium L., var. 'Powis Castle', fam. Asteraceae (Compositae)",0.0025,0.0017,0.012,0.0038,0.0118,0.0134,0.0002,0.0014,0.0273,0.013,0.0299,0.0007,0.4121,0.0227,0.0187,0.0052,0.0736,0.0062,0.2476,0.0005,0.0222,0.0
