,beta-Pinene,alpha-Pinene,Myrcene,beta-Phellandrene,alpha-Terpineol,alpha-Phellandrene,alpha-Thujene,alpha-Fenchene,Dill apiole,Myristicin,Dill ether
"Dill herb (Europa) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.002,0.015,0.007,0.13,0.005,0.55,0.003,0.0005,0.0005,0.0005,0.25
"Dill herb (U.S.A.) 1 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.002,0.015,0.007,0.15,0.005,0.58,0.003,0.002,0.005,0.001,0.23
