Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1366,BitInterpretations,Concentration
Tagetes lucida,1,DOI:10.3390/antibiotics10101191,CC(=CCC=C(C)C=C)C,(E)-beta-Ocimene,1,"[(6, 'C', 0, '')]",0.138
Narcissus jonquilla,0,No Reference,CC(=CCC=C(C)C=C)C,(E)-beta-Ocimene,1,"[(8, 'C', 0, '')]",0.353
Chaerophyllum macrospermum,0,No Reference,CC(=CCC=C(C)C=C)C,(E)-beta-Ocimene,1,"[(6, 'C', 0, ''), (8, 'C', 0, '')]",0.4
Brassica juncea,1,DOI:10.1111/1750-3841.12052,C=CCN=C=S,Allyl isothiocyanate,1,"[(0, 'C', 0, '')]",0.2319
Armoracia lapathifolia,1,DOI:10.1007/s10722-013-0010-4,C=CCN=C=S,Allyl isothiocyanate,1,"[(0, 'C', 0, '')]",0.5
Picea engelmanni,0,No Reference,CC1(C2CCC(C2)C1=C)C,Camphene,1,"[(6, 'C', 0, ''), (8, 'C', 0, '')]",0.1868
Abies borisii-regis,0,No Reference,CC1(C2CCC(C2)C1=C)C,Camphene,1,"[(6, 'C', 0, '')]",0.102
Lithraea ternifolia,0,No Reference,CC1=CCC(CC1=O)C(=C)C,Carvone,1,"[(8, 'C', 0, '')]",0.347
Anethum graveolens,1,DOI:10.5281/zenodo.159101,CC1=CCC(CC1=O)C(=C)C,Carvone,1,"[(9, 'C', 0, '')]",0.145
Piper betle,1,DOI:10.12982/VIS.2022.042,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(12, 'C', 0, '')]",0.6356
Artemisia scoparia,1,DOI:10.1177/1934578X20915034,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(10, 'C', 0, '')]",0.3
Cinnamomum zeylanicum,1,10.1007/s10068-017-0241-9,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(10, 'C', 0, '')]",0.1335
Pimenta dioica,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(10, 'C', 0, '')]",0.87
Ocimum gratissimum,1,DOI:10.1016/j.micpath.2018.03.041,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 0, '')]",0.2
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 0, '')]",0.643
Pimenta racemosa,1,DOI:10.5897/JMPR2017.6435,COC1=C(C=CC(=C1)CC=C)O,Eugenol,1,"[(6, 'C', 0, ''), (8, 'C', 0, '')]",0.527
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Eugenyl acetate,1,"[(6, 'C', 0, '')]",0.205
Piper betle,1,DOI:10.12982/VIS.2022.042,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Eugenyl acetate,1,"[(12, 'C', 0, '')]",0.1868
Lonicera japonica,1,DOI:10.1155/2015/905063,CC1=CCCC(=C)C=CC(CC1)C(C)C,Germacrene D,1,"[(12, 'C', 0, '')]",0.28
Pinus nigra,0,DOI:10.1504/ijewm.2013.055590,CC1=CCCC(=C)C=CC(CC1)C(C)C,Germacrene D,1,"[(6, 'C', 0, '')]",0.186
Carum carvi,1,DOI:10.1080/13880200802055917,CC1=CCCC(=C)C=CC(CC1)C(C)C,Germacrene D,1,"[(6, 'C', 0, '')]",0.159
Citrus sinensis,0,DOI:10.3390/molecules26113412,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.242
Abies borisii-regis,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.226
Cymbopogon martini,1,DOI:10.3390/antibiotics10101191,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.136
Mentha arvensis,0,DOI:10.3390/foods12213938,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.0958
Perilla acuta,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(2, 'C', 0, '')]",0.204
Cupressocyparis leylandii,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.151
Peucedanum zenkeri,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.232
Picea engelmanni,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, ''), (8, 'C', 0, '')]",0.1429
Croton zambesicus,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.192
Psidium guajava,0,DOI:10.1155/2013/746165,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.15
Tagetes lucida,1,DOI:10.3390/antibiotics10101191,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.165
Citrus maxima,1,DOI:10.3390/coatings12101492,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.932
Citrus paradisi,1,DOi:10.1111/j.1365-2621.2011.02640.x,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.9253
Agathosma betulina,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.1164
Piper nigrum,1,DOI:10.3389/fvets.2023.1188752,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.1744
Levisticum officinale,1,DOI:10.3389/fvets.2023.1188752,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.0906
Lippia alba,1,DOI:10.3390/antibiotics10101191,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.115
Citrus japonica,1,DOI:10.3390/molecules26113412,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.884
Anethum graveolens,1,DOI:10.5281/zenodo.159101,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(9, 'C', 0, '')]",0.1192
Lithraea ternifolia,0,No Reference,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.216
Satureja montana,1,DOI:10.1016/j.foodcont.2005.11.009,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.157
Pinus halepensis,0,DOI:10.1016/s2222-1808(14)60323-6,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(6, 'C', 0, '')]",0.102
Citrus bergamia,1,DOI:10.3390/foods12010203,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.402
Citrus aurantifolia,1,DOI:10.3390/ijms19071966,CC1=CCC(CC1)C(=C)C,Limonene,1,"[(8, 'C', 0, '')]",0.247
Lavandula x hybrida,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.379
Mentha citrata,1,DOI:10.1016/j.indcrop.2016.07.005,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.134
Zataria multiflora,1,DOI:10.1016/j.foodres.2008.07.018,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.6222
Jasminum sambac,0,DOI:DOI:10.3390/coatings12101492,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(12, 'C', 0, '')]",0.2
Lavandula latifolia,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.252
Lithraea ternifolia,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.121
Lavandula angustifolia,1,DOI:10.3390/coatings12101492,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.477
Monarda didyma,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.645
Litsea zeylanica,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(6, 'C', 0, '')]",0.5491
Lonicera japonica,1,DOI:10.1155/2015/905063,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(12, 'C', 0, '')]",0.4
Mentha viridis,1,DOI:10.1155/2022/7990508,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.497
Narcissus jonquilla,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.178
Lawsonia inermis,1,DOI:10.1080/14786419.2019.1569006,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.198
Majorana hortensis,1,DOI:10.1155/2016/3694901,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.1641
Fissitigma shangtzeense,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.3779
Aeollanthus suaveolens,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.4186
Spartium junceum,0,DOI:10.1186/s12941-020-00371-1,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.1091
Agathosma rosmarinifolia,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.259
Viburnum orientale,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.511
Homalomena aromatica,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.621
Salvia sclarea,0,DOI:10.1002/fsn3.116,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.1862
Achillea ligustica,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.7084
Bursera delpechiana,1,DOI:10.21010/ajtcam.v14i3.8,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.3
Citrus aurantium,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.32
Citrus reticulata,0,DOI:10.3390/molecules26113412,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.2733
Perilla frutescens,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.1127
Daucus carota,0,DOI:10.1155/2016/9045196,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.149
Zanthoxylum armatum,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.72
Ocimum basilicum,1,10.1016/j.foodchem.2021.129940,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(10, 'C', 0, '')]",0.436
Platonia insignis,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.241
Thymus serpyllum,1,DOI:10.1016/j.foodcont.2005.11.009,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(8, 'C', 0, '')]",0.252
Mentha citrata,1,DOI:10.1016/j.indcrop.2016.07.005,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.662
Mentha viridis,1,DOI:10.1155/2022/7990508,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.2377
Salvia sclarea,0,DOI:10.1002/fsn3.116,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.6993
Lavandula angustifolia,1,DOI:10.3390/coatings12101492,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.3599
Zataria multiflora,1,DOI:10.1016/j.foodres.2008.07.018,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.1152
Citrus aurantium,0,No Reference,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.168
Citrus bergamia,1,DOI:10.3390/foods12010203,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.281
Lavandula x hybrida,0,No Reference,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.223
Bursera delpechiana,1,DOI:10.21010/ajtcam.v14i3.8,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.47
Aeollanthus suaveolens,0,No Reference,CC(=CCCC(C)(C=C)OC(=O)C)C,Linalyl acetate,1,"[(8, 'C', 0, '')]",0.1583
