Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1017,BitInterpretations,Concentration
Tagetes lucida,1,DOI:10.3390/antibiotics10101191,CC(=CCC=C(C)C=C)C,(E)-beta-Ocimene,1,"[(9, 'C', 1, 'CC')]",0.138
Chaerophyllum macrospermum,0,No Reference,CC(=CCC=C(C)C=C)C,(E)-beta-Ocimene,1,"[(0, 'C', 1, 'CC'), (9, 'C', 1, 'CC')]",0.4
Narcissus jonquilla,0,No Reference,CC(=CCC=C(C)C=C)C,(E)-beta-Ocimene,1,"[(0, 'C', 1, 'CC'), (6, 'C', 1, 'CC'), (9, 'C', 1, 'CC')]",0.353
Lithraea ternifolia,0,No Reference,CC1=CCC(CC1=O)C(=C)C,Carvone,1,"[(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')]",0.347
Anethum graveolens,1,DOI:10.5281/zenodo.159101,CC1=CCC(CC1=O)C(=C)C,Carvone,1,"[(10, 'C', 1, 'CC')]",0.145
Cymbopogon winterianus,1,DOI:10.1080/13880200802055917,CC(CCC=C(C)C)CC=O,Citronellal,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.348
Levisticum officinale,1,DOI:10.3389/fvets.2023.1188752,CC(CCC=C(C)C)CC=O,Citronellal,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.1284
Cymbopogon nardus,0,DOI:10.1016/j.foodcont.2005.11.009,CC(CCC=C(C)C)CC=O,Citronellal,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.3847
Rosa rugosa,0,No Reference,CC(CCC=C(C)C)CCO,Citronellol,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.53
Cymbopogon nardus,0,DOI:10.1016/j.foodcont.2005.11.009,CC(CCC=C(C)C)CCO,Citronellol,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.1419
Cymbopogon winterianus,1,DOI:10.1080/13880200802055917,CC(CCC=C(C)C)CCO,Citronellol,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.14
Rosa damascena,1,DOI:10.3389/fvets.2023.1188752,CC(CCC=C(C)C)CCO,Citronellol,1,"[(6, 'C', 1, 'CC'), (7, 'C', 1, 'CC')]",0.334
Piper betle,1,DOI:10.12982/VIS.2022.042,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Eugenyl acetate,1,"[(0, 'C', 1, 'CC')]",0.1868
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Eugenyl acetate,1,"[(0, 'C', 1, 'CC')]",0.205
