Plant_Species,Salmonella Typhimurium,Reference,Bit_75,BitInterpretations
Aeollanthus suaveolens,0,No Reference,1,"{80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 807: [(1, 'C', 0, ''), (9, 'O', 0, '')], 906: [(7, 'C', 2, 'C=CC(C)(C)O')], 973: [(4, 'C', 2, 'CCCC(C)(C)O')], 1017: [(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (10, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1722: [(5, 'C', 1, 'CC(C)(C)O')], 1908: [(9, 'O', 1, 'CO')], 1999: [(5, 'C', 2, 'C=CC(C)(O)CC')]}; {80: [(3, 'C', 0, ''), (4, 'C', 0, ''), (7, 'C', 0, ''), (8, 'C', 0, '')], 101: [(4, 'C', 2, 'C=C(C)CCC')], 119: [(8, 'C', 2, 'C=C(C)CCC')], 237: [(6, 'C', 2, 'CCC=C(C)C')], 357: [(3, 'C', 2, 'C=CCCC'), (7, 'C', 2, 'C=CCCC')], 385: [(5, 'C', 2, 'CC=C(C)CC')], 401: [(3, 'C', 1, 'CCC'), (7, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC'), (6, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (6, 'C', 0, ''), (11, 'C', 0, '')], 807: [(1, 'C', 0, ''), (5, 'C', 0, ''), (9, 'C', 0, '')], 959: [(11, 'C', 1, 'C=CC')], 1017: [(0, 'C', 1, 'CC'), (13, 'C', 1, 'CC'), (14, 'C', 1, 'CC')], 1022: [(10, 'C', 1, 'C=C')], 1057: [(0, 'C', 0, ''), (13, 'C', 0, ''), (14, 'C', 0, '')], 1170: [(9, 'C', 2, 'C=CC(=C)CC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1366: [(10, 'C', 0, ''), (12, 'C', 0, '')], 1564: [(4, 'C', 1, 'CCC'), (8, 'C', 1, 'CCC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(12, 'C', 1, 'C=C')], 1714: [(5, 'C', 1, 'C=C(C)C')], 1736: [(9, 'C', 1, 'C=C(C)C')], 1996: [(11, 'C', 2, 'C=CC(=C)C')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
Bupleurum linearifolium,0,No Reference,1,"{67: [(2, 'C', 2, 'CCC=C(C)C')], 114: [(7, 'C', 0, '')], 392: [(8, 'C', 1, 'CC'), (9, 'C', 1, 'CC')], 417: [(3, 'C', 2, 'C=CCC(C)C')], 598: [(3, 'C', 1, 'CCC')], 807: [(10, 'O', 0, '')], 835: [(6, 'C', 2, 'C=C(C)CCC')], 872: [(1, 'C', 2, 'CC=C(C)CC')], 926: [(3, 'C', 0, ''), (5, 'C', 0, ''), (6, 'C', 0, '')], 1019: [(4, 'C', 0, '')], 1057: [(0, 'C', 0, ''), (8, 'C', 0, ''), (9, 'C', 0, '')], 1096: [(4, 'C', 1, 'CC(C)C')], 1325: [(5, 'C', 1, 'CCC')], 1380: [(1, 'C', 0, '')], 1388: [(7, 'C', 2, 'CC(C)C(C)(C)O')], 1518: [(4, 'C', 2, 'CCC(CC)C(C)(C)O')], 1604: [(7, 'C', 1, 'CC(C)(C)O')], 1650: [(5, 'C', 2, 'CCCC(C)C')], 1722: [(0, 'C', 1, 'CC')], 1738: [(6, 'C', 1, 'CCC')], 1781: [(2, 'C', 1, 'C=CC')], 1873: [(2, 'C', 0, '')], 1908: [(10, 'O', 1, 'CO')], 1979: [(1, 'C', 1, 'C=C(C)C')]}; {1: [(4, 'C', 0, '')], 75: [(5, 'C', 2, 'ccc(cc)C(C)c')], 80: [(3, 'C', 0, '')], 202: [(12, 'C', 1, 'cc(c)O')], 238: [(13, 'C', 2, 'ccc(c(c)O)c(c)o')], 305: [(19, 'O', 2, 'cc(=O)oc(c)c')], 314: [(21, 'O', 1, 'c=O')], 367: [(4, 'C', 2, 'cc(c)C(CC)c(c)c')], 368: [(18, 'C', 2, 'ccc(oc)c(c)c')], 389: [(4, 'C', 1, 'CC(c)c'), (8, 'C', 2, 'ccccc')], 650: [(2, 'O', 0, ''), (21, 'O', 0, '')], 656: [(19, 'O', 0, '')], 807: [(1, 'C', 0, ''), (22, 'O', 0, '')], 971: [(12, 'C', 2, 'cc(C)c(O)c(c)c')], 1017: [(0, 'C', 1, 'CC')], 1057: [(0, 'C', 0, '')], 1088: [(7, 'C', 1, 'ccc'), (8, 'C', 1, 'ccc'), (9, 'C', 1, 'ccc'), (15, 'C', 1, 'ccc'), (16, 'C', 1, 'ccc')], 1128: [(17, 'C', 2, 'cccc(c)o')], 1143: [(20, 'C', 2, 'coc(=O)c(c)C')], 1199: [(7, 'C', 2, 'ccccc'), (15, 'C', 2, 'ccccc'), (16, 'C', 2, 'ccccc'), (9, 'C', 2, 'ccccc')], 1290: [(3, 'C', 1, 'CCC')], 1357: [(13, 'C', 1, 'cc(c)c')], 1365: [(5, 'C', 1, 'cc(c)C')], 1380: [(5, 'C', 0, ''), (11, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, ''), (18, 'C', 0, ''), (20, 'C', 0, '')], 1468: [(20, 'C', 1, 'cc(=O)o')], 1499: [(3, 'C', 2, 'CC(=O)CC(c)c')], 1536: [(1, 'C', 2, 'CCC(C)=O')], 1550: [(1, 'C', 1, 'CC(C)=O')], 1573: [(14, 'C', 2, 'cccc(c)c')], 1581: [(6, 'C', 2, 'cccc(c)C'), (10, 'C', 2, 'cccc(c)C')], 1602: [(22, 'O', 1, 'cO')], 1604: [(19, 'O', 1, 'coc')], 1626: [(11, 'C', 1, 'cc(c)C')], 1750: [(6, 'C', 1, 'ccc'), (14, 'C', 1, 'ccc'), (17, 'C', 1, 'ccc'), (10, 'C', 1, 'ccc')], 1808: [(18, 'C', 1, 'cc(c)o')], 1873: [(6, 'C', 0, ''), (7, 'C', 0, ''), (8, 'C', 0, ''), (9, 'C', 0, ''), (10, 'C', 0, ''), (14, 'C', 0, ''), (15, 'C', 0, ''), (16, 'C', 0, ''), (17, 'C', 0, ''), (11, 'C', 2, 'cc(O)c(c(=O)o)C(C)c')], 1917: [(2, 'O', 1, 'C=O')]}"
Bursera delpechiana,1,DOI:10.21010/ajtcam.v14i3.8,1,"{80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 807: [(1, 'C', 0, ''), (9, 'O', 0, '')], 906: [(7, 'C', 2, 'C=CC(C)(C)O')], 973: [(4, 'C', 2, 'CCCC(C)(C)O')], 1017: [(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (10, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1722: [(5, 'C', 1, 'CC(C)(C)O')], 1908: [(9, 'O', 1, 'CO')], 1999: [(5, 'C', 2, 'C=CC(C)(O)CC')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
Citrus aurantium,0,No Reference,1,"{80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 807: [(1, 'C', 0, ''), (9, 'O', 0, '')], 906: [(7, 'C', 2, 'C=CC(C)(C)O')], 973: [(4, 'C', 2, 'CCCC(C)(C)O')], 1017: [(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (10, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1722: [(5, 'C', 1, 'CC(C)(C)O')], 1908: [(9, 'O', 1, 'CO')], 1999: [(5, 'C', 2, 'C=CC(C)(O)CC')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
Citrus bergamia,1,DOI:10.3390/foods12010203,1,"{67: [(2, 'C', 2, 'CCC=C(C)C')], 89: [(7, 'C', 1, 'C=C(C)C')], 160: [(4, 'C', 2, 'C=C(C)C(CC)CC')], 598: [(3, 'C', 1, 'CCC')], 807: [(7, 'C', 0, '')], 835: [(6, 'C', 2, 'C=C(C)CCC')], 872: [(1, 'C', 2, 'CC=C(C)CC')], 926: [(3, 'C', 0, ''), (5, 'C', 0, ''), (6, 'C', 0, '')], 974: [(4, 'C', 1, 'CC(C)C')], 1017: [(9, 'C', 1, 'CC')], 1019: [(4, 'C', 0, '')], 1022: [(8, 'C', 1, 'C=C')], 1057: [(0, 'C', 0, ''), (9, 'C', 0, '')], 1325: [(5, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1380: [(1, 'C', 0, '')], 1579: [(3, 'C', 2, 'C=CCC(C)C')], 1722: [(0, 'C', 1, 'CC')], 1738: [(6, 'C', 1, 'CCC')], 1781: [(2, 'C', 1, 'C=CC')], 1784: [(5, 'C', 2, 'CCCC(C)C')], 1873: [(2, 'C', 0, '')], 1979: [(1, 'C', 1, 'C=C(C)C')], 2044: [(7, 'C', 2, 'C=C(C)C(C)C')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
Elletaria cardamomum,1,DOI:10.3389/fmicb.2021.620227,1,"{67: [(2, 'C', 2, 'CCC=C(C)C')], 75: [(11, 'C', 2, 'COC(C)=O')], 114: [(7, 'C', 0, '')], 231: [(10, 'O', 1, 'COC')], 392: [(8, 'C', 1, 'CC'), (9, 'C', 1, 'CC')], 417: [(3, 'C', 2, 'C=CCC(C)C')], 598: [(3, 'C', 1, 'CCC')], 650: [(12, 'O', 0, '')], 695: [(10, 'O', 0, '')], 711: [(7, 'C', 2, 'COC(C)(C)C(C)C')], 807: [(11, 'C', 0, '')], 835: [(6, 'C', 2, 'C=C(C)CCC')], 872: [(1, 'C', 2, 'CC=C(C)CC')], 926: [(3, 'C', 0, ''), (5, 'C', 0, ''), (6, 'C', 0, '')], 1017: [(13, 'C', 1, 'CC')], 1019: [(4, 'C', 0, '')], 1035: [(11, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (8, 'C', 0, ''), (9, 'C', 0, ''), (13, 'C', 0, '')], 1096: [(4, 'C', 1, 'CC(C)C')], 1325: [(5, 'C', 1, 'CCC')], 1380: [(1, 'C', 0, '')], 1441: [(10, 'O', 2, 'CC(=O)OC(C)(C)C')], 1650: [(5, 'C', 2, 'CCCC(C)C')], 1722: [(0, 'C', 1, 'CC')], 1738: [(6, 'C', 1, 'CCC')], 1781: [(2, 'C', 1, 'C=CC')], 1873: [(2, 'C', 0, '')], 1917: [(12, 'O', 1, 'C=O')], 1962: [(4, 'C', 2, 'CCC(CC)C(C)(C)O')], 1979: [(1, 'C', 1, 'C=C(C)C')], 2041: [(7, 'C', 1, 'CC(C)(C)O')]}; {19: [(1, 'C', 2, 'COC(C)(C)C(C)C')], 198: [(5, 'C', 2, 'CCC(C)(CC)OC')], 391: [(2, 'C', 2, 'CCC(CC)C(C)(C)O')], 528: [(2, 'C', 1, 'CC(C)C')], 656: [(6, 'O', 0, '')], 675: [(5, 'C', 1, 'CC(C)(C)O')], 926: [(3, 'C', 0, ''), (4, 'C', 0, ''), (7, 'C', 0, ''), (8, 'C', 0, '')], 1019: [(2, 'C', 0, '')], 1057: [(0, 'C', 0, ''), (9, 'C', 0, ''), (10, 'C', 0, '')], 1060: [(1, 'C', 0, ''), (5, 'C', 0, '')], 1162: [(4, 'C', 1, 'CCC'), (7, 'C', 1, 'CCC')], 1258: [(3, 'C', 2, 'CCCC(C)C'), (8, 'C', 2, 'CCCC(C)C')], 1274: [(0, 'C', 1, 'CC'), (9, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1325: [(3, 'C', 1, 'CCC'), (8, 'C', 1, 'CCC')], 1424: [(1, 'C', 1, 'CC(C)(C)O')], 1516: [(6, 'O', 2, 'CC(C)(C)OC(C)(C)C')], 1714: [(4, 'C', 2, 'CCCC(C)(C)O'), (7, 'C', 2, 'CCCC(C)(C)O')], 1730: [(6, 'O', 1, 'COC')]}"
Lavandula angustifolia,1,DOI:10.3390/coatings12101492,1,"{80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 807: [(1, 'C', 0, ''), (9, 'O', 0, '')], 906: [(7, 'C', 2, 'C=CC(C)(C)O')], 973: [(4, 'C', 2, 'CCCC(C)(C)O')], 1017: [(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (10, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1722: [(5, 'C', 1, 'CC(C)(C)O')], 1908: [(9, 'O', 1, 'CO')], 1999: [(5, 'C', 2, 'C=CC(C)(O)CC')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
Lavandula x hybrida,0,No Reference,1,"{80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 807: [(1, 'C', 0, ''), (9, 'O', 0, '')], 906: [(7, 'C', 2, 'C=CC(C)(C)O')], 973: [(4, 'C', 2, 'CCCC(C)(C)O')], 1017: [(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (10, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1722: [(5, 'C', 1, 'CC(C)(C)O')], 1908: [(9, 'O', 1, 'CO')], 1999: [(5, 'C', 2, 'C=CC(C)(O)CC')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
Mentha citrata,1,DOI:10.1016/j.indcrop.2016.07.005,1,"{80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 807: [(1, 'C', 0, ''), (9, 'O', 0, '')], 906: [(7, 'C', 2, 'C=CC(C)(C)O')], 973: [(4, 'C', 2, 'CCCC(C)(C)O')], 1017: [(0, 'C', 1, 'CC'), (10, 'C', 1, 'CC')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (10, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1722: [(5, 'C', 1, 'CC(C)(C)O')], 1908: [(9, 'O', 1, 'CO')], 1999: [(5, 'C', 2, 'C=CC(C)(O)CC')]}; {75: [(10, 'C', 2, 'COC(C)=O')], 80: [(3, 'C', 0, ''), (4, 'C', 0, '')], 114: [(5, 'C', 0, '')], 135: [(7, 'C', 2, 'C=CC(C)(C)O')], 193: [(9, 'O', 2, 'CC(=O)OC(C)(C)C')], 231: [(9, 'O', 1, 'COC')], 392: [(6, 'C', 1, 'CC')], 401: [(3, 'C', 1, 'CCC')], 479: [(2, 'C', 1, 'C=CC')], 650: [(11, 'O', 0, '')], 694: [(2, 'C', 0, ''), (7, 'C', 0, '')], 695: [(9, 'O', 0, '')], 807: [(1, 'C', 0, ''), (10, 'C', 0, '')], 1017: [(0, 'C', 1, 'CC'), (12, 'C', 1, 'CC'), (13, 'C', 1, 'CC')], 1035: [(10, 'C', 1, 'CC(=O)O')], 1057: [(0, 'C', 0, ''), (6, 'C', 0, ''), (12, 'C', 0, ''), (13, 'C', 0, '')], 1125: [(3, 'C', 2, 'C=CCCC')], 1180: [(4, 'C', 2, 'CCCC(C)(C)O')], 1257: [(1, 'C', 1, 'C=C(C)C')], 1308: [(4, 'C', 1, 'CCC')], 1366: [(8, 'C', 0, '')], 1485: [(7, 'C', 1, 'C=CC')], 1574: [(2, 'C', 2, 'CCC=C(C)C')], 1582: [(1, 'C', 2, 'CC=C(C)C')], 1645: [(8, 'C', 1, 'C=C')], 1791: [(5, 'C', 2, 'C=CC(C)(CC)OC')], 1917: [(11, 'O', 1, 'C=O')], 1929: [(5, 'C', 1, 'CC(C)(C)O')]}"
