Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1999,BitInterpretations,Concentration
Achillea ligustica,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.7084
Viburnum orientale,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.511
Thymus serpyllum,1,DOI:10.1016/j.foodcont.2005.11.009,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.252
Spartium junceum,0,DOI:10.1186/s12941-020-00371-1,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.1091
Salvia sclarea,0,DOI:10.1002/fsn3.116,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.1862
Platonia insignis,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.241
Perilla frutescens,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.1127
Ocimum basilicum,1,10.1016/j.foodchem.2021.129940,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.436
Narcissus jonquilla,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.178
Monarda didyma,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.645
Mentha viridis,1,DOI:10.1155/2022/7990508,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.497
Mentha citrata,1,DOI:10.1016/j.indcrop.2016.07.005,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.134
Majorana hortensis,1,DOI:10.1155/2016/3694901,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.1641
Lonicera japonica,1,DOI:10.1155/2015/905063,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.4
Litsea zeylanica,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.5491
Lithraea ternifolia,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.121
Lawsonia inermis,1,DOI:10.1080/14786419.2019.1569006,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.198
Lavandula x hybrida,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.379
Lavandula latifolia,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.252
Lavandula angustifolia,1,DOI:10.3390/coatings12101492,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.477
Jasminum sambac,0,DOI:DOI:10.3390/coatings12101492,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.2
Homalomena aromatica,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.621
Fissitigma shangtzeense,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.3779
Daucus carota,0,DOI:10.1155/2016/9045196,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.149
Citrus reticulata,0,DOI:10.3390/molecules26113412,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.2733
Citrus aurantium,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.32
Bursera delpechiana,1,DOI:10.21010/ajtcam.v14i3.8,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.3
Agathosma rosmarinifolia,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.259
Aeollanthus suaveolens,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.4186
Zanthoxylum armatum,0,No Reference,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.72
Zataria multiflora,1,DOI:10.1016/j.foodres.2008.07.018,CC(=CCCC(C)(C=C)O)C,Linalool,1,"[(5, 'C', 2, 'C=CC(C)(O)CC')]",0.6222
