,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,beta-Caryophyllene,delta-Cadinene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,delta-3-Carene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,gamma-Terpinene,Camphor,alpha-Copaene,"1,8-Cineole",Caryophyllene oxide,Myrtenal,Myrtenol,trans-Carveol,Hexanal,2-Pentylfuran,Copaene (unknown isomer),Methyl eugenol,(E)-Anethole,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,Pinocarveol,Perillene,Nonanal,Octanal,Linalyl acetate,Geranial,Neral,6-Methyl-5-hepten-2-one,"alpha,p-Dimethylstyrene",Perillyl alcohol,2-Nonanone,2-Undecanone,2-Octanone,(Z)-Methyl isoeugenol,Campholene aldehyde,Carveol (unknown isomer),Methyl isoeugenol,(E)-Methyl isoeugenol,Verbenene,Verbenol (unknown isomer),Pinocamphone,Pentylcyclohexane,Pent-2-en-1-ol,o-Cresyl methyl ether,ortho-Cymene,Dimyrcene (isomers),"3,5-Dimethyl-2-vinylfuran"
"Mastic gum (Greece) 1 - Pistacia lentiscus L., var. Chia, fam. Anacardiaceae",0.0095,0.0246,0.771,0.0018,0.0104,0.0013,0.0,0.0147,0.0001,0.1227,0.0,0.0,0.0,0.0,0.0,0.0035,0.0048,0.0,0.0008,0.0,0.0,0.0,0.0,0.0009,0.0013,0.0004,0.0,0.0,0.0001,0.0002,0.0023,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0055,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0004,0.0029,0.0044,0.0,0.0,0.0
"Mastic gum (Greece) 2 - Pistacia lentiscus L., var. Chia, fam. Anacardiaceae",0.0095,0.0246,0.771,0.0018,0.0104,0.0013,0.0001,0.0147,0.0001,0.1227,0.0001,0.0001,0.0001,0.0001,0.0001,0.0035,0.0048,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0013,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0023,0.0001,0.0001,0.0001,0.0029,0.0034,0.0001,0.0001,0.0001,0.0001,0.0005,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0021,0.0001,0.005,0.0001,0.0,0.0,0.0044,0.0001,0.0001,0.0001
