,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,Santene,alpha-Muurolene,beta-Caryophyllene,delta-Cadinene,gamma-Cadinene,Tricyclene,Myrcene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Geraniol,Geranyl acetate,Citronellol,Nerol,Citronellal,"1,8-Cineole",Methyl eugenol,alpha-Cadinol,Fenchone,T-Cadinol,delta-Cadinol,"Germacra-1(10)E,5E-dien-4-ol"
"Picea engelmanni conifer - Picea engelmanni (Parry) Engelm., fam. Pinaceae",0.1429,0.0263,0.0958,0.0048,0.1868,0.0,0.003,0.0052,0.0,0.0,0.0,0.0,0.015,0.2445,0.0077,0.0193,0.0023,0.0095,0.0,0.0101,0.0028,0.0,0.0,0.0143,0.0,0.1272,0.0,0.0,0.0282,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0
"Picea engelmanni twigs with needles - Picea engelmanni (Parry) Engelm., fam. Pinaceae",0.1429,0.0263,0.0958,0.0048,0.1868,0.0001,0.0033,0.0052,0.0007,0.0005,0.001,0.001,0.015,0.2445,0.0077,0.0193,0.002,0.0095,0.0008,0.0101,0.0028,0.004,0.001,0.0143,0.0012,0.1272,0.0026,0.0012,0.0282,0.0011,0.0016,0.0155,0.0006,0.0052,0.0011,0.0017,0.0006,0.0055
