,Limonene,alpha-Pinene,alpha-Muurolene,gamma-Cadinene,alpha-Humulene,delta-3-Carene,alpha-Terpineol,Linalool,alpha-Phellandrene,Geraniol,alpha-Copaene,Citronellol,Nerol,Citronellal,alpha-Guaiene,Menthol,Isocaryophyllene,cis-Linalool oxide (5) (furanoid),trans-Linalool oxide (5) (furanoid),Citronellyl acetate,Citronellyl formate,Geranyl formate,Menthone,cis-Rose oxide,trans-Rose oxide,Isomenthone,Calamenene,2-Phenylethyl tiglate,beta-Guaiene
"Geranium (China, Beijing) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0043,0.0057,0.0018,0.0133,0.0035,0.0012,0.0025,0.0212,0.0025,0.048,0.0038,0.4216,0.0024,0.0015,0.03,0.0018,0.012,0.0007,0.001,0.0007,0.1223,0.0138,0.006,0.0239,0.0098,0.0571,0.0096,0.013,0.0275
"Geranium (China, Yunnan) 5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0022,0.0006,0.0019,0.0029,0.0024,0.001,0.0082,0.0068,0.0015,0.0428,0.002,0.4433,0.0023,0.0014,0.016,0.0048,0.0043,0.0006,0.0006,0.0008,0.1184,0.009,0.0046,0.0166,0.0088,0.0478,0.0037,0.0276,0.0158
