Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae","Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9137394535889256,Linalool,0.9,cis-Linalool oxide (5) (furanoid),0.01,trans-Linalool oxide (5) (furanoid),0.01,Eremophilene,0.01,Cyclosativene,0.0
"Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.9070814444199016,Linalool,0.94,9-oxo-Nerolidol,0.02,Nerolidol (unknown isomer),0.01,alpha-Pinene,0.01,Limonene,0.01
"Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae",0.9137394535889256,Linalool,0.9,trans-Linalool oxide (5) (furanoid),0.03,cis-Linalool oxide (5) (furanoid),0.01,"1,8-Cineole",0.0,alpha-Pinene,0.0
"Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.968144671490918,Linalool,0.91,beta-Caryophyllene,0.02,Safrole,0.01,alpha-Terpineol,0.01,Camphor,0.0
"Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9082817509602304,Linalool,0.93,Camphor,0.01,alpha-Terpineol,0.01,alpha-Pinene,0.01,beta-Selinene,0.01
"Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9003078403012538,Linalool,0.91,Camphor,0.02,alpha-Terpineol,0.02,(Z)-Nerolidol,0.01,trans-Linalool oxide (5) (furanoid),0.0
"Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9082817509602304,Linalool,0.92,Camphor,0.01,alpha-Humulene,0.01,beta-Caryophyllene,0.01,(E)-Nerolidol,0.01
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",0.9070814444199016,Linalool,0.95,Camphor,0.0,Myrcene,0.0,Limonene,0.0,Linalyl acetate,0.0
"Ho leaf 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9164356833475342,Linalool,0.97,Camphor,0.01,trans-Linalool oxide (5) (furanoid),0.0,Hotrienol,0.0,cis-Linalool oxide (5) (furanoid),0.0
"Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.95365432462452,Linalool,0.96,"1,8-Cineole",0.01,trans-Linalool oxide (5) (furanoid),0.0,(E)-beta-Ocimene,0.0,cis-Linalool oxide (5) (furanoid),0.0
"Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.9257397750790894,Linalool,0.95,Geranial,0.01,Neral,0.01,Geranyl acetate,0.01,Limonene,0.0
