Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1602,BitInterpretations,Concentration
Rheum palmatum,1,10.25141/2471-7371-2015-1.0001,CC(=O)C1=C(C=C(C=C1)OC)O,2-Hydroxy-4-methoxy-acetophenone,1,"[(11, 'O', 1, 'cO')]",0.162
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(10, 'O', 1, 'cO')]",0.41
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(10, 'O', 1, 'cO')]",0.221
Origanum vulgare,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.2925
Satureja hortensis,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.5715
Lippia graveolens,1,DOI:10.3390/pathogens12101245,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(10, 'O', 1, 'cO')]",0.165
Saturiea hortensis,1,DOI:10.22037/afb.v1i1.7134,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.5715
Thymus mongolicus,1,DOI:10.3390/molecules26020307,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.512
Origanum syriacum,1,DOI:10.4103/japtr.japtr_106_21,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.883
Corydothymus capitatus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.736
Coleus aromaticus,1,DOI:10.1155/2012/457150,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(10, 'O', 1, 'cO')]",0.1325
Thymus quinquecostatus,1,DOI:10.1007/BF02973874,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'O', 1, 'cO')]",0.1123
