Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1365,BitInterpretations,Concentration
Artemisia chamaemelifolia,1,DOI:10.1590/S0102-695X2013000600002,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(3, 'C', 1, 'cc(c)C')]",0.163
Bupleurum linearifolium,0,No Reference,C1=CC=CC2=C1C(=C(C(O2)=O)C(CC(C)=O)C3=CC=CC=C3)O,Coumarins,1,"[(16, 'C', 1, 'cc(c)C')]",0.183
Cuminum cyminum,1,DOI:10.22037/afb.v1i1.7134,[H]C(=O)C1=CC=C(C=C1)C(C)C,Cuminaldehyde,1,"[(3, 'C', 1, 'cc(c)C')]",0.4348
Curcuma longa,1,DOI:10.3389/fvets.2023.1188752,C[C@@H](CC(=O)C=C(C)C)C1=CC=C(C)C=C1,ar-Turmerone,1,"[(9, 'C', 1, 'cc(c)C')]",0.167
Thymus riatarum,1,DOI:10.3390/medicines3030019,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.175
Thymus mongolicus,1,DOI:10.3390/molecules26020307,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.1174
Satureja montana,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.131
Anethum graveolens,1,DOI:10.5281/zenodo.159101,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.1438
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.14
Thymus vulgaris,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.236
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.118
Nigella sativa,0,DOI:10.1016/0378-8741(91)90047-h,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.317
Monarda didyma,0,No Reference,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.11
Melaleuca alternifolia,0,DOI:10.1177/1934578X19878904,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.1142
Eucalyptus camaldulensis,1,DOI:10.5812/jjnpp.65050,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.152
Cuminum cyminum,1,DOI:10.22037/afb.v1i1.7134,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.2228
Cinnamomum angustifolium,1,DOI:10.3390/antibiotics12020254,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.176
Origanum vulgare,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.3357
Thymus zygis,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)cc1,para-Cymene,1,"[(3, 'C', 1, 'cc(c)C')]",0.1985
