Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_549,BitInterpretations,Concentration
Neolitsea brassii,0,No Reference,C\C1=C\CC\C(C)=C/C2C(CC1)C2(C)C,Bicyclogermacrene,1,"[(12, 'C', 1, 'CC(C)(C)C')]",0.126
Neolitsea australiensis,0,No Reference,C\C1=C\CC\C(C)=C/C2C(CC1)C2(C)C,Bicyclogermacrene,1,"[(12, 'C', 1, 'CC(C)(C)C')]",0.12
Artemisia alba,0,No Reference,O=C1[C@H]([C@]2(C([C@](C2)(C1)[H])(C)C)[H])C,Isopinocamphone,1,"[(4, 'C', 1, 'CC(C)(C)C')]",0.346
Guerea macrophylla,0,No Reference,CC1CCC2C1C1C(CCC2(C)O)C1(C)C,Ledol,1,"[(13, 'C', 1, 'CC(C)(C)C')]",0.139
Laurus nobilis,1,DOI:10.3390/foods5020028,CC1CCC2=C(C)CCC3C(C12)C3(C)C,Viridiflorene,1,"[(12, 'C', 1, 'CC(C)(C)C')]",0.122
Cupressocyparis leylandii,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.1
Larix decidua,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.3834
Picea engelmanni,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.0958
Pinus nigra,0,DOI:10.1504/ijewm.2013.055590,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.4849
Chaerophyllum macrospermum,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.194
Calyptranthes sintenisii,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.1248
Pinus halepensis,0,DOI:10.1016/s2222-1808(14)60323-6,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.158
Pinus pinaster,0,DOI:10.1504/ijewm.2013.055590,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.71
Angelica archangelica,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.1814
Pinus sibirica,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.572
Pinus sylvestris,0,DOI:10.1504/ijewm.2013.055590,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.281
Abies nordmannia,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.3409
Nigella sativa,0,DOI:10.1016/0378-8741(91)90047-h,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.093
Abies balsamea,0,DOI:10.3390/f10111042,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.1027
