,"Cinnamomum ""Re G—ng"" (Vietnam) 1a leaf - Cinnamomum species ""Re G—ng"", fam. Lauraceae","Cinnamomum ""Re G—ng"" (Vietnam) 1b stem - Cinnamomum species ""Re G—ng"", fam. Lauraceae"
"Cinnamomum ""Re G—ng"" (Vietnam) 1a leaf - Cinnamomum species ""Re G—ng"", fam. Lauraceae",1.0,0.0
"Cinnamomum ""Re G—ng"" (Vietnam) 1b stem - Cinnamomum species ""Re G—ng"", fam. Lauraceae",0.0,1.0
