,"Cinnamomum parthenoxylum (China) 1b - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Magnolia coco - Magnolia coco (Lour.) DC., fam. Magnoliaceae"
"Cinnamomum parthenoxylum (China) 1b - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",1.0,0.0
"Magnolia coco - Magnolia coco (Lour.) DC., fam. Magnoliaceae",0.0,1.0
