,"Bergamot (Argentina) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Argentina) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 5a original oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 5b headspace of oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 7 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1a Castagnaro - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1b Fantastico - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1c Feminello - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1d PCF - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Tuscan) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Ivory coast: Coci) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Ivory coast: Diva) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Japan) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Japan) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3a green fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3b green/yellow fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3c yellow fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Uruguay) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1b peel hydrodistillate - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bitter orange flower headspace (China) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Citrus lumia 1c Citron de Borneo - Citrus lumia Risso & Poit., cultivar Citron de Borneo, fam. Rutaceae","Lemon (France-Corsica) 1j Barum - Citrus limon (L.) Burm. f., cultivar Barum, fam. Rutaceae","Mentha citrata (Bergamot mint) (Japan) 1 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Myrtle leaf (Greece) - Myrtus communis L., fam. Myrtaceae"
"Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8229195409271012,0.7233708873320797,0.4290443679849616,0.601838944246611,0.7941512126580672,0.7260827639175296,0.5483001277451616,0.42904708666582436,0.6862249496799671,0.8700624318544402,0.8403416026445742,0.8141034068837831,0.9060944147089252,0.4455643294328816,0.6811885915037525,1.0,0.6689559795625699,0.48415288541551305,0.6709289110058704,0.9029358866260582,0.8180597065607152,0.8466352900893224,0.8207532147363878,0.5670071289090507,0.7683040860494947,0.7395645882708153,0.7320092685404611,0.7327892774675921,0.4899413239914505,0.6096291970871007,0.564700930331381,0.5120243843014533,0.66836808674771,0.5470105385349244,0.7018233018516482,0.7941039039438996,0.7727214827429887,0.8116381565368878,0.8190784888866214,0.7217941014332294,0.46379757236465524,0.5132554184556463,0.45711345874599096,0.3618972575898355,0.3498780297697326
"Bergamot (Italy) 7 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.7011201257219658,0.649036946290076,0.576845405311175,0.7605602893579073,0.652399472719284,0.5329799599217342,0.7585007487895494,0.5757950681342859,0.4686122034255804,0.7504579810018703,0.5511893798582783,0.556297458476688,0.6676712232090461,0.1922711549543763,0.45787005850155416,0.6689559795625699,1.0,0.6028854310479933,0.45260788585363554,0.7176552706695702,0.7611424161836643,0.7374063619497038,0.5438907891568199,0.643099894333024,0.6599104040528871,0.5210417110064784,0.527289106577083,0.6666928021786055,0.2976868734293271,0.3996580744989112,0.2949320145037626,0.2500232687797146,0.40416689835551733,0.2822729546271243,0.5473176985990733,0.5826065387123163,0.5272941931256865,0.6791455460965392,0.6720071807833777,0.8176099276764639,0.5594555982992014,0.38239356178237416,0.5319149779198041,0.23660848674394486,0.20969641707601216
"Bergamot (Italy, Calabria) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.6068469497819565,0.6795289130680897,0.6503275707905571,0.6934015890291936,0.5732175085734211,0.49685213051534083,0.7314014414028642,0.6503240020939225,0.34749436099317466,0.5711248989345161,0.40783831064951703,0.45960835544183876,0.4883868550793399,0.13734447442091635,0.4236068969809734,0.48415288541551293,0.6028854310479933,1.0,0.3049961599852442,0.5301886240663436,0.5855571554393937,0.5611233501276977,0.37904249240797994,0.5717435416517802,0.5419525332894708,0.47221174758191886,0.4228551348873386,0.35379574186975016,0.2499494523698439,0.3705348437479534,0.23482409445320018,0.1319020504545042,0.35015275743679153,0.15952924653764333,0.5280795303190713,0.5131992697765402,0.42228508004081233,0.6199587502662955,0.5225866033846891,0.6766133952972566,0.4631368679689606,0.47459631439874683,0.8025967517178617,0.15403026497851646,0.05528560082800882
"Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.5508439271768465,0.5590247028127191,0.35203307884468105,0.47478108256826135,0.5258938532374856,0.7318197845875196,0.38213282293732653,0.35202495278653334,0.9256298864386194,0.6298489292429565,0.7749185411239181,0.7601013394052416,0.7214771272244391,0.6485249676849663,0.7414998389739269,0.6709289110058704,0.45260788585363554,0.3049961599852442,1.0,0.6209674955533429,0.5270914818088126,0.5516356214604039,0.8246689565255869,0.2617626428501115,0.46691305811781403,0.5423900334759728,0.4735587871401077,0.5651793063945764,0.761709871029703,0.774439551030405,0.7107128557110383,0.7677654695347058,0.7117838851020512,0.6995950811706579,0.7145193853707981,0.6917407283985815,0.5850417896113804,0.611757657286649,0.5295223425221653,0.5263668348542399,0.24237761080685172,0.5783714212371323,0.28984047125799683,0.5415033024327579,0.3240136132662996
"Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8528943033539844,0.7572414644816605,0.45296986371289116,0.6383810431903094,0.8305332446354308,0.7109111407785198,0.5994574148928908,0.45287812294544894,0.6399623661409743,0.9209092010688654,0.7950776978374188,0.7552621961133059,0.8909855475190486,0.3916550514830458,0.6419104418256498,0.9029358866260582,0.7176552706695702,0.5301886240663437,0.6209674955533429,1.0,0.8995479677474597,0.9272158700494787,0.7668443877001078,0.6341481806514087,0.8200910287942899,0.742742405030263,0.7400892621931714,0.7284934410450187,0.45036465797159153,0.5764474060998327,0.4989665137159248,0.44681978791099386,0.6268888623650295,0.48555917322176345,0.6983638670796262,0.788657997937536,0.7602368756692913,0.8490109486639006,0.8610263686312991,0.7811430439780208,0.47434409400660427,0.508410075873604,0.5091926682030592,0.3129419677475489,0.30287474879485354
"Bergamot (Italy, Calabria) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8609289448934713,0.7595535026135407,0.47333249058976923,0.6602391865473611,0.8417299171078144,0.6466184580360392,0.6480217755417645,0.473239167973575,0.5490246535480354,0.8779833011555347,0.7001276701937061,0.6759786354543724,0.7985521953150367,0.3052321991750272,0.5698866032486023,0.8180597065607148,0.7611424161836643,0.5855571554393937,0.5270914818088126,0.8995479677474588,1.0,0.9603074861546289,0.6681302864564581,0.7299776780980527,0.8661239375236799,0.7152354476850934,0.730887371939001,0.6917228577950456,0.36746600226079185,0.4995601783613657,0.414079399262547,0.3495132947979005,0.5500715518912362,0.39517159011987024,0.6425382615643417,0.7267257593551838,0.7122029006344431,0.8287223213500488,0.8666551612926923,0.81339581947811,0.513526436288671,0.46651103876808353,0.561492100666615,0.2447269674172109,0.25713105306992556
"Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8735196102420025,0.7554326316441561,0.45163754479819607,0.638151089829033,0.8600608379915583,0.6674904847812028,0.6174874711707083,0.45154025550212207,0.5715597233734937,0.894444921509561,0.7328282351637347,0.7038237239908833,0.8227790009944509,0.3360748381275962,0.5940269453564904,0.8466352900893228,0.7374063619497038,0.5611233501276977,0.5516356214604039,0.9272158700494776,0.9603074861546289,1.0,0.6986916787122128,0.7045871105982346,0.8756464533398703,0.7433912066213417,0.7590468235866432,0.6987325918477929,0.38808575194771255,0.5218601903520843,0.4450925370572383,0.3799569492205429,0.5814289455740626,0.4301336764800373,0.6579484386402239,0.7522274229167053,0.7473351390177921,0.8376236286469666,0.8941563955982514,0.7926613293522136,0.48817112848365884,0.4775649906790138,0.5411436507010081,0.25970719122168395,0.28001886922537156
"Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.6895105611549508,0.6527261398637512,0.362468265503209,0.5179792188946563,0.6749100370568744,0.7824242782799423,0.44232342804748914,0.36241503699293487,0.827322255058208,0.7570857972341121,0.927274855895899,0.8510599873914642,0.8531747128217385,0.592736350155147,0.7668122770787329,0.8207532147363878,0.5438907891568199,0.37904249240797994,0.8246689565255869,0.7668443877001078,0.6681302864564581,0.6986916787122128,1.0,0.4094295825116895,0.6272800510865627,0.6896722486001094,0.6401650558880274,0.6570206451934255,0.6335775922980124,0.7297647267958447,0.6870390583832384,0.674397289898045,0.7678456907108466,0.6853508407519053,0.7489535286818058,0.8037700210266361,0.73879103030617,0.7305696407502847,0.6873269599395316,0.6159727717108154,0.33108618135362833,0.5695777627466645,0.36900822847764114,0.44111177796415124,0.35285922758774113
"Bergamot (Italy, Sicily) 1a Castagnaro - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.6724412851498083,0.5941256939159427,0.36952460654816843,0.5223305796802922,0.6849925620154175,0.41901692732226525,0.5734129572822037,0.3695053451636263,0.28572634808789643,0.6223479490807873,0.44795492040056895,0.43470725010360134,0.5330049862262942,0.07354129316973701,0.3438911876352244,0.5670071289090505,0.643099894333024,0.5717435416517802,0.2617626428501115,0.6341481806514084,0.7299776780980527,0.7045871105982346,0.4094295825116895,1.0,0.7608044726455615,0.5672276924784417,0.6247539006798156,0.4932017702229281,0.11693112741689382,0.26166164090451993,0.18327044939576687,0.09468740501913975,0.33162048335627836,0.160833208618117,0.41955723910052667,0.5025872818904105,0.5357902436092282,0.6141133512073135,0.6897217816199768,0.6425600593825005,0.49853976770542385,0.28186342689927224,0.5608668991439636,0.014414499059203667,0.10388168106333973
"Bergamot (Italy, Sicily) 1b Fantastico - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8490857527684473,0.7195164967833991,0.37872637820377475,0.553186229000043,0.8911347389359119,0.6169026089812653,0.5484157688662317,0.3786912534453669,0.48789819544178037,0.794888415621293,0.6719710854754825,0.647877051806474,0.7250755864720586,0.3018376470554217,0.5528492393656079,0.7683040860494944,0.6599104040528871,0.5419525332894708,0.46691305811781414,0.8200910287942893,0.8661239375236799,0.8756464533398703,0.6272800510865627,0.7608044726455615,1.0,0.7870117096819021,0.8376513724101222,0.6062023750947241,0.31661203632493207,0.4656028737978787,0.4097049048921543,0.3215637976236534,0.5589901941498665,0.3941669422292935,0.6010104133375769,0.71293767603742,0.7691704644135815,0.7856209700270741,0.903198383786959,0.7087130824518482,0.4554827776752556,0.4423377273166279,0.5454668030780664,0.18063211434438664,0.2550026647448419
