,"Dracaena reflexa - Dracaena reflexa Lam. var. angustifolia Baker, fam. Liliaceae","Terminalia bentzoe - Terminalia bentzoe (L.) L.f.ssp.rodriguesensis Wickens, fam. Combretaceae"
"Dracaena reflexa - Dracaena reflexa Lam. var. angustifolia Baker, fam. Liliaceae",1.0,0.0
"Terminalia bentzoe - Terminalia bentzoe (L.) L.f.ssp.rodriguesensis Wickens, fam. Combretaceae",0.0,1.0
