,"Calamintha nepeta (Greece) 2 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Calamintha sylvatica (Yugoslavia) - Calamintha sylvatica Bromf., ssp. sylvatica, fam. Lamiaceae (Labiatae)"
"Calamintha nepeta (Greece) 2 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae",1.0,0.0
"Calamintha sylvatica (Yugoslavia) - Calamintha sylvatica Bromf., ssp. sylvatica, fam. Lamiaceae (Labiatae)",0.0,1.0
