,"Geranium (Australia) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 4 - Pelargonium graveolens L'Herit. ex Aiton, gam. Geraniaceae","Geranium (China, Beijing) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Chengdu) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaciae","Geranium (China, Yunnan) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Cuba) - Pelargonium species, fam. Geraniaceae","Geranium (India)  1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India) 12a Genotype 1 'Algerian' - Pelargonium species, fam. Geraniaceae","Geranium 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  9 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Litsea cubeba (India) 1b stem - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Rosa odorata (China) - Rosa odorata Sweet, fam. Rosaceae","Rosa rugosa (China) 1 - Rosa rugosa Thunb. (hybrids), fam. Rosaceae","Rosa rugosa (China) 2 - Rosa rugosa Thunb., fam. Rosaceae","Rosa rugosa - Rosa rugosa Thunb., var. plena Regel, fam. Rosaceae","Rose (Bulgaria) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Bulgaria) 2 - Rosa damascena Mill., fam. Rosaceae","Rose (Bulgaria) 4b - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1a - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1c - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1d - Rosa species (Moroccan), fam. Rosaceae","Rose (China) 2 - Rosa damascena Mill., fam. Rosaceae","Rose (India) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 3 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 4 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 5 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 6 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 7 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 8 - Rosa damascena Miller, fam. Rosaceae"
"Litsea cubeba (India) 1b stem - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae",0.18418835371507392,0.19604610723809257,0.25841694022656336,0.24575192676447866,0.23378019359458957,0.23585952215193895,0.27998645877254036,0.24794589195523464,0.2806047557515168,0.2763837767199422,0.2797883496233593,0.2229076282994097,0.0698610701243132,0.33263533672661627,0.2844498922601172,0.12761726596620782,0.2614268372033779,0.23835157542158925,1.0,0.1259922366191144,0.21094237856967368,0.2229908477906788,0.15214470995449458,0.0650283036478233,0.060103013725884336,0.041069389472471296,0.2504162852691315,0.22105445225284737,0.1943957398690036,0.20087000975660052,0.12573129511088976,0.14529279235267634,0.0655197498307194,0.19285802781590544,0.1160146833555602,0.10369952723454745,0.12287496697100508,0.17345689600710124
"Rosa odorata (China) - Rosa odorata Sweet, fam. Rosaceae",0.3244083952838809,0.39505229340617176,0.44350863266952223,0.4702073188284527,0.4185197027845192,0.4383075313704462,0.3334248480453442,0.5089788416769225,0.5494695676524437,0.44635870028793,0.47249343893714224,0.4619924415715848,0.14159445984459018,0.19576609549152368,0.2601605402561986,0.29152479594476377,0.42696906256656375,0.5913798685445494,0.1259922366191144,1.0,0.608550315540808,0.6256263932333079,0.5412590692574925,0.37191223061712564,0.2832629087584785,0.18174795337327532,0.5787507772776246,0.6674592765066536,0.46484999097005386,0.5868790762723985,0.7258382594339354,0.523716897638336,0.34591183164858985,0.6783867810013606,0.5230492024916442,0.5714084181756951,0.5655142580242882,0.637914670576651
"Rosa rugosa (China) 1 - Rosa rugosa Thunb. (hybrids), fam. Rosaceae",0.33034638168569685,0.48401892387758183,0.523293727465804,0.5848505382233509,0.456234435765867,0.5425556691846873,0.37192259394706695,0.6587247517424648,0.6525578080487642,0.5545780101691484,0.5412437701819013,0.5914395731013125,0.18822848248400126,0.2635005293455267,0.34930828856091556,0.4020888150475176,0.4123600615874141,0.6126038836988325,0.21094237856967368,0.608550315540808,1.0,0.7089284820447994,0.7842167518902148,0.2896992996349992,0.252559119100062,0.1456840871074555,0.575236464115989,0.7775197267648716,0.4505865742995876,0.8660220708568681,0.4889172125956045,0.5356843795950396,0.4089060435428741,0.548643991321978,0.3442986817384983,0.5291612353074624,0.49524272759960053,0.48091725815983977
"Rosa rugosa (China) 2 - Rosa rugosa Thunb., fam. Rosaceae",0.46460403768755487,0.4981133239305636,0.5836554240190545,0.5953180741595774,0.5640796238111975,0.568353968227483,0.48461792876975895,0.6150121550171121,0.7028089558123908,0.5990861266183591,0.6216670431413256,0.5888554638057947,0.2841155342667001,0.33743396749563004,0.3971757184379898,0.3902564524693769,0.5850754870625141,0.6533061872687504,0.2229908477906788,0.6256263932333082,0.7089284820447996,1.0,0.589184408381098,0.4460478468498932,0.39368072946128974,0.22785418134602198,0.7775928804121885,0.8253414687282221,0.6602669022558016,0.6582388277547799,0.5817054995324926,0.579328059621683,0.40104823510234033,0.6489931511940983,0.46240615528605467,0.6395762288806494,0.6384302597963114,0.5852458310658274
"Rosa rugosa - Rosa rugosa Thunb., var. plena Regel, fam. Rosaceae",0.20675415632034766,0.40123707351505267,0.40851482209153167,0.4861081699787978,0.3331046792936522,0.42931454627561794,0.2429577754496478,0.5813176723670319,0.5307633148721085,0.42358721142549627,0.42242194360579766,0.48101371206973587,0.03465107862359684,0.14644738744670682,0.23745225253300373,0.3164473075246066,0.2866016898737068,0.5991471907718133,0.15214470995449458,0.5412590692574925,0.7842167518902148,0.5891844083810981,1.0,0.19535016451521336,0.1581906473868785,0.0,0.4455323057583874,0.6598632153897754,0.3006450867195669,0.8186185607432834,0.36678519224589023,0.4617176678017544,0.38759332653905454,0.43275299083184215,0.21226258824751876,0.4896303589067085,0.445635518560797,0.3631587035015438
"Rose (Bulgaria) 1 - Rosa damascena Mill., fam. Rosaceae",0.36764011618654513,0.26044526420207303,0.3581791341641749,0.3142034676548139,0.3901478553728094,0.31940168702897465,0.35884180447859926,0.2898409138073943,0.39619675277753463,0.35286712777431517,0.3862647597876816,0.3079644005185229,0.22378401079959254,0.2237814222095107,0.23494248757266045,0.16912729589894138,0.46640233690474564,0.3443757269979696,0.0650283036478233,0.37191223061712564,0.2896992996349992,0.4460478468498932,0.19535016451521348,1.0,0.576734984993526,0.17055464401908726,0.5239942259843455,0.4198465733655594,0.5295330159502403,0.25260353334780083,0.3964523877339796,0.653466706183855,0.3642601249779781,0.46811450116669995,0.38565256897493305,0.5040531996762342,0.5006849216159001,0.4453928815809357
"Rose (Bulgaria) 2 - Rosa damascena Mill., fam. Rosaceae",0.34620152187342423,0.2325556041357083,0.3335432258978084,0.28609858097962815,0.3629512106394127,0.2950946163032194,0.34593943626982526,0.25725269914033067,0.3609588985005693,0.33158352695889315,0.3575582895388516,0.28220423832313724,0.2244215408010426,0.22705244807958191,0.23024358220713836,0.15136441320972682,0.43163629805606774,0.2886401606746539,0.060103013725884336,0.2832629087584785,0.252559119100062,0.39368072946128974,0.1581906473868785,0.576734984993526,1.0,0.17208053324353512,0.47123917157417927,0.37020937974435575,0.48565475689703075,0.2134969608526177,0.35109061087356597,0.4379157335884576,0.533212239094863,0.441059273909407,0.3706702297306508,0.4876665409057642,0.4569668336698747,0.4276662344986977
"Rose (Bulgaria) 4b - Rosa damascena Mill., fam. Rosaceae",0.27152725175149495,0.1578713350179093,0.2617148860818638,0.2181543628110374,0.2816988906445206,0.24424969492623994,0.3171230658838855,0.1704515077041433,0.26275008384083265,0.3009201074776826,0.2782694241944891,0.23105397917396042,0.2885355785253859,0.2740457676288869,0.2585758628408703,0.13656010397821527,0.30431946441012403,0.06971808037707827,0.041069389472471296,0.18174795337327532,0.1456840871074555,0.22785418134602198,0.0,0.17055464401908726,0.17208053324353512,1.0,0.2946192306600415,0.20237289130812985,0.3553117026240077,0.09301264139122511,0.34690979968409663,0.1637720215322408,0.005639332537079378,0.3501453590184782,0.42243948512403984,0.12589691595128294,0.1383376069006491,0.3660122111307932
"Rose (China) 1a - Rosa damascena Mill., fam. Rosaceae",0.5537216122163966,0.4894006802535621,0.6091700184916244,0.5746638700482862,0.6263244673912325,0.570003083927543,0.5724211359263845,0.5628522141929639,0.7034544275317778,0.6223006242365696,0.6572890297060838,0.5659889588218507,0.3720971291019993,0.4097131873469789,0.4383592273761595,0.37574652963244615,0.7069034741122756,0.6142681530249481,0.2504162852691315,0.5787507772776246,0.575236464115989,0.7775928804121885,0.4455323057583874,0.5239942259843455,0.47123917157417927,0.2946192306600415,1.0,0.7552964589878294,0.8158816166980933,0.5244323011794054,0.6131249498270429,0.5596297114885933,0.361905622047898,0.6852670846336517,0.535654636862833,0.6423665241477706,0.6730257121662828,0.6354807045667104
"Rose (China) 1c - Rosa damascena Mill., fam. Rosaceae",0.4362114517549026,0.5146145966125096,0.5840086246983269,0.6110240649740653,0.5489867154032079,0.5805165795095972,0.4606481484661361,0.6588901434968721,0.7294223005020015,0.6085741738394388,0.6205929130439993,0.6093095780647304,0.26167532827611073,0.312859264010221,0.3824316483828447,0.40498305005355195,0.5491165594131198,0.69612018053854,0.22105445225284737,0.6674592765066534,0.7775197267648712,0.8253414687282221,0.6598632153897753,0.4198465733655594,0.37020937974435575,0.20237289130812985,0.7552964589878294,1.0,0.615602518355818,0.7221195391303783,0.5830659730931809,0.5956972119493331,0.42546213157688084,0.649370358915163,0.43724131681128864,0.6651147914686069,0.6501001925126522,0.5791759814908315
