,"Annona squamosa root - Annona squamosa L., fam. Annonaceae (sweetsop or custard apple)","Basil (Italy) 4a steamdistillate - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Cangerana (Brazil) - Cabralea cangerana Sald. (C. glaberrima A. Juss.), fam. Meliaceae",Clove bud 3 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),"Copaiba balsam 1 - Copaifera reticulata Ducke, fam. Legumiosae (Papilionaceae)","Copaiba balsam 2 - Copaifera officinalis L., fam. Legumiosae (Papilionaceae)","Guarea cedrata bark - Guarea cedrata (A. Chev.) Pellegr., fam. Meliaceae","Helichrysum hypnoides (Madagascar) 3 - Helichrysum hypnoides (DC.) R.Vig. et Humbert, fam.Asteraceae (Compositae)",Hemizygia welwitschii - Hemizygia welwitschii (Rolfe) M.Ashby (Orthosiphon welwitschii),"Hyptis pectinata - Hyptis pectinata (L.) Poit., fam. Lamiaceae (Labiatae)","Magnolia grandiflora flower (India) - Magnolia grandiflora L., fam. Magnoliaceae","Marihuana (India) - Cannabis sativa L., fam. Cannabinaceae","Melissa romana - Melissa romana Mill., fam. Lamiaceae (Labiatae)","Micromeria myrtifolia (Turkey) - Micromeria myrtifolia Boiss. et Hohen, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Aruba) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Orthodon dianthera (Vietnam) - Orthodon dianthera Maxim. (Mosla dianthera Maxim.), fam. Lamiaceae","Pepper, black (China) 2 root - Piper nigrum L., fam. Lamiaceae","Pepper, black (India) 7c cv. Kuthiravally - Piper nigrum L., cultivar Kuthiravally, fam. Piperaceae","Pepper, black (Malaysia) - Piper nigrum L., fam. Piperaceae","Pistacia lentiscus (Italy) 1a CO2-extract - Pistacia lentiscus L., fam. Anacardiaceae","Pistacia lentiscus (Italy) 3a CO2 extract leaf - Pistacia lentiscus L., fam. Anacardiaceae","Polygonum odoratum - Polygonum odoratum L., fam. Polygonaceae","Psidium cattleianum leaf - Psidium cattleianum Sabine, fam. Myrtaceae","Psidium friedrichsthalianum leaf - Psidium friedrichsthalianum (Berg) Niedenzu, fam. Myrtaceae","Pterodon polygalaeflorus - Pterodon polygalaeflorus Benth., fam. Leguminosae","Salvia canariensis (Spain) - Salvia canariensis L., fam. Lamiaceae (Labiatae)","Salvia nemorosa (Canada) - Salvia nemorosa L., fam. Lamiaceae (Labiatae)","Sindora glabra (China) - Sindora glabra Merr. ex De Wit, fam. Caesalpiniaceae","Spilanthes acmella - Spilanthes acmella Murr., fam. Asteraceae (Compositae)",Synedrella nodiflora leaf (Fiji) - Synedrella nodiflora (L.),"Vitex limonifolia leaf - Vitex limonifolia Wall., fam. Verbenaceae","Vitex trifolia var. bicolor (Fiji) - Vitex trifolia L. var. bicolor Moldenke (Willd.), fam. Verbenaceae","Vitex trifolia var. bicolor (Thailand) - Vitex trifolia L. var. bicolor Moldenke (Willd.), fam. Verbenaceae","Ylang Ylang (China) 1 - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae"
"Psidium friedrichsthalianum leaf - Psidium friedrichsthalianum (Berg) Niedenzu, fam. Myrtaceae",0.6412832782438651,0.48622497491042926,0.557645342594576,0.2660322500059933,0.48929528535436106,0.566469308211989,0.546499953859147,0.5874368396997414,0.5789479282855137,0.4304662790623449,0.6215575935477153,0.5398468454044817,0.3466657194485496,0.5771896990338554,0.553380960523682,0.43892720958749776,0.572112944097743,0.6198975870140921,0.5579750915633364,0.5732249992286811,0.5732275422341471,0.5710000810942155,0.5014329928311196,1.0,0.5063927316640832,0.47682589210565496,0.6585052987646154,0.24568573906969182,0.46757134686563917,0.5551573701260855,0.5595630914967706,0.44350367384130274,0.4457438873525965,0.49156955874612085
"Pterodon polygalaeflorus - Pterodon polygalaeflorus Benth., fam. Leguminosae",0.5252393194876246,0.4021336692141768,0.5932489720792209,0.16903672520512825,0.3821872681481385,0.5061338459490295,0.48733183643586786,0.4977712850170902,0.49748368221537453,0.3048859149292741,0.5573181178099036,0.46287787774042266,0.31853006930486394,0.4983195487269164,0.4574087739417054,0.3804861649563276,0.44770654326368353,0.504734576792004,0.48353292836293615,0.539869154924101,0.5398715135808168,0.49972693313066474,0.3606369081897133,0.5063927316640832,1.0,0.3838039414243736,0.46606077750095254,0.2338582545583353,0.42590834063331284,0.454712059692033,0.4384055528742624,0.31782561855095415,0.32008891635556247,0.7034391078268163
"Salvia canariensis (Spain) - Salvia canariensis L., fam. Lamiaceae (Labiatae)",0.5216130193954864,0.37355927300115266,0.4941034221357433,0.1247330642191522,0.36374577056168955,0.4568358912573389,0.5252903934588954,0.5005014693560899,0.48441336134347335,0.2500704608403972,0.5000747691604526,0.4182450979354396,0.29656629602419815,0.46916060375174906,0.40002867356655303,0.3136732905223062,0.42992331514069804,0.49382461304841074,0.4558893886881473,0.4777214455587814,0.47772303460990495,0.4750433086506085,0.35465608249448166,0.47682589210565496,0.3838039414243736,1.0,0.4823402087958748,0.20839252873475567,0.4041118257786064,0.43873064999374334,0.45289951824372077,0.3090717872115023,0.31137157856519426,0.42239530235337375
"Salvia nemorosa (Canada) - Salvia nemorosa L., fam. Lamiaceae (Labiatae)",0.6636927312875155,0.5359414498524522,0.6014139607426399,0.3130755034722562,0.534270754916525,0.6084367006926875,0.5977628509882311,0.6279977125331087,0.66334340178489,0.4213959928951172,0.6447933786122966,0.5793664594896244,0.3652246449915826,0.6727246818463634,0.5343601921166313,0.475811868536137,0.6270261409284097,0.6862066630176276,0.6195809203883293,0.6055603168592159,0.6055598313064454,0.6254553712276605,0.5665687181423636,0.6585052987646154,0.46606077750095254,0.4823402087958748,1.0,0.26425802064886794,0.5147773084708192,0.624050037216346,0.6296191113764767,0.5780534030444088,0.5807711190073281,0.520339871200374
"Sindora glabra (China) - Sindora glabra Merr. ex De Wit, fam. Caesalpiniaceae",0.27887789604255964,0.2037379511661508,0.30590680558164396,0.0,0.4297108729587271,0.2703180172415558,0.2568170989656612,0.2797875244563419,0.2844979668000982,0.10157953871968806,0.2959759252258216,0.24147842790299479,0.16094146225076655,0.28287897795378214,0.21984434245347895,0.16881735144142418,0.24011565116724687,0.2687796257377967,0.2637462545553533,0.2915291056656971,0.2915306375410476,0.2812426206871612,0.17309096094372312,0.24568573906969182,0.2338582545583353,0.20839252873475567,0.26425802064886794,1.0,0.22882533903152802,0.2608268159058408,0.24075262207503534,0.1403731624765967,0.14225447546142633,0.26841292461541233
"Spilanthes acmella - Spilanthes acmella Murr., fam. Asteraceae (Compositae)",0.5184062484138248,0.4068754817393706,0.5532389848463786,0.14876536714159794,0.3877295120682539,0.4931498495651584,0.46924835506533213,0.5171741074989495,0.5151454214480311,0.26957669923566374,0.5372575208424523,0.45044208805602093,0.3320872254526911,0.5058593338391252,0.4208473788329701,0.34353378475995144,0.45330572252031054,0.5009866639205437,0.4936967906987233,0.5354535534675502,0.5354558897046764,0.5045303357750137,0.37252354321786774,0.46757134686563917,0.42590834063331284,0.4041118257786064,0.5147773084708192,0.22882533903152802,1.0,0.47192309477020566,0.4625432344839966,0.32924637500658693,0.3316064105693344,0.45076159357868595
Synedrella nodiflora leaf (Fiji) - Synedrella nodiflora (L.),0.6270651345954217,0.5621653780889997,0.6068873970538067,0.3831856519860235,0.585197838947042,0.630667052403718,0.6229058931121576,0.5854637195084407,0.6019126173344727,0.46753748697790276,0.636834094678046,0.6232026161770758,0.34831746872511127,0.7194350353725654,0.5345012921541907,0.4960220095279292,0.6665323563604402,0.6017127207352322,0.6232053270534735,0.6203317996403752,0.6203346581679285,0.611898275080334,0.6178102511336525,0.5551573701260855,0.454712059692033,0.43873064999374334,0.624050037216346,0.2608268159058408,0.47192309477020566,1.0,0.6298207291391298,0.5673096942920531,0.5693471333905236,0.5239130780429888
"Vitex limonifolia leaf - Vitex limonifolia Wall., fam. Verbenaceae",0.6604444810072446,0.5461438821814197,0.5549316822554515,0.36093594928120176,0.5456842334652383,0.5945360387804344,0.6038010996450367,0.6223078726235973,0.6092351388540003,0.34574975707845423,0.6230001688245422,0.6021397631867815,0.34663437327417734,0.7153474744292769,0.541971519753911,0.5008750161502302,0.6373074153844007,0.6015583617412519,0.6138444820328945,0.5635670726331455,0.563554990250746,0.6466404617854907,0.629730544464193,0.5595630914967706,0.4384055528742624,0.45289951824372077,0.6296191113764767,0.24075262207503534,0.4625432344839966,0.6298207291391298,1.0,0.5958868516603296,0.5981756862050251,0.4906890139387883
"Vitex trifolia var. bicolor (Fiji) - Vitex trifolia L. var. bicolor Moldenke (Willd.), fam. Verbenaceae",0.5461477082133561,0.5623897489804534,0.3828841258295079,0.6270973870477061,0.6032633791184989,0.5394106951381685,0.5778265142371515,0.46720923921716573,0.49834512728158253,0.2884688319403773,0.48500288834603333,0.5672703610910839,0.20786263199108612,0.6104711486748104,0.4644910914363598,0.5581502877182065,0.6944592251918285,0.5045251560969952,0.5285527617399373,0.4078026999123249,0.4077907339338236,0.5065670795404686,0.8058540174325424,0.44350367384130274,0.31782561855095415,0.3090717872115023,0.5780534030444089,0.1403731624765967,0.32924637500658693,0.5673096942920531,0.5958868516603297,1.0,0.995721046188572,0.3775760248075126
"Vitex trifolia var. bicolor (Thailand) - Vitex trifolia L. var. bicolor Moldenke (Willd.), fam. Verbenaceae",0.548534093453855,0.563848777648448,0.3855864180212356,0.6251222930537926,0.604446993474157,0.5415870453206317,0.5797763833898468,0.46982113964180383,0.501254653980304,0.28999077415046604,0.4877603348072381,0.5690954045836789,0.21006948041662865,0.612921593487592,0.46653458486116006,0.5591084791719563,0.6961324637160995,0.5068991291907903,0.5308855654422856,0.41037838218754497,0.41036636393834847,0.5091282875807708,0.806241301712919,0.4457438873525965,0.32008891635556247,0.31137157856519426,0.5807711190073281,0.14225447546142633,0.3316064105693344,0.5693471333905233,0.5981756862050251,0.995721046188572,1.0,0.3798926791727236
"Ylang Ylang (China) 1 - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae",0.5570824788570179,0.4722369762775338,0.605108590358943,0.2247967268477279,0.43564000352233634,0.5415788009602166,0.5340135884342198,0.5449580442366253,0.546991376377597,0.294709801266522,0.5651994851439648,0.5342827355438464,0.3348544185047666,0.545557726841251,0.45842610880126744,0.43971516301778557,0.5094699577105848,0.5561000979116159,0.5178807193715435,0.560749407469736,0.5607518782483691,0.5460951593600577,0.42306182847442486,0.49156955874612085,0.7034391078268163,0.42239530235337375,0.520339871200374,0.26841292461541233,0.45076159357868595,0.5239130780429888,0.4906890139387883,0.3775760248075126,0.3798926791727236,1.0
