,"Aframomum melegueta - Aframomum melegueta (Roscoe) K. Schum., fam. Zingiberaceae","Alpinia chinensis root (Vietnam) - Alpinia chinensis Rosc., fam. Zingiberaceae","Argyranthemum adauctum ssp. adauctum - Argyranthemum adauctum ssp.adauctum Humphries, fam.Asteraceae (Compositae)","Artemisia verlotiorum (Italy) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)","Baccharis coridifolia - Baccharis coridifolia De Candole, fam. Asteraceae (Compositae)","Canella winterana (Cuba) 2 - Canella winterana (L.) Gaertn., fam. Canellaceae","Curcuma pierreana (Vietnam), 1b stem - Curcuma pierreana Gagnep., fam. Zingiberaceae","Curcuma pierreana (Vietnam), 1c leaf - Curcuma pierreana Gagnep., fam. Zingiberaceae","Lemon balm (Germany) - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Melittis melissophyllum - Melittis melissophylum L., ssp. albida Guss, fam. Lamiaceae (Labiatae)","Micromeria graeca (Greece) - Micromeria graeca (L.) Bentham et Reichenb., fam. Lamiaceae (Labiatae)","Mullilam leaf (India) - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae","Myrceugenia miersiana (Brazil) - Myrceugenia miersiana (Gardner) D. Legrand et Kausel, fam. Myrtaceae","Myrceugenia myrcioides (Brazil) - Myrceugenia myrcioides (Cambess.) O. Berg, fam. Myrtaceae","Nepeta betonicifolia (Turkey) - Nepeta betonicifolia C.A. Meyer, fam. Lamiaceae (Labiatae)","Nepeta cataria (Argentina) - Nepeta cataria L., fam. Lamiaceae (Labiatae)","Nepeta cilicia - Nepeta cilicia Boiss., fam. Lamiaceae (Labiatae)","Pelargonium sidoides - Pelargonium sidoides DC., fam. Geraniaceae","Pinus sylvestris (Greece) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae","Psidium myrsinoides (Brazil) - Psidium myrsinoides O. Berg, fam. Myrtaceae","Satureja wiedemanniana - Satureja wiedemanniana (Lallem.) Velen, fam. Lamiaceae (Labiatae)","Yarrow (Cuba) - Achillea millefolium L., fam. Asteraceae (Compositae)","Yarrow (Poland) - Achillea millefolium L., fam. Asteraceae (Compositae)"
"Micromeria graeca (Greece) - Micromeria graeca (L.) Bentham et Reichenb., fam. Lamiaceae (Labiatae)",0.34826867175292586,0.5633035396314691,0.6528483177713231,0.512934625599274,0.38768343374371017,0.520676934226721,0.5251193224963506,0.5355003518753125,0.6552573520504167,0.60112765350319,1.0,0.6383308548969581,0.5006722819128222,0.42063337631274567,0.47202804105084106,0.11380414632361147,0.42525336633589306,0.6687226297419326,0.447676450913681,0.5461708466148905,0.6118586057511235,0.6167153472471774,0.6103935442285443
"Mullilam leaf (India) - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae",0.40409571727254,0.6566110979170002,0.7027145469928426,0.5646995307474814,0.470326047010151,0.577606593021361,0.6213695233672123,0.6320748982153856,0.7133298207791906,0.6893766605991107,0.6383308548969581,1.0,0.5756979500399686,0.5095691743182811,0.5716972428510048,0.16789289235261928,0.5577170203936146,0.7876479848314828,0.5154131177572832,0.7038067021453691,0.7107783446584084,0.7312819493127192,0.7398198310636239
"Myrceugenia miersiana (Brazil) - Myrceugenia miersiana (Gardner) D. Legrand et Kausel, fam. Myrtaceae",0.28055813889399295,0.4949398323517995,0.5379057475898625,0.42296608711568795,0.39309879999860886,0.3946194039357148,0.46904121543641364,0.48089903710620174,0.5473206990160948,0.5308827988938039,0.5006722819128222,0.5756979500399686,1.0,0.6732293841497037,0.4023234821434324,0.07834004430809849,0.3605352655013747,0.5934449819474008,0.40531482746518344,0.4917241099019748,0.5829487209606876,0.5283852050229714,0.5503666349108552
"Myrceugenia myrcioides (Brazil) - Myrceugenia myrcioides (Cambess.) O. Berg, fam. Myrtaceae",0.23815991668599845,0.41827459383633725,0.4589690359316866,0.4059453991493136,0.33431817604073266,0.30757668007600714,0.40124473056455034,0.4111722161044137,0.4636321141154027,0.4519648363241021,0.42063337631274567,0.5095691743182811,0.6732293841497037,1.0,0.3681506210736746,0.029983660300519466,0.2736274895384877,0.4987430392565314,0.3627110662926092,0.4111563704600705,0.5435875517265233,0.43853480270563117,0.4711217425119968
"Nepeta betonicifolia (Turkey) - Nepeta betonicifolia C.A. Meyer, fam. Lamiaceae (Labiatae)",0.3436311323744451,0.47743427143588935,0.5168303234716081,0.5320727508676599,0.3170924900478731,0.7162696926395049,0.39113947954709183,0.39923159045811973,0.5227668307052604,0.4896719576090225,0.47202804105084106,0.5716972428510048,0.4023234821434324,0.3681506210736746,1.0,0.11055510944773006,0.7038437227721395,0.562866251033272,0.3962415651595941,0.5267177319128951,0.49624768737978076,0.6154725026523689,0.46653638501520334
"Nepeta cataria (Argentina) - Nepeta cataria L., fam. Lamiaceae (Labiatae)",0.0,0.12199687943948012,0.13913605456962674,0.0875011571583052,0.024206857958472994,0.1184458183775835,0.09828983053496121,0.10328436401033059,0.14409611341972084,0.13226912010543368,0.11380414632361147,0.16789289235261928,0.07834004430809849,0.029983660300519466,0.11055510944773006,1.0,0.10513981048725662,0.16440590067773286,0.05338922666878376,0.1413116727659547,0.12784150065871214,0.15743903179626995,0.1432019652109433
"Nepeta cilicia - Nepeta cilicia Boiss., fam. Lamiaceae (Labiatae)",0.323607898273372,0.45332523841130523,0.46540407774438397,0.4545697556028929,0.3040243568241878,0.6925789737207633,0.3889928639516296,0.39222892425391664,0.46313774060749213,0.44078833711314946,0.42525336633589306,0.5577170203936146,0.3605352655013747,0.2736274895384877,0.7038437227721395,0.10513981048725662,1.0,0.514908038652073,0.33933908172555505,0.6100155746467243,0.4483402115546652,0.5781935560680127,0.4525939199255712
"Pelargonium sidoides - Pelargonium sidoides DC., fam. Geraniaceae",0.39097734310693877,0.6610591512079744,0.7365238381790589,0.5731933497198441,0.45471143551267323,0.5794425352331487,0.6097906127032926,0.6261498554839505,0.7586564816545015,0.7293960757427991,0.6687226297419326,0.7876479848314828,0.5934449819474008,0.4987430392565314,0.562866251033272,0.16440590067773286,0.514908038652073,1.0,0.5280926192140833,0.6297654459652858,0.7030502060963006,0.7400466140794318,0.7361931542861719
"Pinus sylvestris (Greece) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae",0.260194002991023,0.44988194879505605,0.4899426617923226,0.4010620062362129,0.3020069102360583,0.38517230272814307,0.40694071360729445,0.4188054341556028,0.49848580715121404,0.4796297566617804,0.447676450913681,0.5154131177572832,0.40531482746518344,0.3627110662926092,0.3962415651595941,0.05338922666878376,0.33933908172555505,0.5280926192140833,1.0,0.40905140570773624,0.48006026593941475,0.4883713497841401,0.48372508200414366
"Psidium myrsinoides (Brazil) - Psidium myrsinoides O. Berg, fam. Myrtaceae",0.45693474913173626,0.5775871785422529,0.5663134759739981,0.4728485589256981,0.4152561946798907,0.6021586450966081,0.5555845140536146,0.5520194804638183,0.5734506088272544,0.5586113078049622,0.5461708466148905,0.7038067021453691,0.4917241099019748,0.4111563704600705,0.5267177319128951,0.1413116727659547,0.6100155746467243,0.6297654459652858,0.40905140570773624,1.0,0.5858831914405036,0.6407518743923919,0.6260441842074735
"Satureja wiedemanniana - Satureja wiedemanniana (Lallem.) Velen, fam. Lamiaceae (Labiatae)",0.342435446758652,0.6189151520078243,0.6734882286913877,0.6035010390675521,0.44937610564866814,0.47384996083673303,0.5812721938762873,0.5982648904001658,0.6545804537334717,0.6396100676804752,0.6118586057511235,0.7107783446584084,0.5829487209606876,0.5435875517265233,0.49624768737978076,0.12784150065871214,0.4483402115546652,0.7030502060963006,0.48006026593941475,0.5858831914405036,1.0,0.688869028510847,0.6829923633557627
"Yarrow (Cuba) - Achillea millefolium L., fam. Asteraceae (Compositae)",0.40875959481384827,0.626988407038719,0.7074065838865188,0.684101844248368,0.42297140129928157,0.6293798316272279,0.5750212157445094,0.5896907816650623,0.6977467769236954,0.6671106022883405,0.6167153472471774,0.7312819493127192,0.5283852050229714,0.43853480270563117,0.6154725026523689,0.15743903179626995,0.5781935560680127,0.7400466140794318,0.4883713497841401,0.6407518743923919,0.688869028510847,1.0,0.6931691336382936
"Yarrow (Poland) - Achillea millefolium L., fam. Asteraceae (Compositae)",0.3704002221788426,0.6283240807798297,0.7233745737071027,0.5458743982677583,0.44449077016957306,0.4870882779589495,0.6162031868653908,0.6429291625563514,0.6803295995801546,0.6723781752287704,0.6103935442285443,0.7398198310636239,0.5503666349108554,0.4711217425119968,0.46653638501520334,0.1432019652109433,0.4525939199255712,0.7361931542861719,0.48372508200414366,0.6260441842074735,0.6829923633557627,0.6931691336382936,1.0
