,"Tagetes (Cameroon) 1b flower - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes terniflora (Argentina) - Tagetes terniflora H.B.K., fam. Asteraceae (Compositae)"
"Tagetes (Cameroon) 1b flower - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",1.0,0.0
"Tagetes terniflora (Argentina) - Tagetes terniflora H.B.K., fam. Asteraceae (Compositae)",0.0,1.0
