,"Mentha candicans - Mentha candicans Miller, fam. Lamiaceae (Labiatae)","Thyme (France) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)"
"Mentha candicans - Mentha candicans Miller, fam. Lamiaceae (Labiatae)",1.0,0.0
"Thyme (France) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)",0.0,1.0
