,"Cochlospermum planchonii tubercle - Cochlospermum planchonii A.Rich, fam. Bixaceae (Cochlospermaceae)","Cochlospermum tinctorium tubercle - Cochlospermum tinctorium (Hook.), fam. Bixaceae (Cochlospermaceae)"
"Cochlospermum planchonii tubercle - Cochlospermum planchonii A.Rich, fam. Bixaceae (Cochlospermaceae)",1.0,0.0
"Cochlospermum tinctorium tubercle - Cochlospermum tinctorium (Hook.), fam. Bixaceae (Cochlospermaceae)",0.0,1.0
