,"Abies fragesii - Abies fragesii Franch, fam. Pinaceae","Amomum villosum (China) 1b - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum (China) 1c - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum (China) 1d - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum (China) 1e - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum (China) 1f fruit - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum (China) 2a - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum (China) 2b - Amomum villosum Lour. var. xanthioides, fam. Zingiberaceae","Juniperus rigida (Japan) 1 - Juniperus rigida Mig., fam. Cupressaceae"
"Abies fragesii - Abies fragesii Franch, fam. Pinaceae",1.0,0.09097795783671847,0.0644097177331312,0.25455351341144417,0.0,0.06475868781897898,0.5975138924849073,0.34374110335733554,0.5777621680084835
"Amomum villosum (China) 1b - Amomum villosum Lour., fam. Zingiberaceae",0.09097795783671847,1.0,0.7960878603447706,0.79199188611407,0.7369234940587056,0.7971554941538065,0.40867001342335274,0.5723998929403489,0.3138124455698804
"Amomum villosum (China) 1c - Amomum villosum Lour., fam. Zingiberaceae",0.0644097177331312,0.7960878603447706,1.0,0.6773885218340798,0.7043853930605886,0.9874673994932339,0.3674498003338056,0.4801821140889787,0.292853839406799
"Amomum villosum (China) 1d - Amomum villosum Lour., fam. Zingiberaceae",0.25455351341144417,0.79199188611407,0.6773885218340798,1.0,0.5882596730310055,0.6780990324446876,0.5900707927556372,0.7380178104519919,0.4291497513368404
"Amomum villosum (China) 1e - Amomum villosum Lour., fam. Zingiberaceae",0.0,0.7369234940587056,0.7043853930605886,0.5882596730310055,1.0,0.7053585189876143,0.2530575734302287,0.3491517552613277,0.2771150199913064
"Amomum villosum (China) 1f fruit - Amomum villosum Lour., fam. Zingiberaceae",0.06475868781897898,0.7971554941538065,0.9874673994932339,0.6780990324446878,0.7053585189876143,1.0,0.3676401444754952,0.48062961015641226,0.2930398237233445
"Amomum villosum (China) 2a - Amomum villosum Lour., fam. Zingiberaceae",0.5975138924849069,0.40867001342335274,0.3674498003338056,0.5900707927556372,0.2530575734302287,0.3676401444754951,1.0,0.7038585449343331,0.5920825789216336
"Amomum villosum (China) 2b - Amomum villosum Lour. var. xanthioides, fam. Zingiberaceae",0.34374110335733554,0.5723998929403489,0.4801821140889787,0.7380178104519919,0.3491517552613277,0.48062961015641215,0.7038585449343331,1.0,0.41365604298736625
"Juniperus rigida (Japan) 1 - Juniperus rigida Mig., fam. Cupressaceae",0.5777621680084837,0.3138124455698804,0.292853839406799,0.4291497513368404,0.2771150199913064,0.2930398237233445,0.5920825789216336,0.41365604298736625,1.0
