,"Alpinia speciosa leaf (Egypt) - Alipinia speciosa (J.C. Wendl.) K. Schum., fam. Zingiberaceae","Alpinia speciosa rhizome (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae","Alpinia speciosa stem (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae","Blumea brevipes - Blumea brevipes (Oliv. & Hiern) Willd., fam. Asteraceae (Compositae)","Calycolpus australis leaf - Calycolpus australis Landrum, fam. Myrtaceae","Cupressus macrocarpa leaf (Argentina) - Cupressus macrocarpa Hartw., fam. Cupressaceae","Juniperus foetidissima leaf - Juniperus foetidissima Willd., fam. Cupressaceae","Marjoram, sweet (Egypt) 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Egypt) 2 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Egypt) 4 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (France) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Germany) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Hungary) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (India) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Portugal) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Rumania) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Tunisia) 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Tunisia) 2 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 3 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 4b standard essential oil - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Melaleuca parviflora - Melaleuca parviflora Link., fam. Myrtaceae","Origanum majorana var. tenuifolium - Origanum majorana L. var. tenuifolium, fam. Lamiaceae (Labiatae)","Styrax (Levant) - Liquidamber orientalis Mill. var. orinetalis, fam. Hamamelidaceae","Tea Tree (Australia)  1 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  2 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  3 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  6 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  7 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  8 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 10 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 11 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 12 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 13 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 14 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 15 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (China) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Hungary) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (India) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree 1 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree 2 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Triphasia trifolia Mauritius - Triphasia trifolia (Burm. f.), fam. Rutaceae"
"Tea Tree (Australia)  8 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.25747794427620974,0.2548959724146479,0.262244498574039,0.3625618530386312,0.2176672044592166,0.2863582476486428,0.1812100725446657,0.5430308603325404,0.32386268150060504,0.5442708081633054,0.10799405398724371,0.2285451870142624,0.382161194404564,0.17340452861559397,0.32931255490319844,0.26716175575220313,0.3191495327094964,0.5790858135148926,0.18341340901969416,0.44626843849070397,0.37085061287529575,0.7570407997816861,0.21125644658117182,0.3064232803050069,0.44057564643822333,0.7657218194413777,0.7418827734801356,0.7740427299061772,0.7575641439510066,1.0,0.7591636452156383,0.7583027866346572,0.7861676107462194,0.7864907641549153,0.7554103425722591,0.7952046586384939,0.7905193382697695,0.732220339765642,0.7298741655254416,0.7939340567914873,0.79774556699573,0.2424812222871613
"Tea Tree (Australia) 10 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.3236201639435685,0.32405365074319137,0.3191569471239538,0.3585160381860918,0.25264473885562677,0.2630590071456165,0.21919358362601093,0.5216909277242905,0.28996416613503406,0.5568941310981141,0.12204384447234817,0.2519775354501992,0.3847740153682043,0.1596811859663123,0.28173972287263493,0.28669880102209255,0.3508142367241359,0.5767505290207018,0.21773655443367945,0.48446148094014585,0.4253725924281576,0.7360395680619489,0.23672478369827155,0.2932353817141221,0.4700815598371709,0.8112804324090033,0.7320199808448045,0.7356880893018103,0.8437382409907475,0.7591636452156383,1.0,0.8722489655984965,0.8879706669529301,0.8717568844087369,0.881550934422693,0.8436866353273048,0.8744173003694268,0.7737027369444257,0.8148147395986511,0.8359939961213207,0.8441280615633018,0.24067281171172006
"Tea Tree (Australia) 11 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.31742438221193314,0.31997097842541367,0.30718813580422,0.32337404584508456,0.25821963114710345,0.250499391884087,0.1869231919801554,0.49380714933257774,0.26039274534784906,0.5586977500852676,0.09504882737450193,0.2286556085102034,0.35951491537879743,0.14085161181586303,0.256895762614601,0.2615072157667122,0.33043259303699546,0.5467649769386919,0.19464750289130717,0.4679552540832833,0.4186860018943046,0.7552628302380151,0.22469861211375364,0.28087488576731445,0.49163148444898785,0.8401357682727799,0.7304128922892981,0.7425282976991292,0.8783009419397402,0.7583027866346572,0.8722489655984965,1.0,0.9184022947299528,0.8779776364724909,0.9121891851188505,0.8615593294012462,0.8188678247997354,0.7741122026898798,0.8941562086926815,0.8602816557608262,0.8394250442080584,0.20036226000563373
"Tea Tree (Australia) 12 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.2933378884073162,0.3052958463911116,0.28845697514002777,0.33778900071798235,0.23078755538421702,0.2569781058430528,0.1887431753058998,0.516640744596983,0.28992739322644323,0.5376037104972864,0.10254578111744339,0.22420347608759172,0.36844350866521913,0.15010536045568867,0.2878365130016043,0.2635059704350122,0.32245246656379944,0.5679381752213133,0.19218898448567345,0.4484904531437268,0.3888441234711014,0.8042031754287555,0.2145415273916299,0.27610793461553684,0.48690663397216694,0.8569439528831804,0.7928348868459711,0.8031392150396776,0.8740205748165413,0.7861676107462194,0.8879706669529301,0.9184022947299528,1.0,0.8863100447994329,0.8886981378481631,0.854271654771332,0.8502379295794111,0.7921044516317184,0.8400131357015509,0.87848320911714,0.8964419537891205,0.2237109355965532
"Tea Tree (Australia) 13 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.25215907067197707,0.256094827030239,0.24284989830963655,0.3069401506493348,0.2268339443443409,0.2084747102039114,0.15878236110139432,0.46201550345144815,0.23052038081226978,0.5246383919733442,0.06851640916479784,0.19181843406038768,0.3269787884776926,0.10767738763072099,0.2278593556261702,0.23381213699585768,0.3007084470516208,0.5268894308522966,0.17841547956815063,0.43905395460440966,0.3965949068329411,0.7531205269147381,0.18896081467785997,0.24973505885759317,0.4042404304705435,0.8883909827532109,0.725384497516153,0.7422387597890083,0.9093049871688405,0.7864907641549153,0.8717568844087369,0.8779776364724909,0.8863100447994329,1.0,0.922318042569933,0.8472005876861131,0.843504481042768,0.8012012208051911,0.8552775061625804,0.8785371782680341,0.8434316416071466,0.1800603792842571
"Tea Tree (Australia) 14 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.2952906951835178,0.30004951894079057,0.28416831685083055,0.31894255825340867,0.25450573334924453,0.21905983204710422,0.18334324359090637,0.47106618596259453,0.23818290284508226,0.545301044858076,0.08553175139328895,0.21741581597888615,0.3433150371451945,0.12037939858344415,0.23044761679974946,0.2536102210586261,0.3251597585922624,0.5339736174187077,0.19574153595221355,0.4653664549441544,0.42458551416456236,0.7258391505031694,0.20955983968021652,0.2610510179392006,0.4403363620022289,0.8459111183077938,0.7069005320677249,0.7151276798634356,0.8915171662390001,0.7554103425722591,0.881550934422693,0.9121891851188505,0.8886981378481631,0.922318042569933,1.0,0.856215721693241,0.8259004724260322,0.7846062516226134,0.8718508026774185,0.8686351773491577,0.8360191172324933,0.19125126806750214
"Tea Tree (Australia) 15 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.3395336520919193,0.3349968266614606,0.3374575239944829,0.36635553007641464,0.3089248023044522,0.2786603765716862,0.21930134461790474,0.5359950273776659,0.31251319974175296,0.6096555219183872,0.12622738006185663,0.27442962112487324,0.4014094121015558,0.1815415418704761,0.2906979795529787,0.30127435997444085,0.37852800142024146,0.5856452669504666,0.23101898055179682,0.5258594273162001,0.457658043072808,0.7109120622112874,0.2593490459544986,0.3164564952898815,0.4810572192155598,0.7818592024237833,0.7086179750211415,0.7240565720030168,0.8174502606903089,0.7952046586384939,0.8436866353273048,0.8615593294012462,0.854271654771332,0.8472005876861131,0.856215721693241,1.0,0.8264345397451613,0.7382386903168331,0.8525252170782434,0.8267013535568888,0.8116458962261583,0.23466363338355423
"Tea Tree (China) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.2887890287953764,0.28985520128852726,0.28191027805967717,0.34428770451738344,0.22001461435100433,0.23406011929110926,0.1843633850449894,0.5102059350461163,0.28935798307023186,0.532249014084099,0.10055335555248668,0.22130946056350154,0.3644836389323499,0.1465320800953438,0.28681708732144184,0.26220552890534365,0.31975074595809083,0.5648775458963253,0.19308978600980475,0.45386006585267746,0.39288861719414403,0.7546338179571114,0.2081072736034042,0.2717206143550899,0.4455370885541885,0.7938693037210607,0.7518613954688493,0.7583558476169887,0.8307482004378376,0.7905193382697695,0.8744173003694268,0.8188678247997354,0.8502379295794111,0.843504481042768,0.8259004724260322,0.8264345397451613,1.0,0.7952086252452727,0.7804252924671087,0.8203367747416233,0.8390545449158278,0.23047562824496393
"Tea Tree (Hungary) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.1743251035854403,0.18461781926517662,0.15716673351165333,0.23342286671950196,0.09557969004959344,0.1633189081110017,0.05528980883546819,0.3972267736382996,0.20183660660746217,0.4143446850624952,0.0,0.09143908280978352,0.2493071156742599,0.04276785747393619,0.21434209652067215,0.146866126916241,0.1927117064431373,0.45480762517376494,0.09059807002561715,0.31179090389134345,0.2681055591096576,0.7984388670647244,0.0973826643729988,0.16336485380694776,0.3691541899402182,0.7722204385640296,0.7698194585139628,0.7714828949975028,0.8193248861828617,0.732220339765642,0.7737027369444254,0.7741122026898801,0.7921044516317184,0.8012012208051911,0.7846062516226134,0.7382386903168334,0.7952086252452727,1.0,0.7404620342421298,0.8180711290698867,0.7875935729555081,0.12936156267285814
"Tea Tree (India) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.3114795278246614,0.29965897501645467,0.29060795970536235,0.29284109326399044,0.2698501923731905,0.22506313340310824,0.156469151823452,0.4452254795023488,0.2260802379520196,0.5696416457353164,0.061616503648053045,0.20801795954114588,0.32434342622192014,0.12143992571441575,0.20617750408572033,0.23646256097632234,0.3136281843357197,0.5065058265647899,0.18406205858893843,0.47651894489234436,0.43540510265643584,0.7043504325368786,0.20933139313721083,0.258269695231254,0.45157603462019147,0.8239709743506092,0.6597191429025482,0.6828746474247223,0.8618072541133648,0.7298741655254416,0.8148147395986511,0.8941562086926815,0.8400131357015509,0.8552775061625804,0.8718508026774185,0.8525252170782434,0.7804252924671087,0.7404620342421301,1.0,0.8111648624563902,0.7815867298442493,0.14754056905217128
