,"Tordylium apulum fruit (Turkey) - Tordylium apulum L., fam. Apiaceae (Umbelliferae)","Tordylium pustulosum fruit (Turkey) - Tordylium pustulosum Boiss., fam. Apiaceae (Umbelliferae)"
"Tordylium apulum fruit (Turkey) - Tordylium apulum L., fam. Apiaceae (Umbelliferae)",1.0,0.0
"Tordylium pustulosum fruit (Turkey) - Tordylium pustulosum Boiss., fam. Apiaceae (Umbelliferae)",0.0,1.0
