,"Aframomum citratum (Cameroon) 1 seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae","Aframomum citratum (Cameroon) 2b seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae","Cymbopogon khasianus (India) - Cymbopogon khasianus (Munro ex Hack.) Bor, fam. Poaceae (Gramineae)","Cymbopogon nardus, var. confertiflorus - Cymbopogon naruds (L.) Rendle, var., confertiflorus (Steud.), fam. Poaceae","Monarda fistulosa, var. menthaefolia 1 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)","Monarda fistulosa, var. menthaefolia 2 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Nigeria) flower - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Nigeria) leaf - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Nigeria) stem - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Palmarosa (Bangladesh) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (Brazil) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (Guatemala) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 1 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 10a Spikelet - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)","Palmarosa (India) 10b Raceme - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)","Palmarosa (India) 10c Spathe - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)","Palmarosa (India) 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 3 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 4 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 5 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 6 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 7 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 8 - Cymbopogon martini (Roxb.) Wats, var. motia Burk., fam. Poaceae","Palmarosa (India) 9 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (Madagascar) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa 1 - Cymbopogon martini (Roxb.) Wats, var. martini, fam Poacae (Gramineae)","Palmarosa 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Germacreae)"
"Palmarosa (Brazil) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.47774834702715985,0.4777543235802978,0.8352229474537712,0.7590488855441305,0.5569791194568243,0.6454705734487474,0.6555762311253449,0.6155801540657913,0.6494717287842526,0.8963601940996447,1.0,0.3472803836689262,0.7841044446567402,0.6356150288926498,0.7264277838225168,0.7023846958645307,0.8371897138949398,0.8701694114029306,0.8361718446635569,0.8820761734448412,0.8313752404895792,0.7817742294414711,0.7537874749159534,0.7306421826083935,0.8617311984377654,0.8378253252136573,0.8500035119640745
"Palmarosa (Guatemala) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.28922711548089663,0.2892315068365685,0.35355495248949265,0.40402833282979034,0.0,0.12860169290422552,0.1690091160094711,0.07711837359278195,0.16235274058614912,0.307603997510393,0.3472803836689262,1.0,0.42241960047915483,0.1544451220555686,0.5147329008490844,0.43280946127853837,0.4297043112321137,0.3332108096413281,0.45617878460574457,0.3546348886573091,0.42815770434901923,0.20979766085341223,0.36519903628076955,0.18640404808182431,0.25664821292282924,0.2375055947212702,0.3061085413036839
"Palmarosa (India) 1 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.5662262257396327,0.5662334213631799,0.832037533756314,0.7859915508120016,0.45786472785031374,0.5782141895027074,0.6192661569374989,0.5400553018040855,0.6143390009704375,0.7643020728286568,0.7841044446567402,0.42241960047915483,1.0,0.5997262230046845,0.734940650986077,0.7333774500852069,0.836449285552533,0.8079054473055791,0.8797342188541728,0.8245041912372083,0.8304009116557598,0.6840930712706451,0.7970787106503053,0.6555471426001851,0.7258452784978171,0.6978908457192985,0.7730660599307101
"Palmarosa (India) 10a Spikelet - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)",0.4797749123128996,0.4797809121482952,0.706269351334657,0.6263518544546602,0.6997128277102054,0.7770094809863284,0.7767685790192767,0.7591372470682419,0.7736098564964724,0.6859383652443588,0.6356150288926498,0.1544451220555686,0.5997262230046845,1.0,0.45260502138830916,0.6277199793375312,0.6409182432094481,0.7071362425612947,0.5764011456136198,0.6822995574617587,0.5981941619974562,0.7757755409837221,0.7274422333884423,0.7960724824498275,0.7293535801587351,0.7029672185176068,0.7395379326033333
"Palmarosa (India) 10b Raceme - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)",0.45144788285613957,0.45145357285894205,0.6713672074542945,0.6775668815848933,0.298383593831387,0.40527867389395533,0.4402894227606634,0.3694754010187222,0.43420023247413253,0.6610687816845053,0.7264277838225168,0.5147329008490844,0.734940650986077,0.45260502138830916,1.0,0.7490681638874637,0.7304435262166941,0.6709154287407929,0.8157020867086435,0.7010181628513135,0.7715191942859795,0.5324495823095315,0.6491464236044012,0.48888259760967456,0.6002740019889387,0.585165002868001,0.633639714204332
"Palmarosa (India) 10c Spathe - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)",0.5023135614647136,0.5023198330170813,0.7268392817625116,0.7215195261434881,0.3955537177906182,0.5079979108813124,0.5524317025644698,0.47428157917521874,0.5452202524051846,0.6807212427766367,0.7023846958645307,0.43280946127853837,0.7333774500852069,0.6277199793375312,0.7490681638874637,1.0,0.744633793804127,0.7073069216815712,0.7601026545864294,0.7221099240778144,0.7478083086333261,0.6066000361895558,0.7608682584301373,0.5821340943731423,0.6418125778341895,0.6207913299634404,0.6889581334806976
"Palmarosa (India) 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.6049305299167661,0.6049384304971493,0.8682433553502299,0.8216518424835932,0.5057498586575482,0.6375591685884592,0.6672252552600674,0.5888472218013472,0.6563353950646653,0.806775277094897,0.8371897138949398,0.4297043112321137,0.836449285552533,0.6409182432094481,0.7304435262166941,0.744633793804127,1.0,0.8715686807282625,0.8668705942599004,0.8819499870190777,0.856176532332076,0.7456655123859731,0.8432660726174881,0.713195138527575,0.790760798291837,0.7375148263228788,0.837801269242649
"Palmarosa (India) 3 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.550859225446031,0.5508661748730702,0.9116894825427829,0.7967137267327522,0.600473011244379,0.7117508155030465,0.7430085886382458,0.6824052866375159,0.7345078957457876,0.8947779158713314,0.8701694114029306,0.3332108096413281,0.8079054473055791,0.7071362425612947,0.6709154287407929,0.7073069216815712,0.8715686807282625,1.0,0.8228134827356728,0.9138796953469804,0.8307573974664445,0.8406631798688439,0.8364294391101377,0.7952163966739978,0.8726211751794731,0.8287626155396208,0.9257479258435157
"Palmarosa (India) 4 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.5355799707063269,0.5355866914963088,0.8314254100945966,0.7985607529120216,0.4414654674001216,0.5556025492790397,0.5959633125383725,0.5211632068134314,0.590003203165493,0.7923576536600445,0.8361718446635569,0.45617878460574457,0.8797342188541728,0.5764011456136198,0.8157020867086435,0.7601026545864294,0.8668705942599004,0.8228134827356728,1.0,0.8516382111755469,0.8823780340874577,0.6799946425806106,0.78347589280485,0.6408121258881565,0.7356901712113126,0.7115316258886663,0.77977399134385
"Palmarosa (India) 5 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.565206158760396,0.5652133375020592,0.9022138704122612,0.8002157258371425,0.5699048699163105,0.6830147014995441,0.7045118255151106,0.6424229911510949,0.6963175259382524,0.8693622224379287,0.8820761734448412,0.3546348886573091,0.8245041912372083,0.6822995574617587,0.7010181628513135,0.7221099240778144,0.8819499870190777,0.9138796953469804,0.8516382111755469,1.0,0.8430020322253936,0.8053851040374507,0.8289362303234822,0.7658137930954412,0.856618846763693,0.8090898767716916,0.8889620576673722
"Palmarosa (India) 6 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.543136757433575,0.5431299255782891,0.8359625972904048,0.8291129438604525,0.46646383615218023,0.5855127605916643,0.6189559898868078,0.5467693080545704,0.6133718575237752,0.8070081887586382,0.8313752404895792,0.42815770434901923,0.8304009116557598,0.5981941619974562,0.7715191942859795,0.7478083086333261,0.856176532332076,0.8307573974664445,0.8823780340874577,0.8430020322253936,1.0,0.7010455158204372,0.810607895293323,0.6637359130982183,0.7507149685719168,0.7240544632229892,0.8022394791599048
"Palmarosa (India) 7 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.4864081628818333,0.4864142402084908,0.8066365687017761,0.7037303505242541,0.7499066843303295,0.8322467227995107,0.8227639898107366,0.8184396102128673,0.8128131137708768,0.8364771509686119,0.7817742294414711,0.20979766085341223,0.6840930712706451,0.7757755409837221,0.5324495823095315,0.6066000361895558,0.7456655123859731,0.8406631798688439,0.6799946425806106,0.8053851040374507,0.7010455158204372,1.0,0.7501626620780447,0.913813758567684,0.8999651698291014,0.8665932917758641,0.8747756237630806
"Palmarosa (India) 8 - Cymbopogon martini (Roxb.) Wats, var. motia Burk., fam. Poaceae",0.6282523334930092,0.6282607297317093,0.8736219150120182,0.832079350716972,0.538409622240447,0.6783529114006965,0.7227403020738502,0.6282539287637711,0.7129251539056054,0.7725954737307748,0.7537874749159534,0.36519903628076955,0.7970787106503053,0.7274422333884423,0.6491464236044012,0.7608682584301373,0.8432660726174881,0.8364294391101377,0.78347589280485,0.8289362303234822,0.810607895293323,0.7501626620780447,1.0,0.7431461106309829,0.7603988322175231,0.7122276548444225,0.8340801469987604
"Palmarosa (India) 9 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.48742699808296974,0.4874330874895998,0.7797219828470567,0.6847817854620014,0.7715052606220558,0.8642480542629867,0.8482516530654678,0.8396974311887262,0.8410642794980463,0.7869670102703534,0.7306421826083935,0.18640404808182431,0.6555471426001851,0.7960724824498275,0.48888259760967456,0.5821340943731423,0.713195138527575,0.7952163966739978,0.6408121258881565,0.7658137930954412,0.6637359130982183,0.913813758567684,0.7431461106309829,1.0,0.8495729715294891,0.8169345669743859,0.83035730054765
"Palmarosa (Madagascar) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.49528825221916506,0.4952944364739046,0.8323446198472444,0.7263643558858894,0.6843027014276195,0.7746742353752302,0.7557961057067657,0.7371383850699783,0.7490844590147078,0.8837368437284978,0.8617311984377654,0.25664821292282924,0.7258452784978171,0.7293535801587351,0.6002740019889387,0.6418125778341895,0.790760798291837,0.8726211751794731,0.7356901712113126,0.856618846763693,0.7507149685719168,0.8999651698291014,0.7603988322175231,0.8495729715294891,1.0,0.8916146941861776,0.8952881773870803
"Palmarosa 1 - Cymbopogon martini (Roxb.) Wats, var. martini, fam Poacae (Gramineae)",0.42079010597547517,0.4207954948016117,0.7929635693447693,0.6962294562929763,0.6880927309413355,0.7343237359133465,0.7305828599398676,0.7310495677953293,0.7273295720486319,0.8801892556017499,0.8378253252136573,0.2375055947212702,0.6978908457192985,0.7029672185176068,0.585165002868001,0.6207913299634404,0.7375148263228788,0.8287626155396208,0.7115316258886663,0.8090898767716916,0.7240544632229892,0.8665932917758641,0.7122276548444225,0.8169345669743859,0.8916146941861776,1.0,0.8529702207050455
"Palmarosa 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Germacreae)",0.5381696357212946,0.5381763941979468,0.8912220289693382,0.7864258860873871,0.642675432188293,0.7509259080139934,0.7693700645007449,0.7181741531901702,0.7600014522165306,0.891768583121565,0.8500035119640745,0.3061085413036839,0.7730660599307101,0.7395379326033333,0.633639714204332,0.6889581334806976,0.837801269242649,0.9257479258435157,0.77977399134385,0.8889620576673722,0.8022394791599048,0.8747756237630806,0.8340801469987604,0.83035730054765,0.8952881773870803,0.8529702207050455,1.0
