,"Tansy (Netherlands) 1a leaf - Tanacetum vulgare L. chrysantenyl chemotype, fam. Asteraceae (Compositae)","Tansy (Netherlands) 1b flower - Tanacetum vulgare L. chrysantenyl chemotype, fam. Asteraceae (Compositae)"
"Tansy (Netherlands) 1a leaf - Tanacetum vulgare L. chrysantenyl chemotype, fam. Asteraceae (Compositae)",1.0,0.0
"Tansy (Netherlands) 1b flower - Tanacetum vulgare L. chrysantenyl chemotype, fam. Asteraceae (Compositae)",0.0,1.0
