,"Anise root - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Ginger (Sri Lanka) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Sri Lanka) 2 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Sri Lanka) 3 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Sri Lanka) 4 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Sri Lanka) 5 - Zingiber officinale Roscoe, fam. Zingiberaceae","Lavandula multifida - Lavandula multifida L., fam. Lamiaceae (Labiatae)","Teucrium flavum (Serbia/Montenegro) - Teucrium flavum L., fam. Lamiaceae (Labiatae)","Thymus richardii - Thymus richardii Pers. ssp. nitidus (Guss.) Jalas, fam. Lamiaceae (Labiat)"
"Anise root - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",1.0,0.12163846817010582,0.3204560994210046,0.07980713469382317,0.47079048612838026,0.37662482844406164,0.15047674349305273,0.30476400422982264,0.31450722401020437
"Ginger (Sri Lanka) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.12163846817010582,1.0,0.36276848347738644,0.7160686553362858,0.12092749248907253,0.5218984435278823,0.303237890524365,0.3021638607078755,0.3092935168939772
"Ginger (Sri Lanka) 2 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.3204560994210046,0.36276848347738644,1.0,0.18561750037051672,0.6242825153288469,0.6254961803870724,0.10552209288619019,0.21910996300010988,0.22458598391668605
"Ginger (Sri Lanka) 3 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.07980713469382317,0.7160686553362858,0.18561750037051672,1.0,0.011706899357623146,0.43512926451413547,0.29028171506727507,0.27946320901973165,0.2842889069488773
"Ginger (Sri Lanka) 4 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.47079048612838026,0.12092749248907253,0.6242825153288469,0.011706899357623146,1.0,0.4883382869697679,0.0,0.1828244099010793,0.1739755954010369
"Ginger (Sri Lanka) 5 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.37662482844406164,0.5218984435278822,0.6254961803870722,0.43512926451413536,0.488338286969768,1.0,0.25298358454430203,0.32249639295748567,0.35438165717591086
"Lavandula multifida - Lavandula multifida L., fam. Lamiaceae (Labiatae)",0.15047674349305273,0.303237890524365,0.10552209288619019,0.29028171506727507,0.0,0.25298358454430203,1.0,0.2928925410948128,0.3915085188511136
"Teucrium flavum (Serbia/Montenegro) - Teucrium flavum L., fam. Lamiaceae (Labiatae)",0.30476400422982264,0.3021638607078755,0.21910996300010988,0.27946320901973165,0.1828244099010793,0.32249639295748567,0.2928925410948128,1.0,0.3809642403547576
"Thymus richardii - Thymus richardii Pers. ssp. nitidus (Guss.) Jalas, fam. Lamiaceae (Labiat)",0.31450722401020437,0.3092935168939772,0.22458598391668605,0.2842889069488773,0.1739755954010369,0.35438165717591086,0.3915085188511136,0.3809642403547576,1.0
