,"Ajowan 1 - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Elsholztia splendens (China) - Elsholtzia splendens Nakai ex F. Maekawa, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Benin) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 1b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 2a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Oliveria decumbens (Iran) - Oliveria decumbens Vent., fam. Apiaceae (Umbelliferae)","Oregano, greek (France) 1 - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Italy) 2 - Origanum vulgare L. ssp hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Italy) 4 - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Portugal) 1b - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (United Kingdom) - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek 3 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, mexican (Guatemala) - Lippia graveolens HBK., fam. Verbenaceae","Oregano, mexican (Mexico) 2 - Lippia graveolens HBK., fam. Verbenaceae","Oregano, mexican (U.S.A.) 1 - Lippia graveolens HBK., fam. Verbenaceae","Oregano, spanish (Spain) - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Satureja spicigera (Turkey) - Satureja spicigera (C. Koch) Boiss., fam. Lamiaceae (Labiatae)","Thyme (Cameroon) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Denmark) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Egypt) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 1 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 2 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 4 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 6 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 7 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 9 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (New Zealand) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Poland) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Spain) 2 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 1 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 6 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 7 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 9 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme red (Portugal) 3a - Thymus zygis L, ssp. zygis, fam. Lamiaceae (Labiatae)","Thyme red (Spain) 1 - Thymus zygis L., fam. Lamiaceae (Labiatae)","Thyme red (Spain) 5a - Thymus zygis L. ssp. sylvestris (Hoffm. et Link) Morales, fam. Lamiaceae","Thymus carnosus - Thymus carnosus Boiss., fam. Lamiaceae (Labiatae)","Thymus fedtschenkoi (Iran) - Thymus fedtschenkoi Ronniger, fam. Lamiaceae (Labiatae)","Thymus migricus (Turkey) - Thymus migricus Klokov et Des.-Shost., fam. Lamiaceae (Labiatae)","Thymus pulegioides (Italy) - Thymus pulegioides L., fam. Lamiaceae (Labiatae)","Thymus serpyllum (Canada) ssp. chamaedrys - Thymus serpyllum L., ssp. chamaedrys (Fries) Vollm., fam. Lamiaceae","Zataria multiflora (Iran) 2 flowering tops - Zataria multiflora Boiss., fam. Lamiaceae (Labiatae)"
"Thyme 9 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)",0.3618607481838714,0.0056871769401085626,0.6026171376186571,0.43126742698474596,0.38914919287123406,0.3097942071099763,0.20957038646657777,0.2369504484969267,0.01639160385128491,0.33722183458489485,0.31748684046836084,0.4788573367339596,0.3162975213607102,0.6117903814152044,0.316299842988907,0.19379523558687695,0.20839871910283903,0.22553692138482895,0.3202636215817998,0.44832677086831685,0.712726783562787,0.3796422247518978,0.3153778738104084,0.5631486731752265,0.508456144415944,0.4403422070687213,0.44682600998755606,0.4155034836360012,0.0,0.44194755217581216,0.22156893969585567,0.16593672755886468,0.28071016033251817,0.3351608845279611,0.23690711210248294,1.0,0.19464174073000218,0.3168754308612469,0.4299130676375045,0.6135683548845813,0.09854948457412849,0.17035756724147866,0.4246518686525744,0.26178534623540795,0.1394555133618779
"Thyme red (Portugal) 3a - Thymus zygis L, ssp. zygis, fam. Lamiaceae (Labiatae)",0.23756305505149644,0.004067107670147063,0.2407313446819631,0.3334155951004012,0.29726273355214683,0.274968375917659,0.2148755901274817,0.26049033687182166,0.1419534559516189,0.27226351330049137,0.29942330776402026,0.27287333881013565,0.3181687962311407,0.31351147691658454,0.31817112423103067,0.24402908412690238,0.3135910598210999,0.31849485828980784,0.3823067407276355,0.32083085059511585,0.25285775509762365,0.2006469254907125,0.3167040554483951,0.3069472715685615,0.19821636264269793,0.23445104292586427,0.3587391447846886,0.3388362467808217,0.2000520067174164,0.2100313910462147,0.11138744382075216,0.06882660819806519,0.12519749117893375,0.27059085992893106,0.31472993268781546,0.19464174073000218,1.0,0.3236168945975233,0.216823263822029,0.23869226882736816,0.27382294719364386,0.3026254590050146,0.2686794144399287,0.3406031716847071,0.25767315720276185
"Thyme red (Spain) 1 - Thymus zygis L., fam. Lamiaceae (Labiatae)",0.6364565138074647,0.27492489560526134,0.3606145396814424,0.5107031170684803,0.5811104445029057,0.6502553415738066,0.5624066558772709,0.6182660908506943,0.43309435891243,0.530192551059298,0.6861619560348722,0.597212812507991,0.7009182704137173,0.51974003872053,0.7009235777066218,0.584389077298317,0.43891937775029444,0.5563052324874742,0.5664897375185585,0.6497197098153713,0.5243914275337278,0.6590830401206578,0.6198097423720096,0.6424660342710027,0.44805226186585234,0.6466061106135783,0.6118404152965995,0.7518258180358811,0.3724736239442965,0.42477311764052117,0.444228449478852,0.4376131118744212,0.4951368706116104,0.41505726553677014,0.6285101152443695,0.3168754308612469,0.3236168945975233,1.0,0.6121254645255025,0.5801275887486976,0.6112672008915279,0.6029415919675871,0.6550776012215047,0.49714232873878106,0.5504785927001994
"Thyme red (Spain) 5a - Thymus zygis L. ssp. sylvestris (Hoffm. et Link) Morales, fam. Lamiaceae",0.6135888933479867,0.25355535786389305,0.513109581777381,0.44008310946107576,0.5005999957359288,0.5217269706982589,0.3909270658331512,0.58245807867554,0.20162088561680835,0.33135609000887856,0.5031829126666032,0.49868874649978434,0.4984102337172208,0.4859684033561037,0.4984635062820034,0.41912302551897884,0.19404113385167354,0.4434110359823723,0.45366689228166046,0.6206124246504079,0.666250201724732,0.8129822680196124,0.6366682750987562,0.7672820879529755,0.7136360770263114,0.8541301110491378,0.5576523029248797,0.6450100849942666,0.16979821452304555,0.6506354546043116,0.6833694607661382,0.655599673436007,0.7680879475028531,0.5022697774173954,0.34158831879417195,0.4299130676375045,0.216823263822029,0.6121254645255025,1.0,0.7556722080492718,0.3552540695033276,0.3396929754559832,0.5627020816096018,0.2843080558628508,0.2891984366546345
"Thymus carnosus - Thymus carnosus Boiss., fam. Lamiaceae (Labiatae)",0.6489037288463133,0.21067812680230558,0.5770095960232622,0.5028987774735787,0.5409561065290669,0.5404515392168544,0.4337938025242234,0.5060386538749431,0.22263861717375089,0.4470194122530987,0.5441075553121822,0.6353547498597201,0.5395373668946715,0.652962861281563,0.5395365050990242,0.40492381618690954,0.2675006303627926,0.39914885691586555,0.4425883744425636,0.653606594254283,0.8368391886474601,0.7509732505418878,0.5352388726830328,0.8001451980872614,0.6712231431286741,0.7739351058310909,0.599337962443398,0.6782978311634312,0.17229514587781614,0.5862364764703542,0.5052515492610237,0.4739445922933164,0.5971585208197232,0.42583667434054895,0.4007879888542468,0.6135683548845813,0.23869226882736816,0.5801275887486976,0.7556722080492718,1.0,0.32242176119423305,0.35602459184693913,0.6419545536746893,0.3396089450899732,0.30971289021125825
"Thymus fedtschenkoi (Iran) - Thymus fedtschenkoi Ronniger, fam. Lamiaceae (Labiatae)",0.5548475265205239,0.16100096314609158,0.17978738674510675,0.35068520753821786,0.4198859958980793,0.45419289655505013,0.6067648168623424,0.5895652926467332,0.6614464434079272,0.5165149135056084,0.6423055055378502,0.4216008513870886,0.6643353444431431,0.39371272489002695,0.6643400733039642,0.4314604999888547,0.4950280206202795,0.6850078305878868,0.46208742906852907,0.5027390144621844,0.2752109101119449,0.42721422547987253,0.4250711753398967,0.3903273807034875,0.23481904724923985,0.3909957691955642,0.5732207831085483,0.6066290563713412,0.5148185521246234,0.27593214948376565,0.2946369295559904,0.2589069882495615,0.3301728856574152,0.3373070925451144,0.576349710898967,0.09854948457412849,0.27382294719364386,0.6112672008915279,0.3552540695033276,0.32242176119423305,1.0,0.7830561291217653,0.41503182609551315,0.5830551882353354,0.6893755104805057
"Thymus migricus (Turkey) - Thymus migricus Klokov et Des.-Shost., fam. Lamiaceae (Labiatae)",0.5754906049838768,0.14574960057154662,0.1918577766084394,0.36580101772393914,0.4333874558971803,0.4723842474765556,0.6594870558671271,0.5250999030647182,0.7095451935663148,0.6611482704206495,0.7097704794749452,0.5142496796085432,0.7406084380052902,0.48300207233375847,0.740607758081615,0.438869793758632,0.604322627475034,0.6037812643591658,0.4731790742815043,0.5327419255904926,0.321577906593449,0.41644692234737957,0.3978197640199794,0.40180558269463984,0.21278572481131364,0.3777007331525214,0.6060967242444273,0.6432598736831419,0.45282909307252883,0.2477468808896931,0.2187812678779596,0.18762442382968558,0.271446738283046,0.29915276557048887,0.6701020324898281,0.17035756724147866,0.3026254590050146,0.6029415919675871,0.3396929754559832,0.35602459184693913,0.7830561291217653,1.0,0.4769094182988922,0.6691476642271823,0.7733652348841241
"Thymus pulegioides (Italy) - Thymus pulegioides L., fam. Lamiaceae (Labiatae)",0.5718126823077463,0.2709849393524433,0.37399915921756355,0.5293266863269508,0.6375385136428576,0.7141395421116541,0.4989200274756461,0.43623451341672215,0.32445507236254023,0.5505375951904466,0.6343927365480057,0.7098909010713461,0.6469521948456196,0.5813297026500575,0.6469516952912593,0.6242498791409096,0.4233424824923705,0.37015614380619666,0.5360166473107786,0.6327123802381192,0.581576630532881,0.6302717164629961,0.5509786180318826,0.6725511495193205,0.40850038305624026,0.6318741501578056,0.49935798547216503,0.67566816741727,0.27724942784506135,0.3475197601050929,0.3501554596317997,0.34881091861616054,0.4106379034978672,0.2887799132002452,0.5930269470435358,0.4246518686525744,0.2686794144399287,0.6550776012215047,0.5627020816096018,0.6419545536746893,0.41503182609551315,0.4769094182988922,1.0,0.4639823857736567,0.4510315399701563
"Thymus serpyllum (Canada) ssp. chamaedrys - Thymus serpyllum L., ssp. chamaedrys (Fries) Vollm., fam. Lamiaceae",0.45694876197016476,0.09357643632403112,0.26808742059737034,0.44153160150020676,0.4788285292671006,0.441586080391032,0.5038607020631835,0.4366516403285373,0.5156902972697659,0.6044949967685223,0.5791426805147146,0.47740907936549093,0.6070285683216559,0.5093417018810604,0.6070326075679915,0.4088214488416645,0.6429483622280314,0.550177913107486,0.5336253810950775,0.5058431654943061,0.34392998993463064,0.3320028975901661,0.3797679328989263,0.41079634034167956,0.2222040108244714,0.33447052730376214,0.5751170630140952,0.5548647117627273,0.3854643274844083,0.26478740882423035,0.17016796614142315,0.11578946557311054,0.20208370727453717,0.3349824100508161,0.5870376964081874,0.26178534623540795,0.3406031716847071,0.49714232873878106,0.2843080558628508,0.3396089450899732,0.5830551882353354,0.6691476642271823,0.4639823857736567,1.0,0.6375056101292516
"Zataria multiflora (Iran) 2 flowering tops - Zataria multiflora Boiss., fam. Lamiaceae (Labiatae)",0.5347116496520673,0.10398088561451768,0.12397705501719858,0.31742275835278455,0.39482402163351815,0.43349854951120426,0.6489435408701035,0.46106224729080947,0.7376381952617516,0.6757496773948235,0.6874534853680316,0.4966560152914107,0.7047881112390226,0.445500998402374,0.7047836305923185,0.3926015377139681,0.590942343061043,0.512432409457519,0.39143666146494416,0.4822002139621703,0.2973720085602317,0.37508097243930394,0.31821875297362545,0.3470469705227941,0.14948391391419735,0.3324883485241088,0.5245652826869109,0.5764449508124162,0.43235247208311556,0.18161024896990696,0.15473524531514304,0.13653706121339837,0.2129402148578221,0.24383168125226373,0.6779024578375044,0.1394555133618779,0.25767315720276185,0.5504785927001994,0.2891984366546345,0.30971289021125825,0.6893755104805057,0.7733652348841241,0.4510315399701563,0.6375056101292516,1.0
