,"Vanilla 1 - Vanilla fragrans Ames (V. planifolia Andrews), fam. Orchidaceae","Vanilla 2 - Vanilla fragrans Ames (V. planifolia Andrews), fam. Orchidaceae"
"Vanilla 1 - Vanilla fragrans Ames (V. planifolia Andrews), fam. Orchidaceae",1.0,0.0
"Vanilla 2 - Vanilla fragrans Ames (V. planifolia Andrews), fam. Orchidaceae",0.0,1.0
