,"Basil (France) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Bergamot (Italy) 5c headspace heated oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bois-de-Rose (Brazil) 1a - Aniba rosaeodora var. amazonica Ducke, fam. Lauraceae","Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae","Bois-de-Rose (Brazil) 1c - Aniba rosaeodora var. amazonica Ducke, fam. Lauraceae","Bois-de-Rose 1 - Aniba rosaeodora var. amazonica Ducke (A. duckei Kostemans),fam. Lauraceae","Bois-de-Rose 2 - Aniba rosaeodora var. amazonica Ducke (A. duckei Kostemans),fam. Lauraceae","Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Cinnamon leaf (India) 5 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Coriander fruit (Argentina) 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Argentina) 2 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (China) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Ethiopia) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 6 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 7 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander, CO2 extract (Finland) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Freesia, Living Flower Headspace - Freesia refracta L.","Freesia, Picked Flower Headspace - Freesia refracta L.","Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Malaysia) - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Ho leaf 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Honeysuckle headspace - Lonicera caprifoleum L., fam. Caprifoliaceae","Lippia alba (Brazil) 2 - Lippia alba (Mill.) N.E. Brown, fam. Verbenaceae","Litsea cubeba (India) 1a leaf - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Michelia alba flower absolute (China) - Michelia alba DC., fam. Magnoliaceae","Michelia alba leaf (China) - Michelia alba DC., fam. Magnoliaceae","Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Wartara (India) 2 seed - Zanthoxylum armatum DC. (Z. alatum Roxb.), fam. Rutaceae"
"Freesia, Living Flower Headspace - Freesia refracta L.",0.6361740064412014,0.5448722095430036,0.5463540566757477,0.39200423772250115,0.5842424806773225,0.5470627099609005,0.6498087373530534,0.22381237776032625,0.49572783397733655,0.5373672970365814,0.5390772369942474,0.4259632947832499,0.42984422569912306,0.48670410003800224,0.495006661188669,0.484832140868908,1.0,0.5775794478951739,0.38306171993803406,0.3596744855297982,0.359571020197451,0.26656368825502597,0.19883429211713544,0.35017317820414406,0.3109045902932951,0.2011225618484147,0.10633582594296065,0.17554606321020516,0.497998611138576,0.5096270938230762,0.5233024972058538,0.5214018636689299,0.3978053100505048,0.19036966118855136,0.4286132203094313
"Freesia, Picked Flower Headspace - Freesia refracta L.",0.5689209037686752,0.48785250568448324,0.455657366501822,0.44147032381966145,0.5078672767817836,0.6578536706501514,0.7414731563001412,0.29919825725680116,0.5379111164070396,0.5113663458572193,0.5013489687048261,0.406552066210067,0.44536288886757824,0.41801511899626864,0.4345171234647579,0.4835023532156084,0.5775794478951739,1.0,0.43296112449047175,0.4256916316797973,0.42563464176198995,0.35074025149866506,0.2747864740483651,0.44365553942264835,0.38176703047233906,0.2780480417608312,0.18971981132835114,0.253735352467487,0.4102730675749451,0.4647294746533841,0.463207192535643,0.4421409467469245,0.4456858902664259,0.2674401614796865,0.47345226563104925
"Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.5359717493965551,0.4554326136166009,0.3552928781928507,0.9137394535889257,0.4745310738007924,0.7194479975762492,0.40840613674553805,0.7527160881764028,0.7222675411307748,0.5311498657757482,0.5071457046301924,0.46447768452227145,0.6354073276369887,0.34808680686435334,0.38753610435108166,0.5728880812328918,0.38306171993803406,0.43296112449047175,1.0,0.8354279396798105,0.8352816531369349,0.7963311030728877,0.7253838090270381,0.82712283876497,0.8232095026996022,0.7402801345727801,0.6524577575041342,0.7251914381125559,0.29371810945077526,0.43140038418626825,0.4200830345713409,0.34987944550691796,0.8037244888161577,0.7240681639062445,0.7619902696366341
"Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.501545750346539,0.4258859929320955,0.3090741451420158,0.8580113228006782,0.4041047377303095,0.7089493536124627,0.3858781833184052,0.7986185647891413,0.7360891953103542,0.5104321490193389,0.48657177020482356,0.443404564682926,0.6356973372915039,0.32482283275406765,0.36054378615941174,0.5604599780776227,0.3596744855297982,0.4256916316797973,0.8354279396798105,1.0,0.968144671490918,0.8419220970261204,0.76884188967456,0.8684208850045181,0.8905715793251576,0.7885892134823926,0.6923598257203178,0.7614293543372592,0.2611634360017553,0.41480112667592584,0.38945207224856826,0.31840921495538665,0.8104630191674231,0.7707493030627219,0.7672065175372277
"Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.5014411561886416,0.4259193405653978,0.30899383234085653,0.857691686735778,0.4040835663485659,0.7088478243317449,0.3858168435017636,0.7984202040372257,0.7358549564373886,0.5101869451601357,0.486334521189707,0.4430437589220425,0.6351381011881483,0.3246698365140883,0.3601946831331475,0.5597317640783289,0.359571020197451,0.42563464176198995,0.8352816531369349,0.968144671490918,1.0,0.8415313450067274,0.768677450797224,0.8645740906136297,0.8902969982950838,0.7884344463830246,0.6922649164200207,0.7612855431965728,0.26111913604289605,0.4147451972336922,0.3893059991446153,0.31837413773119383,0.8104206656263553,0.7703206073472694,0.7669023926581201
"Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.39126971125147925,0.3261087964797842,0.20559359531999521,0.8088306437186839,0.30382644804146175,0.6261728827638326,0.2895568507795525,0.8917656759039745,0.6257287503992327,0.4254549531691202,0.3965386372350691,0.3774196863432503,0.5783581521206507,0.23172877474020048,0.2688618145281704,0.4810059667488382,0.26656368825502597,0.35074025149866506,0.7963311030728877,0.8419220970261204,0.8415313450067274,1.0,0.8585766350001154,0.8681991337731514,0.9082817509602303,0.9022967440283342,0.8148763726456089,0.8777757922005932,0.1587247956607174,0.3052845891050382,0.2926706040282334,0.21596960807980903,0.7523218088668222,0.8728302707139848,0.6885426722109138
"Ho leaf (Malaysia) - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.32284999747201626,0.26435008972275464,0.13942477409392773,0.7364595229076527,0.23302003695617457,0.5469565652513533,0.21190228116705057,0.8639624461532595,0.5572459449706317,0.3465346353862695,0.31864263449099206,0.3059909089111942,0.49871968835642133,0.1579450264948361,0.19988387808856234,0.41088675855133594,0.19883429211713544,0.2747864740483651,0.7253838090270381,0.76884188967456,0.768677450797224,0.8585766350001154,1.0,0.7722752692007946,0.8233627731981389,0.8966364353878303,0.8476024635144598,0.8869557024019554,0.0962698978050126,0.23962629796040813,0.25552015484689483,0.1533340082465805,0.692830791012081,0.8757853188727711,0.6250483613514397
"Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.4747183126760893,0.4012006236455534,0.2866272096082869,0.841204878659001,0.38549085406443584,0.7080235655893647,0.3812081655746822,0.7993757073628379,0.6908995699456537,0.5127495427242212,0.47355012586978906,0.41757839186987034,0.6691917854822489,0.30685996040872365,0.33229097786347217,0.5572658717925145,0.35017317820414406,0.44365553942264835,0.82712283876497,0.8684208850045181,0.8645740906136297,0.8681991337731514,0.7722752692007946,1.0,0.9003078403012538,0.7995565266994821,0.7108528395704599,0.7715894086248587,0.2373671033931487,0.380249087604164,0.3651902006798925,0.2938090530384887,0.7859634998203401,0.7740085910612216,0.7335473997483151
"Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.44689013227720553,0.3765510533135362,0.2565680053258004,0.8427317553962846,0.3521326660682209,0.665901928858158,0.332218574193349,0.8525622455021986,0.6750713157101642,0.47442648417678523,0.44127796280129616,0.401728909635348,0.6265546967865285,0.27584575552412727,0.30863260399337733,0.5263658940223066,0.3109045902932951,0.38176703047233906,0.8232095026996022,0.8905715793251576,0.8902969982950838,0.9082817509602303,0.8233627731981389,0.9003078403012538,1.0,0.8563944527717583,0.7602352809550421,0.8265720467987376,0.21009339763087564,0.35975082087224075,0.34076691458145014,0.2673021575606719,0.7899599455054723,0.8289693870223074,0.7283776206560372
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.32598548253390824,0.2705053470203216,0.14108717842574858,0.7520700980767309,0.2357268411348753,0.5544814223112818,0.21445656305059124,0.9070814444199017,0.5646608666233444,0.3561026870214491,0.32530478192029366,0.3096349350274483,0.515100025666054,0.1625793266160518,0.20329281618184503,0.4194325720404808,0.2011225618484147,0.2780480417608312,0.7402801345727801,0.7885892134823926,0.7884344463830246,0.9022967440283342,0.8966364353878303,0.7995565266994821,0.8563944527717583,1.0,0.891608470369923,0.9536543246245199,0.09771098575258508,0.24376235111630506,0.23259972166252385,0.15520442750126884,0.705478949111876,0.9257397750790894,0.6351298799671223
