,"Astronium fraxinifolium (Brazil) - Astronium fraxinifolium Schott., fam. Anacardiaceae","Chloranthus spicatus flower head space - Chloranthus spicatus (Thunb.) Makino, fam. Chloranthaceae","Jamun fruit - Syzygium cumini L., fam. Myrtaceae","Parsnip (Germany) 2a leaf blade - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip (Germany) 2b leaf stalk - Patsinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip (Germany) 2c shoot - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Parsnip flower, headspace - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)","Plectranthus barbatus (Brazil) 2c root - Plectranthus barbatus Andr. (Coleus barbatus), fam. Lamiaceae (Labiatae)","Tagetes (Argentina) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (France) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 3 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 4 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Italy) 1a - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Italy) 1b - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Rwanda) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Turkey) - Tagetes minuta L. (T. glandulifera Schrank), fam. Asteraceae (Compositae)","Tagetes (USA) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (USA) 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Zimbabwe) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 3b (flower) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 4 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes laxa (Argentina) - Tagetes laxa Cabrera, fam. Asteraceae (Compositae)","Tagetes maxima (Bolivia) - Tagetes maxima Kuntze, fam. Asteraceae (Compositae)","Tithonia diversifolia - Tithonia diversifolia (Hemsl.) A. Gray, fam. Asteraceae (Compositae)"
"Tagetes (Turkey) - Tagetes minuta L. (T. glandulifera Schrank), fam. Asteraceae (Compositae)",0.41508621716771466,0.28772136617882393,0.3812338996219813,0.36483019183031207,0.35942925494055444,0.34457674641231606,0.29793763765954495,0.2759180475196674,0.4424764069657712,0.4338876165681216,0.34836627005458487,0.5463910652244337,0.5446826000842449,0.4862211110674509,0.49350893166321885,0.42631473265047704,1.0,0.4069068207576635,0.11740434095413055,0.7733173069021028,0.456267035711898,0.6296342457920814,0.6031060737833978,0.5843050307830004,0.3909830852181426,0.4876565338693163,0.3662067442385206
"Tagetes (USA) 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.5221081332449458,0.3672961930924249,0.4617558679997593,0.3988473777347854,0.4825738650934318,0.42165382918377303,0.3652747517347874,0.34575284195113953,0.5737251173863382,0.41391273196328804,0.6449328255735334,0.5396658571661137,0.5405460686031417,0.4731348969600162,0.5035471317129413,0.6945256032675474,0.4069068207576635,1.0,0.13521057464662445,0.49522628735382956,0.7568612482951796,0.6679753755299749,0.5147623928836814,0.5751366207071937,0.39280487665987085,0.4973322922507214,0.45315593230861784
"Tagetes (USA) 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.14974834433121564,0.07320903993153494,0.14338884392991424,0.13149483115987426,0.12637519465240055,0.11493920851352668,0.07932917292871178,0.06369356664120929,0.18538375017633724,0.06884782943243573,0.08070179834939428,0.15287796910606277,0.11189853000341765,0.1548695592293199,0.15678209885236782,0.1288096165548085,0.11740434095413055,0.13521057464662445,1.0,0.12190531348836686,0.18241065013494318,0.15552428358216241,0.16895895475794198,0.1416720176672459,0.0,0.09526616379508002,0.11434101552571774
"Tagetes (Zimbabwe) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.41215678684450696,0.2983628181315575,0.38979153078362994,0.368488884306697,0.3728697035143824,0.3525666653656463,0.30470623192711466,0.28190003464042834,0.45760361930299365,0.3653760239480237,0.44946306579593087,0.6066472870754929,0.6333997571097942,0.483568354390579,0.513970685658754,0.5489561810862557,0.7733173069021028,0.49522628735382956,0.12190531348836686,1.0,0.4885482508851421,0.7605248603516753,0.617243212693614,0.6281480864815217,0.39281467363228395,0.5458188690398225,0.3634463210556437
"Tagetes 1 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.671720714392593,0.43436617134661015,0.5402023204898743,0.4582603002847041,0.5771773293344129,0.4969153127567728,0.4334329142071426,0.4100161959696077,0.6894525835921905,0.42634521874762876,0.5289141099980483,0.6144669183951661,0.4585613255092895,0.5371591231015875,0.5372357727199859,0.6359710958440083,0.456267035711898,0.7568612482951796,0.18241065013494318,0.4885482508851421,1.0,0.6433318384384425,0.5981056446884245,0.6647706994136464,0.27856457465319706,0.41733033191627333,0.5773919101956015
"Tagetes 2 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.5313944464443072,0.3722847228209165,0.47233556393399634,0.40360158848873995,0.4921954934228858,0.42807838369845375,0.3722767309132139,0.35490630188922434,0.5824112087664673,0.4204725196296435,0.6144698757488185,0.6786710066431052,0.6107950552056194,0.5005505261872537,0.5305534411802053,0.6959687131110561,0.6296342457920814,0.6679753755299749,0.15552428358216241,0.7605248603516753,0.6433318384384425,1.0,0.6375490880981499,0.7702389749930028,0.40177568820681786,0.5258753016400124,0.46080765725905337
"Tagetes 3b (flower) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.5346849617047695,0.3839635913756049,0.5011419878494957,0.45968232398023545,0.4833782922694052,0.45043864339831396,0.39630059236905024,0.37789339475209516,0.5775531579264535,0.4426798446909914,0.41805180754733307,0.6114978642560911,0.5465039252024447,0.6128446419247314,0.554563762148909,0.5667124082940571,0.6031060737833978,0.5147623928836814,0.16895895475794198,0.617243212693614,0.5981056446884245,0.6375490880981499,1.0,0.6197901102421937,0.2825444061853246,0.4660637721516919,0.4685428283051444
"Tagetes 4 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.5816924222456074,0.36680621410496717,0.4595768082534182,0.3526704063436178,0.5204872740536033,0.4163062052662221,0.36114854878578706,0.34668014311409245,0.6038864891731298,0.39060138984250237,0.4690905438863967,0.6906391261855829,0.437384202569548,0.4311242456892648,0.4194409544224571,0.5909534231422293,0.5843050307830004,0.5751366207071937,0.1416720176672459,0.6281480864815217,0.6647706994136464,0.770238974993003,0.6197901102421937,1.0,0.23724534303630251,0.3553120299529614,0.4885501505965034
"Tagetes laxa (Argentina) - Tagetes laxa Cabrera, fam. Asteraceae (Compositae)",0.22982134452193592,0.16845253449704245,0.2960123567879084,0.29746317877804185,0.2274788342203875,0.2390902005663601,0.21270247156665212,0.2235775738265885,0.2647707001660988,0.5103780410215408,0.4333917929704668,0.24428432877536266,0.5720632574458682,0.34426661700045635,0.40801282204288336,0.3619703617510259,0.3909830852181426,0.39280487665987085,0.0,0.39281467363228395,0.27856457465319706,0.40177568820681786,0.2825444061853246,0.23724534303630251,1.0,0.6236112272369219,0.18611715265593975
"Tagetes maxima (Bolivia) - Tagetes maxima Kuntze, fam. Asteraceae (Compositae)",0.33569674765368784,0.2750164889494058,0.38277588613973246,0.42003483069482084,0.3133854742391343,0.3586424177891341,0.2985181560952824,0.2735378629680275,0.39737881891187776,0.4737486353742457,0.43145373063221715,0.412903550714119,0.8398212360854311,0.5151115379778222,0.5462536950572368,0.5771392279339351,0.4876565338693163,0.4973322922507214,0.0952661637950799,0.5458188690398225,0.41733033191627333,0.5258753016400124,0.4660637721516919,0.3553120299529614,0.6236112272369219,1.0,0.303683511259368
"Tithonia diversifolia - Tithonia diversifolia (Hemsl.) A. Gray, fam. Asteraceae (Compositae)",0.5830436749618169,0.38081017708030684,0.5198670454743044,0.3856172133084974,0.4795698896700801,0.4154924838578138,0.4201189260102821,0.37585045061343925,0.5869537735715957,0.35003704783943357,0.38105059369269045,0.4557729207633001,0.31810911804230957,0.4595411272797596,0.4609220577704699,0.4386981477722781,0.3662067442385206,0.45315593230861784,0.11434101552571774,0.3634463210556437,0.5773919101956015,0.46080765725905337,0.4685428283051444,0.4885501505965034,0.18611715265593975,0.303683511259368,1.0
