,"Patchouli (China) 3a root - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)","Patchouli (China) 3b rhizome - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)"
"Patchouli (China) 3a root - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",1.0,0.0
"Patchouli (China) 3b rhizome - Pogostemon cablin Benth., fam. Lamiaceae (Labiatae)",0.0,1.0
