,"Cedarwood Virginia 1 - Juniperus virginiana L., fam. Cupressaceae","Ginger (Malaysia) - Zingiber officinale Roscoe, fam. Zingiberaceae"
"Cedarwood Virginia 1 - Juniperus virginiana L., fam. Cupressaceae",1.0,0.0
"Ginger (Malaysia) - Zingiber officinale Roscoe, fam. Zingiberaceae",0.0,1.0
