,"Achillea tenuifolia (Iran) flower - Achillea tenuifolia Lam., fam. Asteraceae (Compositae)","Alpinia japonica - Alpinia japonica Miq., fam. Zingiberaceae","Amomum tsao-ko (China) 1 - Amomum tsao-ko Crevost et Lemarie, fam. Zingiberaceae","Armoise (Spain) ssp. valentina - Artemisia herba-alba Asso ssp. valentina (Lam.) Marcl., fam. Asteraceae","Artemisia molinieri - Artemisia molinieri Quezel, Barbero et R. Loisel, fam. Asteraceae (Compos)","Blackcurrant bud, absolute - Ribes nigrum L., fam. Grossulariaceae",Boldo leaf - Boldea fragrans Juss. (Peumus boldus Mol.),"Cachrys sicula (Spain) - Cachrys sicula L., fam. Apiaceae (Umbelliferae)","Cascarilla 1 - Croton eluteria Bennett, fam. Euphorbiaceae","Celery root - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Chamomile, german (Germany) 2, Living Flower - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Cinnamomum angustifolium leaf (Madagascar) - Cinnamomum angustifolium Rafin, fam. Lauraceae","Cinnamomum burmannii (China) 2c branch & leaf - Cinnamomum burmannii Blume (p-cymene type), fam. Lauraceae","Cinnamomum propinquum leaf (Australia) - Cinnamomum propinquum F.M. Bailey, fam. Lauraceae","Espeletia weddellii leaf - Espeletia weddellii Sch. Bip. ex Wedd., fam. Asteraceae (Compositae)","Eucalyptus camaldulensis (Burkina Faso) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eucalyptus camaldulensis (Ethiopia) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eucalyptus camaldulensis (Israel) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eupatorium arnottianum leaf - Eupatorium arnottianum Griseb., fam. Asteraceae (Compositae)","Eupatorium capillifolium (Cuba) - Eupatorium capillifolium (Lam.) Small, fam. Asteraceae (Compositae)","Eupatorium subhastatum leaf - Eupatorium subhastatum (DC.) Baker, fam. Asteraceae (Compositae)","Grapefruit leaf - Citrus paradisi Macfayden, fam. Rutaceae","Ledum palustre (China) - Ledum palustre L. var. angustum N. Busch, fam. Ericaceae","Licaria salicifolia - Licaria salicifolia (Sw.) Kosterm., fam. Lauraceae","Linden blossom flower - Tilia cordata Mill. (Tilia glabra Vent.), fam. Tiliaceae","Mandarin leaf (Petitgrain mandarin.) (Nigeria) - Citrus reticulata Blanco, cultivar Satsuma, fam. Rutaceae","Nigella sativa seed - Nigella sativa L., fam. Ranunculaceae","Ocimum gratissimum (Brazil) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Prangos uechtritzii (Turkey) fruit - Prangos uechtritzii Boiss. et Hausskn., fam. Apiaceae (Umbelliferae)","Rosemary 1b - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Semenovia tragioides (Iran) - Semenovia tragioides (Boiss.) Manden., fam. Apiaceae (Umbelliferae)","Thyme 2 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thymus villosus (Portugal) - Thymus villosus L., ssp. villosus, fam. Lamiaceae (Labiatae)","Turmeric (Bhutan) 1b leaf - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (India) 6 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (Vietnam) 2 leaf - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Yarrow (Greece) - Achillea millefolium L., fam. Asteraceae (Compositae)"
"Cinnamomum propinquum leaf (Australia) - Cinnamomum propinquum F.M. Bailey, fam. Lauraceae",0.5832715507440167,0.5936843217938652,0.6620103260740358,0.5913559681642859,0.08589286670974527,0.5779800749053223,0.6121946867794696,0.589344138193802,0.7424956575164451,0.5573308629895444,0.6101952951834775,0.5809274486204344,0.5687784177784403,1.0,0.6041334877954055,0.4736426621729031,0.536322142577486,0.6832621300298056,0.6370030654403043,0.6378546253154245,0.7324293598571079,0.6030628688668478,0.45760196638489836,0.6211114557304114,0.6603541108356629,0.5900267507131796,0.5538727603623905,0.5853122320809274,0.6570951985601845,0.6673325835417425,0.6704469096352842,0.6679526531736983,0.646198235145558,0.56701616529533,0.6593860428611584,0.5201597224980781,0.24965805130361174
"Espeletia weddellii leaf - Espeletia weddellii Sch. Bip. ex Wedd., fam. Asteraceae (Compositae)",0.5328794151870231,0.5037775480832756,0.5728271187165659,0.5028533235253106,0.04376636646721388,0.5359837353908923,0.5010390914368046,0.5577008396917679,0.6489458324717343,0.4960672003292924,0.5104428608358211,0.7119214381578733,0.4866362287397328,0.6041334877954055,1.0,0.5990891656532703,0.5041736022085425,0.5393445627134947,0.5842773726303474,0.6171191829774074,0.6545536004197708,0.5241220938665517,0.3884478448755849,0.6476722104169708,0.5670852027263049,0.5244955321220115,0.48609387451661523,0.49016545761145836,0.6476913945831868,0.5757033552173845,0.5680669259903108,0.5778437923834492,0.5388634078619801,0.6301066303291027,0.5362176631537365,0.6367367751124668,0.19719194461169975
"Eucalyptus camaldulensis (Burkina Faso) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae",0.4754854601525599,0.5296105009892311,0.5445067413597477,0.4947741164520406,0.0,0.416438886591908,0.47052454839710156,0.4703462825680218,0.523733461035303,0.4240156884549593,0.4396194258641405,0.7251511334364793,0.526793469225816,0.4736426621729031,0.5990891656532703,1.0,0.4283015290151032,0.43223624151525,0.40832722400668264,0.4762817840393272,0.4731167388536981,0.409048268135936,0.31956585861397546,0.5722692724783943,0.48870542738090605,0.49740030832114246,0.3425456071312901,0.351597735369808,0.5760204776205333,0.4566507895395061,0.46237733609977116,0.45877788257852203,0.40173696965248884,0.6962973466386878,0.5122116168340011,0.745182384613201,0.19284857499042696
"Eucalyptus camaldulensis (Ethiopia) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae",0.48544212509429996,0.43226893306855396,0.5422705485907477,0.477909931322844,0.034764360479567435,0.5003509608586386,0.4504408524007819,0.45304519803664,0.5842409844565958,0.4535661133017088,0.47037697548150403,0.515213493217512,0.4041755308173909,0.536322142577486,0.5041736022085425,0.4283015290151032,1.0,0.5581647773319987,0.4612892026132933,0.514694592635544,0.5328598272776106,0.4961938588239092,0.36644131355894927,0.5737080589656687,0.5461799628875763,0.4837397545264416,0.4065660582070283,0.446582338844998,0.6204010113104818,0.5246906782158373,0.5261870333012051,0.5339559491908945,0.47810138490516807,0.4946342484867191,0.4889213936972465,0.46696549448490077,0.18805758998290067
"Eucalyptus camaldulensis (Israel) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae",0.5222945003567585,0.5485182619499138,0.5990759384594209,0.553674209003133,0.06447079030993075,0.5330915704012371,0.5736302829980038,0.5341691949407803,0.6686242740378345,0.5136770289983046,0.5625107771288524,0.5426424881080827,0.5287834542055617,0.6832621300298056,0.5393445627134947,0.43223624151525,0.5581647773319987,1.0,0.5598107098014435,0.5953370554505628,0.6383834757878846,0.5873889896661663,0.41203124124265045,0.5627868811625465,0.6184767530916369,0.5600978315300198,0.4995554676717636,0.5485575159740403,0.6086228436676685,0.6148522794568914,0.6145972409904941,0.6118194184947253,0.6201521721706544,0.5224821644451163,0.6167985946926948,0.47710102309155644,0.22358947194755274
"Eupatorium arnottianum leaf - Eupatorium arnottianum Griseb., fam. Asteraceae (Compositae)",0.5136450705289655,0.525768629496661,0.5486209746104851,0.49119408177806734,0.03719090762826882,0.5317203329801401,0.5505452032691627,0.5857206483050796,0.6310361320628317,0.4940129241827893,0.5553754232705311,0.5288007036446842,0.5203991000325336,0.6370030654403043,0.5842773726303474,0.40832722400668264,0.4612892026132933,0.5598107098014435,1.0,0.5869783400816383,0.7483174191060074,0.5459912955059423,0.3765091470038333,0.5292404194703914,0.5550248875855213,0.519088288569713,0.5470426676607293,0.5530271587437627,0.5768865318093712,0.5747074728550196,0.6130772685234513,0.5802983646262718,0.6145178183814528,0.47488506661014274,0.574539060066118,0.43762861129037056,0.17899470094881087
"Eupatorium capillifolium (Cuba) - Eupatorium capillifolium (Lam.) Small, fam. Asteraceae (Compositae)",0.5310970790241047,0.5279011578227992,0.5919206496349603,0.5294105691899561,0.06184492697515065,0.5377552106918333,0.5401482911601783,0.5273895849155783,0.665639045165,0.5293813120058621,0.5526866325032671,0.6109939673719831,0.4909548760687823,0.6378546253154245,0.6171191829774074,0.4762817840393272,0.514694592635544,0.5953370554505628,0.5869783400816383,1.0,0.6678227936054837,0.5508533640138237,0.4129546149239155,0.618906694534139,0.5980605747954759,0.5465452004030499,0.5065116823089786,0.5438751265772991,0.6226979293759182,0.6047780172800676,0.6142765490641755,0.6169902206629982,0.5822642730263592,0.5843053674849186,0.6008591970769659,0.5629990158993008,0.21413801753558737
"Eupatorium subhastatum leaf - Eupatorium subhastatum (DC.) Baker, fam. Asteraceae (Compositae)",0.6066703845499777,0.598289704332105,0.6597747815787723,0.5772095815966103,0.08253864209242834,0.5873282610347504,0.6090246114302493,0.6296295032501076,0.7579198002242536,0.570907792682712,0.6060870552837843,0.5787010531052715,0.5638410041122104,0.7324293598571079,0.6545536004197708,0.4731167388536981,0.5328598272776106,0.6383834757878846,0.7483174191060074,0.6678227936054837,1.0,0.6208616416861078,0.4475973729725402,0.6324415859427532,0.658662852902981,0.6056617018220982,0.5914380624408502,0.6034233593366145,0.6791541109735288,0.6647708921653048,0.680545468590292,0.6727145470684968,0.6647148110617918,0.5615542266698677,0.652788536364718,0.5202637194728377,0.2379488725005079
"Grapefruit leaf - Citrus paradisi Macfayden, fam. Rutaceae",0.5036314135149842,0.5396429008869688,0.5924315095914243,0.527206009352377,0.051213351967347887,0.5504250649642874,0.5752834816773055,0.5311762926716083,0.6675540906620432,0.5413023738648548,0.522718585653267,0.5207922720444732,0.47915940475549246,0.6030628688668478,0.5241220938665517,0.409048268135936,0.4961938588239092,0.5873889896661663,0.5459912955059423,0.5508533640138237,0.6208616416861078,1.0,0.38993814581363095,0.5478948410623478,0.6367912970880474,0.6517384983209509,0.47614363250094305,0.5098117662411692,0.584835770451991,0.6929420283956755,0.5813633927464845,0.612844218709131,0.5852307691177697,0.5114805887786376,0.5620228624817832,0.45192017600188583,0.20850186600655507
"Ledum palustre (China) - Ledum palustre L. var. angustum N. Busch, fam. Ericaceae",0.41676222077994385,0.3595021445371276,0.4642491786916414,0.4143034707752423,0.00030449714511782133,0.41445247245373296,0.3670198824495833,0.39099438707510537,0.5053851488176881,0.403657500000399,0.39501428534326055,0.38427552623062977,0.3451014479604546,0.45760196638489836,0.3884478448755849,0.31956585861397546,0.36644131355894927,0.41203124124265045,0.3765091470038333,0.4129546149239155,0.4475973729725402,0.38993814581363095,1.0,0.44655979477095753,0.47150698837073113,0.4263027461025244,0.32587838893566234,0.36370015913547893,0.47065112425373556,0.4394031036640572,0.4546744628854392,0.44858757431554364,0.38774964399579104,0.39264779352055135,0.41555337847221796,0.3574628342509193,0.15302505298717173
