,"Acinos suaveolens (Greece) 1 - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Acinos suaveolens (Greece) 2 - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Acinos suaveolens (Yugoslavia) - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Buchu leaf (South Africa) 1b (species) - Agathosma crenulata Pillans, fam. Rutaceae","Calamintha arkansana - Calamintha arkansana (Nutt.) Shinners, fam. Lamiaceae (Labiatae)","Calamintha nepeta (Belgium) - Calamintha nepeta (L.) Savi (Melissa nepeta L.), fam. Lamiaceae (Labiatae)","Calamintha nepeta (Greece) 3 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball,fam. Lamiaceae","Calamintha nepeta (Montenegro) - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Calamintha nepeta (Turkey) 1 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Calamintha nepeta (Turkey) 3 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Hedeoma mandoniana - Hedeoma mandoniana Wedd, fam. Lamiaceae (Labiatae)",Mentha arvensis ssp. agrestis - Mentha arvensis L. ssp agrestis (Sole) Briq.,"Mentha arvensis, Glabrata Ray variety - Mentha arvensis (L.) var. glabrata Ray, fam. Lamiaceae (Labiatae)","Mentha cervina - Mentha cervina L., fam. Lamiaceae (Labiatae)","Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Mentha requienii 2 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Micromeria brownei - Micromeria brownei (Swartz) Benth. var. pilosiuscula Gray, fam. Lamiaceae","Minthostachys andina - Minthostachys andina (Brett) Epling, fam. Lamiaceae (Labiatae)","Minthostachys glabrescens - Minthostachys glabrescens Epling, fam. Lamiaceae (Labiatae)","Minthostachys mollis (Argentina) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)","Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)","Pennyroyal (Argentina) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (Germany) 1a - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (Greece) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 1 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 3 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 4 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Ziziphora clinopodioides (Turkey) 1 - Ziziphora clinopodioides Lam., fam. Lamiaceae (Labiatae)","Ziziphora hispanica - Ziziphora hispanica L., fam. Lamiaceae (Labiatae)","Ziziphora tenuior (Turkey) - Ziziphora tenuior L.(Z.acutifolia Montbret & Aucher ex Bentham), Lamiaceae"
"Mentha cervina - Mentha cervina L., fam. Lamiaceae (Labiatae)",0.2688456671767686,0.28788546383957836,0.002002487332111169,0.40706205149301455,0.3593227780327649,0.3214935249933758,0.4561516516250529,0.6429630216700377,0.772870018640295,0.4356667192797753,0.35955656498480904,0.4355094455060957,0.18832020725691445,1.0,0.2243606899869104,0.3172772121431182,0.3985015718687951,0.3836266063236934,0.46664785284686083,0.396846075802579,0.2487650051058341,0.33889482601517806,0.2570838877252961,0.48989706276868583,0.2575395166388035,0.2912004066837566,0.33828985137592804,0.2608078437324257,0.39448720701908,0.45925256334112063,0.1251972339912667
"Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)",0.708473211866627,0.8465021507803704,0.7216124955047217,0.5789510187544497,0.6817136039330683,0.5150384166972786,0.28566437228949026,0.30423237611812837,0.19845455699744863,0.3544568609879549,0.7414469228079834,0.38297792729715396,0.9023453158686435,0.2243606899869104,1.0,0.8612436272172681,0.485444163865267,0.6869550416145545,0.45334947437642126,0.3390958758146151,0.9090627982680384,0.3904763617541276,0.8831390726509557,0.30038762331250135,0.8914888805069041,0.8097141155603281,0.5704272027820156,0.9152049143430282,0.6467945677932947,0.7270134482323392,0.8465259819825465
"Mentha requienii 2 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)",0.7318494237980818,0.8449623554881289,0.5872826068281681,0.6742099810420514,0.7544619360743705,0.5766129176820067,0.38471082339219254,0.41272620735812815,0.2742894705175185,0.46524856732593045,0.8268438584745266,0.49575398290592,0.7916377823629743,0.3172772121431182,0.8612436272172681,1.0,0.5773544030601594,0.7825326844949066,0.567753391369709,0.4391531110354506,0.8445277038015301,0.47386109017193345,0.8483855249414118,0.4047096180004931,0.8522636719814786,0.8127315243405244,0.6415311203471848,0.8927517008005865,0.7292143308363458,0.7596955783454246,0.7212366958015284
"Micromeria brownei - Micromeria brownei (Swartz) Benth. var. pilosiuscula Gray, fam. Lamiaceae",0.49063619302602757,0.5172849541195785,0.24397080712452224,0.6378877114740955,0.7524228402439801,0.47803118360930463,0.6655831127319968,0.6128223341792031,0.28648993627393515,0.7243347146840069,0.6182470449754784,0.57623988077004,0.4413069635454654,0.3985015718687951,0.485444163865267,0.5773544030601594,1.0,0.6236478263778378,0.7740586445744025,0.6892162265921749,0.5319165599587055,0.6307116027493357,0.532881335678245,0.5313536976965956,0.5511871221010662,0.5984352308906828,0.5202813420036626,0.505158902128028,0.7056871419448756,0.5146094835465396,0.375593816182648
"Minthostachys andina - Minthostachys andina (Brett) Epling, fam. Lamiaceae (Labiatae)",0.6724472136377575,0.725662706913574,0.4266827489021905,0.7499506198615347,0.7291160912529255,0.5950811771649265,0.45275798305492054,0.503215105540331,0.33407458107779753,0.5519236834224126,0.8699462066875371,0.6073666463434603,0.638116488150374,0.3836266063236934,0.6869550416145547,0.7825326844949066,0.6236478263778378,1.0,0.6480544356495623,0.5124407969336935,0.6899299041617846,0.5155326160491236,0.7106801240773434,0.4934624291550581,0.6999458061470464,0.6985752338864775,0.6627393776392776,0.7312645863824716,0.741120345379499,0.7032931432672278,0.5658508218920012
"Minthostachys glabrescens - Minthostachys glabrescens Epling, fam. Lamiaceae (Labiatae)",0.5312420753769698,0.5105012415968052,0.192175992249199,0.6612655254955074,0.71954952825695,0.5670483723803313,0.7240121962532137,0.690561610957225,0.3572064126866755,0.7991023285431881,0.6255421251865538,0.6441949649891383,0.4110136891105943,0.46664785284686083,0.45334947437642126,0.567753391369709,0.7740586445744025,0.6480544356495623,1.0,0.7798017336180648,0.49346725025680416,0.7366112578047941,0.49232968953785106,0.6487071002490887,0.5186803400526905,0.5723037027383098,0.5845972380805877,0.4816336776990082,0.7044318616810865,0.513455148742512,0.32593919725628795
"Minthostachys mollis (Argentina) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)",0.4467425115294398,0.4072988717051993,0.09396300294340865,0.5830874178370682,0.6238974854548192,0.5176156479265668,0.7534657348386299,0.6485685200141431,0.287771227746328,0.7597237150566455,0.4940689218472707,0.5461791250752822,0.3104491791097166,0.396846075802579,0.3390958758146151,0.4391531110354506,0.6892162265921749,0.5124407969336935,0.7798017336180648,1.0,0.3876554712758804,0.7895817332747145,0.3897412358252327,0.6001671057663814,0.4106661441913021,0.48087766073846006,0.49128788493783193,0.3645640737370279,0.6003585972020409,0.3924781409247269,0.22980255680998685
"Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)",0.7080311868253231,0.8365592838553184,0.6914557215445182,0.5961743920768947,0.7362229025924159,0.5246313229588657,0.3413072320436302,0.34532765476501304,0.2136432270916685,0.3995342191510012,0.7441872820964848,0.39448928518319226,0.8754996957269625,0.2487650051058341,0.9090627982680384,0.8445277038015301,0.5319165599587055,0.6899299041617845,0.49346725025680416,0.3876554712758804,1.0,0.4387695373791026,0.8849238472713196,0.333191540227862,0.9482288806315544,0.8729561302498245,0.5754428432663004,0.8587715007161318,0.6833176502605054,0.7284757493004361,0.8142042760986652
"Pennyroyal (Argentina) - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.5372707855105332,0.45565284608646817,0.16721202468766783,0.5343882420513838,0.6644365551012876,0.5986478424503541,0.666494192541111,0.5465569701093282,0.26128166313524925,0.6517171188323747,0.5083735817435076,0.4573117465503419,0.37427070138244545,0.33889482601517806,0.3904763617541276,0.47386109017193345,0.6307116027493357,0.5155326160491236,0.7366112578047941,0.7895817332747145,0.4387695373791026,1.0,0.42635556587385715,0.570215748561312,0.4701911170164996,0.5494914514315463,0.533316368527261,0.40135379658648374,0.6044278009997073,0.414199274034171,0.28081268765692835
"Pennyroyal (Germany) 1a - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.7341727560461746,0.8742915766568078,0.66405119684675,0.6373544506903154,0.7127552013377062,0.5563047232203319,0.3213412926273608,0.348412188099795,0.23004765278266914,0.3953757971443299,0.7588137818375433,0.4387741166674388,0.8655874796431798,0.2570838877252961,0.8831390726509557,0.8483855249414118,0.532881335678245,0.710680124077343,0.49232968953785106,0.3897412358252327,0.8849238472713196,0.42635556587385715,1.0,0.34224542675539926,0.8710437746248529,0.8153584869717428,0.6041509538919856,0.8823455769693471,0.6733411681961516,0.7425571455976672,0.8082457634676739
"Pennyroyal (Greece) - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.42545939498129104,0.3803770942786934,0.056374751122735045,0.5298677455080224,0.4968469334424561,0.5204515851027878,0.6217557969487091,0.7344860484217266,0.4276565325994094,0.6435922094077748,0.46395893847847014,0.5708930422185283,0.2723021495935529,0.48989706276868583,0.30038762331250135,0.4047096180004931,0.5313536976965956,0.4934624291550581,0.6487071002490887,0.6001671057663814,0.333191540227862,0.5702157485613121,0.34224542675539926,1.0,0.3525792505716968,0.39401182947839175,0.492960948352838,0.33731097482095096,0.50679337363652,0.4169243664997453,0.18743646161539318
"Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.7247918817604995,0.8340391713825884,0.6690862853875825,0.5994540480487793,0.7635409992701017,0.543526240072739,0.3647294501799606,0.36042693666727044,0.21975266724449094,0.42189092765204417,0.7535581895582545,0.40797293755064945,0.8591935464311963,0.2575395166388035,0.8914888805069041,0.8522636719814786,0.5511871221010662,0.6999458061470466,0.5186803400526905,0.4106661441913021,0.9482288806315544,0.4701911170164996,0.8710437746248529,0.3525792505716968,1.0,0.9054162914710903,0.5910504739668314,0.8459387140623948,0.7018288094270857,0.7233320533077261,0.7831858613156708
"Pennyroyal 1 - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.7309025319787454,0.7947614331545182,0.6006281692182422,0.6117007305839594,0.8265020851335987,0.574400146194866,0.43232733889202657,0.4065403734006309,0.24506465923914866,0.4741221514408389,0.7432443144093075,0.41858270517013696,0.789506182894118,0.2912004066837566,0.8097141155603281,0.8127315243405244,0.5984352308906828,0.6985752338864777,0.5723037027383098,0.48087766073846006,0.8729561302498245,0.5494914514315463,0.8153584869717428,0.39401182947839175,0.9054162914710903,1.0,0.603071018414393,0.7788861958054736,0.7365961563222577,0.7048239833003485,0.7081683319035668
"Pennyroyal 3 - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.7041586482257882,0.6556225209889335,0.35468286987804076,0.6500307066786668,0.6251622719762921,0.6858171106785722,0.3906071207048849,0.44159109472908353,0.3215870311723129,0.4676935204682653,0.6572950325971679,0.5425119036903969,0.5598027981468707,0.33828985137592804,0.5704272027820156,0.6415311203471848,0.5202813420036626,0.6627393776392776,0.5845972380805877,0.49128788493783193,0.5754428432663004,0.533316368527261,0.6041509538919856,0.492960948352838,0.5910504739668314,0.603071018414393,1.0,0.6062687358233949,0.6126031545070229,0.6031740102427295,0.4774544469372608
"Pennyroyal 4 - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.7258420426474537,0.8682145630428709,0.6604732025686002,0.6322675777334539,0.683411615060092,0.5473243013853126,0.30175916774748457,0.33939950238646255,0.23480817404830945,0.38149163183269896,0.7795752986510635,0.4407053466941063,0.8540248161331772,0.2608078437324257,0.9152049143430282,0.8927517008005865,0.505158902128028,0.7312645863824713,0.4816336776990082,0.3645640737370279,0.8587715007161318,0.40135379658648374,0.8823455769693471,0.33731097482095085,0.8459387140623948,0.7788861958054736,0.6062687358233949,1.0,0.6645943133736631,0.7530579115783353,0.8001557914336076
"Ziziphora clinopodioides (Turkey) 1 - Ziziphora clinopodioides Lam., fam. Lamiaceae (Labiatae)",0.6323530487951337,0.673704717157624,0.40223120408898505,0.6914589358572218,0.8055052240645777,0.5661427530587468,0.5558087114909045,0.546307843370099,0.3128360257185029,0.6249423921284194,0.7501254935366759,0.5530160330808063,0.602530702199153,0.39448720701908,0.6467945677932947,0.7292143308363458,0.7056871419448756,0.741120345379499,0.7044318616810865,0.6003585972020409,0.6833176502605054,0.6044278009997073,0.6733411681961516,0.50679337363652,0.7018288094270857,0.7365961563222577,0.6126031545070229,0.6645943133736631,1.0,0.6530483047676998,0.5317146841672773
"Ziziphora hispanica - Ziziphora hispanica L., fam. Lamiaceae (Labiatae)",0.6671372317462434,0.7695949855645282,0.5234707932359828,0.6333543107456159,0.6518958254262913,0.5569313372615483,0.3639584245969816,0.45744619115531127,0.4565858180840905,0.4145543444461871,0.7285704961700092,0.48163668126893444,0.7000736006280724,0.45925256334112063,0.7270134482323392,0.7596955783454246,0.5146094835465396,0.7032931432672278,0.513455148742512,0.3924781409247269,0.7284757493004361,0.414199274034171,0.7425571455976672,0.4169243664997452,0.7233320533077261,0.7048239833003485,0.6031740102427295,0.7530579115783353,0.6530483047676998,1.0,0.6458723168668246
"Ziziphora tenuior (Turkey) - Ziziphora tenuior L.(Z.acutifolia Montbret & Aucher ex Bentham), Lamiaceae",0.6324738500704812,0.7669292814549526,0.8292203918537919,0.48549863121578285,0.5666403068093404,0.43227746561788294,0.16856936673534362,0.19005077570814488,0.11348042853398199,0.2323266716531147,0.6194232714335517,0.27687576868858277,0.8811903520096193,0.1251972339912667,0.8465259819825465,0.7212366958015284,0.375593816182648,0.5658508218920013,0.32593919725628806,0.22980255680998685,0.8142042760986652,0.28081268765692835,0.8082457634676739,0.18743646161539318,0.7831858613156708,0.7081683319035668,0.4774544469372608,0.8001557914336076,0.5317146841672773,0.6458723168668246,1.0
