,"Horseradish - Armoracia lapathifolia Gilib., fam. Brassicaceae (Cruciferae)","Mustard seed (China) 2 - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)"
"Horseradish - Armoracia lapathifolia Gilib., fam. Brassicaceae (Cruciferae)",1.0,0.0
"Mustard seed (China) 2 - Brassica juncea (L.) Czern. et Coss., fam. Brassicaceae (Crucifereae)",0.0,1.0
