,"Ageratum conyzoides (China) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum conyzoides (Vietnam) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum conyzoides flower (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum conyzoides flower (Pakistan) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum conyzoides leaf and stem (Pakistan) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum conyzoides plant 1 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum conyzoides plant 2 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)","Ageratum houstonianum (India) - Ageratum houstonianum Mill., fam. Asteraceae (Compositae)","Simaba moiana (Brazil) - Simaba moiana Casar, fam. Simaroubaceae"
"Ageratum conyzoides (China) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",1.0,0.46914388921254147,0.0348611106377118,0.5325755973339377,0.5676861495503399,0.19215957344175816,0.02293054108414283,0.7120351926613382,0.40391190063361626
"Ageratum conyzoides (Vietnam) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.4691438892125416,1.0,0.42704239478980455,0.7312006451985904,0.6794204552180021,0.5430442733950256,0.41100632214075306,0.7008154245958822,0.3717125927859186
"Ageratum conyzoides flower (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.0348611106377118,0.42704239478980455,1.0,0.48033210982560914,0.4291811786975752,0.8065118420605325,0.911274002331953,0.27830876365316704,0.04179063391488447
"Ageratum conyzoides flower (Pakistan) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.5325755973339377,0.7312006451985904,0.48033210982560914,1.0,0.8942991268274395,0.6369313669574406,0.4643983354560379,0.7658416067145011,0.40882010310145167
"Ageratum conyzoides leaf and stem (Pakistan) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.5676861495503399,0.6794204552180021,0.4291811786975752,0.8942991268274395,1.0,0.5973797970803214,0.40967870148925756,0.7881276942471691,0.4574016248647096
"Ageratum conyzoides plant 1 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.19215957344175816,0.5430442733950256,0.8065118420605325,0.6369313669574406,0.5973797970803214,1.0,0.7834758411504938,0.43546322206952726,0.1885449883408592
"Ageratum conyzoides plant 2 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)",0.02293054108414283,0.41100632214075306,0.911274002331953,0.4643983354560379,0.40967870148925756,0.7834758411504938,1.0,0.2607324037033977,0.0
"Ageratum houstonianum (India) - Ageratum houstonianum Mill., fam. Asteraceae (Compositae)",0.7120351926613382,0.7008154245958822,0.27830876365316704,0.7658416067145011,0.7881276942471691,0.43546322206952726,0.2607324037033977,1.0,0.5086399098386625
"Simaba moiana (Brazil) - Simaba moiana Casar, fam. Simaroubaceae",0.40391190063361626,0.3717125927859186,0.04179063391488447,0.40882010310145167,0.4574016248647096,0.1885449883408592,0.0,0.5086399098386625,1.0
