,"Decalepis hamiltonii root (India) - Decalepis hamiltonii (Wight & Arn), fam. Asclepiadaceae","Hemidesmus indicus - Hemidesmus indicus R.Br., fam. Asclepiadaceae"
"Decalepis hamiltonii root (India) - Decalepis hamiltonii (Wight & Arn), fam. Asclepiadaceae",1.0,0.0
"Hemidesmus indicus - Hemidesmus indicus R.Br., fam. Asclepiadaceae",0.0,1.0
