,"Swangi (Citrus hystrix) leaf (Thailand) 2b - Citrus hystrix DC (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) twig (Thailand) 2e - Citrus hystrix DC (Swangi), fam. Rutaceae"
"Swangi (Citrus hystrix) leaf (Thailand) 2b - Citrus hystrix DC (Swangi), fam. Rutaceae",1.0,0.0
"Swangi (Citrus hystrix) twig (Thailand) 2e - Citrus hystrix DC (Swangi), fam. Rutaceae",0.0,1.0
