,"Citronella java 4a headspace of oil - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Eucalyptus citriodora (Australia) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Bangladesh) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Benin) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Benin) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (China) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (China) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Congo) - Eucalyptys citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Ethiopia) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (India) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (India) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Madagascar) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Morocco) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Spain) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora 1a - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora 1b - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Litsea cubeba (India) 2c fruit - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba fruit 2 - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Swangi (Citrus hystrix) leaf (China) - Citrus hystrix Dc (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) leaf (Madagascar) - Citrus hystrix DC (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) leaf (Malaysia) - Citrus hystrix DC (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) leaf (Thailand) 1 - Citrus hystrix DC (Swangi), fam. Rutaceae"
"Eucalyptus citriodora (India) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.2864399195600815,0.7828411949490762,0.758679677691688,0.5698371770766524,0.9118137420550113,0.6885879140938623,0.8175599780823248,0.7644418437557594,0.7423446445207162,0.6890367434842237,1.0,0.5649472127707285,0.3423656514765936,0.13234478120357873,0.7430968611077279,0.782821651588335,0.48512535430982784,0.7822494802997504,0.8272746023663735,0.4379734929793744,0.8338941581295521,0.6066981499325732
"Eucalyptus citriodora (Madagascar) - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.34125422875642886,0.5139431972483832,0.5635850716978398,0.5350179663084296,0.5541109568863917,0.5638155914133332,0.4536880764448845,0.6802680437688167,0.5243248215244651,0.5641488100566379,0.5649472127707281,1.0,0.6297422886422168,0.2944387228660894,0.5914605142080004,0.5139312678851102,0.5356467867756067,0.5387462692070895,0.6202301224223725,0.6289221510734273,0.47300330587237005,0.7474981046580442
"Eucalyptus citriodora (Morocco) - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.3650389670924299,0.29614074989384864,0.37224927021159915,0.5490517415701761,0.35457642163892134,0.4984240731051218,0.20682597755518473,0.5107178652047395,0.4276950278043098,0.4986995127411903,0.3423656514765938,0.6297422886422168,1.0,0.42693695838853274,0.37278032620749313,0.2961091573020681,0.5953224491442044,0.40228270862952986,0.4078685982219815,0.5941568725796738,0.26709823101251173,0.6327188495978949
"Eucalyptus citriodora (Spain) - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.2813724767435899,0.1989850268004938,0.22950390747213423,0.33771982228446507,0.1339710673128176,0.2724664531207087,0.0,0.27173387244202074,0.2393266366226665,0.27259468231358197,0.13234478120357873,0.2944387228660894,0.42693695838853274,1.0,0.17186922910161206,0.1988826448007215,0.43495536963607795,0.20850549249524009,0.16165956185472596,0.4019596646295822,0.06613243515813971,0.3443400067864264
"Eucalyptus citriodora 1a - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.29521687000713015,0.6533481312214197,0.6802840293640302,0.5034320242525046,0.7024828447341447,0.6331666224774223,0.6397505261921828,0.7416508374941791,0.6245036184417274,0.6335759506493159,0.7430968611077279,0.5914605142080007,0.3727803262074929,0.17186922910161206,1.0,0.6533350258382826,0.4804961411444504,0.6756204041540982,0.7136057087971182,0.4500799360954785,0.6719652960698981,0.580668912995169
"Eucalyptus citriodora 1b - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.24242712200337013,0.9967564150518242,0.7583134682337097,0.49937572958610554,0.7641624821043551,0.6052890770718171,0.7334830318568457,0.6727244303789781,0.6432124411758864,0.6056694663651463,0.782821651588335,0.5139312678851105,0.2961091573020679,0.1988826448007215,0.6533350258382826,1.0,0.43606325753769126,0.6885028890501603,0.7295734823706418,0.403565709742042,0.7369954818122124,0.546944262718509
"Litsea cubeba (India) 2c fruit - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae",0.5596141788703954,0.4361535771090611,0.514996718522664,0.6639479634750419,0.4936227899971355,0.6582667708491918,0.34049839817084016,0.612984802674628,0.5955692107990089,0.6586886868450798,0.48512535430982784,0.5356467867756067,0.5953224491442044,0.43495536963607795,0.4804961411444504,0.43606325753769126,1.0,0.6039227457531082,0.5274710394454509,0.6203285917543163,0.43338025084079745,0.6374796630346722
"Litsea cubeba fruit 2 - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae",0.3725968898388424,0.6885575864716525,0.7389092694126024,0.6121987927781983,0.8000528921648653,0.8310532979431149,0.6803998787017386,0.7660923071507713,0.7473514862558713,0.8319037331375697,0.7822494802997504,0.5387462692070899,0.40228270862952953,0.20850549249524009,0.6756204041540982,0.6885028890501603,0.6039227457531082,1.0,0.7935877714210959,0.4567229023701612,0.7948096010020196,0.5903336480723611
"Swangi (Citrus hystrix) leaf (China) - Citrus hystrix Dc (Swangi), fam. Rutaceae",0.30278054560180234,0.7295863035181875,0.7517603766140413,0.5500888210557296,0.8265589984295976,0.7339255901980521,0.7433499143838929,0.7804079433563397,0.6756996553579488,0.7344451852499749,0.8272746023663735,0.620230122422373,0.40786859822198174,0.16165956185472596,0.7136057087971182,0.7295734823706418,0.5274710394454509,0.7935877714210959,1.0,0.49576869374811894,0.7930379691017689,0.6499130244827813
"Swangi (Citrus hystrix) leaf (Madagascar) - Citrus hystrix DC (Swangi), fam. Rutaceae",0.39162527935221425,0.4035761332143082,0.4635468823908695,0.5261358889345056,0.41976880348797985,0.4766996991371003,0.2987046467750877,0.5693564882518743,0.4630265290272274,0.4769865566152893,0.43797349297937405,0.6289221510734273,0.5941568725796738,0.4019596646295822,0.45007993609547814,0.40356570974204176,0.6203285917543163,0.45672290237016144,0.4957686937481186,1.0,0.34380518484265055,0.729261099469608
"Swangi (Citrus hystrix) leaf (Malaysia) - Citrus hystrix DC (Swangi), fam. Rutaceae",0.23332629057767074,0.7369777540204461,0.7323204846250022,0.479177713096422,0.8313669007874184,0.6839740628832124,0.840958685352698,0.6924598453196702,0.6555234209282361,0.6844492909079836,0.8338941581295521,0.4730033058723704,0.2670982310125116,0.06613243515813971,0.6719652960698981,0.7369954818122124,0.43338025084079745,0.7948096010020196,0.7930379691017689,0.3438051848426502,1.0,0.49111783920872565
"Swangi (Citrus hystrix) leaf (Thailand) 1 - Citrus hystrix DC (Swangi), fam. Rutaceae",0.3970128273943482,0.5469524432564048,0.5853978077317976,0.6817120286358032,0.6040454658851193,0.6180230338979129,0.4580210629136938,0.702808515403853,0.6414820570227133,0.6184161170719005,0.6066981499325732,0.7474981046580442,0.6327188495978949,0.3443400067864264,0.580668912995169,0.546944262718509,0.6374796630346722,0.5903336480723611,0.6499130244827813,0.729261099469608,0.49111783920872565,1.0
