,"Artemisia roxburghiana (Himalaya) - Artemisia roxburghiana Wall. ex Bies, var. hypolenca, fam. Asteraceae","Cedarleaf 4 - Thuja occidentalis L., fam. Taxodiaceae","Tansy (Argentina) - Tanacetum vulgare L., fam. Asteraceae (Compositae)","Tansy (Belgium) - Tanacetum vulgare L., fam. Asteraceae (Compositae)","Tansy (Canada) 1 - Tanacetum vulgare L., fam. Asteraceae (Compositae)","Tansy (Finland) 1a - Tanacetum vulgare L. thujone chemotype, fam. Asteraceae (Compositae)","Tansy (Netherlands) 3a leaf - Tanacetum vulgare L. beta-thujone chemotype, fam. Asteraceae (Compositae)","Tansy (Netherlands) 3b flower - Tanacetum vulgare L. beta-thujone chemotype, fam. Asteraceae (Compositae)","Wormwood (Mugwort) (Germany) - Artemisia absinthium L., fam. Asteraceae (Compositae)"
"Artemisia roxburghiana (Himalaya) - Artemisia roxburghiana Wall. ex Bies, var. hypolenca, fam. Asteraceae",1.0,0.6723388557530194,0.47712016191993545,0.4797249720428505,0.41382822429647503,0.6570878296608869,0.744842544011566,0.6579283509805927,0.38241810485185146
"Cedarleaf 4 - Thuja occidentalis L., fam. Taxodiaceae",0.6723388557530194,1.0,0.2320062783884711,0.5101618996418404,0.439084210513478,0.4057489766744763,0.5618335679687664,0.4479878967097751,0.43662398262233115
"Tansy (Argentina) - Tanacetum vulgare L., fam. Asteraceae (Compositae)",0.47712016191993567,0.2320062783884712,1.0,0.09766464641439987,0.05385632236279958,0.7701040622866948,0.4905846027181905,0.6134574459199394,0.0
"Tansy (Belgium) - Tanacetum vulgare L., fam. Asteraceae (Compositae)",0.4797249720428505,0.5101618996418404,0.09766464641439998,1.0,0.3864366035712121,0.2673213904176628,0.4752538529075695,0.350479623636595,0.352788058144047
"Tansy (Canada) 1 - Tanacetum vulgare L., fam. Asteraceae (Compositae)",0.41382822429647503,0.439084210513478,0.05385632236279969,0.3864366035712121,1.0,0.21853810886011737,0.39644538288072406,0.29351026030336447,0.3054757142034906
"Tansy (Finland) 1a - Tanacetum vulgare L. thujone chemotype, fam. Asteraceae (Compositae)",0.6570878296608873,0.40574897667447607,0.7701040622866948,0.2673213904176627,0.21853810886011737,1.0,0.6642342263431653,0.738480026028073,0.1691450079578467
"Tansy (Netherlands) 3a leaf - Tanacetum vulgare L. beta-thujone chemotype, fam. Asteraceae (Compositae)",0.744842544011566,0.5618335679687664,0.49058460271819027,0.4752538529075695,0.39644538288072406,0.6642342263431649,1.0,0.7919195647085626,0.3203727294153803
"Tansy (Netherlands) 3b flower - Tanacetum vulgare L. beta-thujone chemotype, fam. Asteraceae (Compositae)",0.6579283509805924,0.4479878967097749,0.6134574459199394,0.350479623636595,0.29351026030336447,0.738480026028073,0.7919195647085632,1.0,0.2104973461100933
"Wormwood (Mugwort) (Germany) - Artemisia absinthium L., fam. Asteraceae (Compositae)",0.38241810485185146,0.43662398262233115,2.220446049250313e-16,0.352788058144047,0.3054757142034906,0.1691450079578467,0.3203727294153803,0.2104973461100933,1.0
