,"Abies semenovii - Abies semenovii L., fam. Pinaceae","Astronium urundeuva (Brazil) - Astronium urundeuva (Allemao) Engl., fam. Anacardiaceae","False acacia flower (Black locust flower) 2 - Robinia pseudoacacia L. (False acacia) (Black locust), fam. Leguminosae","Lepechinia urbanii - Lepechinia urbanii (Briq.) Epling, fam. Lamiaceae (Labiatae)","Mango (India) 1a cv. Langra - Mangifera indica L. cv. Langra, fam. Anacardiaceae","Pepper, black (variety Muntok) - Piper nigrum L., variety Muntok, fam. Piperaceae","Pepper, black 8 - Piper nigrum L., fam. Piperaceae","Pinus sylvestris 3 - Pinus sylvestris L. (Scotch pine), fam. Pinaceae","Pistacia lentiscus (Egypt) leaf - Pistacia lentiscus L., fam. Anacardiaceae"
"Abies semenovii - Abies semenovii L., fam. Pinaceae",1.0,0.3382100966500161,0.33746261588770665,0.3923747558300954,0.512960541736428,0.3408692733184365,0.3061939125976031,0.5063260946592139,0.411448241748555
"Astronium urundeuva (Brazil) - Astronium urundeuva (Allemao) Engl., fam. Anacardiaceae",0.3382100966500161,1.0,0.3590729834384585,0.043389502742883335,0.582988541132494,0.05362942300013329,0.06861507511306197,0.24479048999114372,0.7695634241431245
"False acacia flower (Black locust flower) 2 - Robinia pseudoacacia L. (False acacia) (Black locust), fam. Leguminosae",0.33746261588770665,0.3590729834384585,1.0,0.1299503212337224,0.43108636445250526,0.008616259095825085,0.0,0.2165370159361215,0.39725344733768786
"Lepechinia urbanii - Lepechinia urbanii (Briq.) Epling, fam. Lamiaceae (Labiatae)",0.3923747558300954,0.043389502742883335,0.1299503212337224,1.0,0.2534405066553933,0.1606013753481076,0.12257435490558788,0.25007062955536286,0.08899596311531677
"Mango (India) 1a cv. Langra - Mangifera indica L. cv. Langra, fam. Anacardiaceae",0.512960541736428,0.582988541132494,0.43108636445250526,0.2534405066553933,1.0,0.15302493618585777,0.14710871107682555,0.3542213346518318,0.6254110205189657
"Pepper, black (variety Muntok) - Piper nigrum L., variety Muntok, fam. Piperaceae",0.3408692733184365,0.05362942300013329,0.008616259095825085,0.1606013753481076,0.15302493618585777,1.0,0.9065815656185695,0.26589003700907654,0.04293984339987944
"Pepper, black 8 - Piper nigrum L., fam. Piperaceae",0.3061939125976031,0.06861507511306197,0.0,0.12257435490558788,0.14710871107682555,0.9065815656185687,1.0,0.21889470936213284,0.052785054338644555
"Pinus sylvestris 3 - Pinus sylvestris L. (Scotch pine), fam. Pinaceae",0.5063260946592139,0.24479048999114372,0.2165370159361215,0.25007062955536286,0.3542213346518318,0.26589003700907654,0.21889470936213284,1.0,0.2438994111731856
"Pistacia lentiscus (Egypt) leaf - Pistacia lentiscus L., fam. Anacardiaceae",0.411448241748555,0.7695634241431245,0.39725344733768786,0.08899596311531677,0.6254110205189657,0.04293984339987955,0.052785054338644555,0.2438994111731856,1.0
