,"Cinnamomum septentrionale (China) - Cinnamomum septentrionale Hand.-Mazz., fam Lauraceae","Melaleuca leucadendra (Australia) 2 - Melaleuca leucadendra L., fam. Myrtaceae"
"Cinnamomum septentrionale (China) - Cinnamomum septentrionale Hand.-Mazz., fam Lauraceae",1.0,0.0
"Melaleuca leucadendra (Australia) 2 - Melaleuca leucadendra L., fam. Myrtaceae",0.0,1.0
