,beta-Caryophyllene,delta-Cadinene,alpha-Humulene,Terpinolene,Linalool,Terpinen-4-ol,alpha-Copaene,"1,8-Cineole",Germacrene D,delta-Elemene,alpha-Gurjunene,Methyl eugenol,Methyl chavicol,(E)-beta-Ocimene,"Cadina-1,4-diene",alpha-Cubebene,allo-Aromadendrene,Anethole,Bicyclogermacrene,(Z)-Methyl isoeugenol,Elemicin,(E)-Methyl isoeugenol,Calamenene,alpha-Elemene
"Melaleuca bracteata leaf (Egypt) - Melaleuca bracteata F. Muell., fam. Myrtaceae",0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.977,0.003,0.0,0.0,0.0,0.0001,0.001,0.0,0.0,0.003,0.0,0.0,0.002
"Melaleuca leucadendra (Australia) 1 - Melaleuca leucadendra L., fam. Myrtaceae",0.001,0.0008,0.0001,0.0,0.0001,0.017,0.0001,0.0,0.0003,0.0001,0.0001,0.974,0.0,0.0045,0.0005,0.0001,0.0,0.0,0.0004,0.0007,0.0,0.002,0.0032,0.0
