,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,beta-Caryophyllene,Tricyclene,Myrcene,Terpinolene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Geraniol,alpha-Copaene,Benzaldehyde,Nerol,Thymol,Carvacrol,"1,8-Cineole",Caryophyllene oxide,trans-Carveol,Eugenol,gamma-Muurolene,Methyl eugenol,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,Verbenone,Humulene oxide,Chrysanthenone,"alpha,p-Dimethylstyrene",Piperitenone,Methyl isoeugenol,Methyl thymol,Caryophyllene alcohol,trans-alpha-Santalol,14-Hydroxy-9-epi-beta-caryophyllene
"Rosemary (Italy) 15 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.035,0.005,0.196,0.009,0.038,0.015,0.1,0.011,0.002,0.012,0.01,0.012,0.005,0.005,0.123,0.032,0.005,0.01,0.003,0.126,0.005,0.009,0.0001,0.008,0.004,0.005,0.13,0.003,0.004,0.004,0.0001,0.004,0.002,0.0001,0.0001,0.009,0.003,0.003,0.002,0.004,0.0,0.028,0.0,0.006,0.005
"Rosemary 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.035,0.004,0.196,0.009,0.038,0.015,0.1,0.011,0.002,0.012,0.01,0.012,0.005,0.004,0.123,0.032,0.003,0.01,0.003,0.126,0.003,0.009,0.0001,0.007,0.002,0.002,0.13,0.002,0.001,0.001,0.0001,0.001,0.002,0.0001,0.0001,0.009,0.001,0.003,0.002,0.001,0.001,0.028,0.002,0.003,0.0
