,Benzaldehyde,Benzyl alcohol,Benzoic acid,Hydrocyanic acid
"Almond - Prunus dulcis (Miller) D.A. Webb (P. amygdalus Batsch, P. communis L.)",0.95,0.005,0.005,0.03
"Apricot kernel - Prunus armeniaca L., fam. Rosaceae",0.95,0.0,0.0,0.03
