,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,beta-Caryophyllene,Myrcene,Sabinene,Piperitone,"1,8-Cineole",trans-Sabinene hydrate,Germacrene D,Menthol,(E)-beta-Ocimene,(Z)-beta-Ocimene,beta-Bourbonene,Pulegone,Menthone,Isomenthone,Isomenthol,Neomenthol,Menthofuran,Menthyl acetate
"Cornmint (Mentha arvensis) Japan 3 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.007,0.012,0.004,0.0,0.0,0.009,0.0,0.0,0.017,0.004,0.0001,0.011,0.71,0.0,0.0,0.0,0.012,0.12,0.028,0.0,0.023,0.006,0.024
"Mentha x verticillata (chemotype I) - Mentha x verticillata L. (Chemotype I), fam. Lamiaceae (Labiatae)",0.0181,0.0034,0.0021,0.0001,0.0001,0.0064,0.0038,0.0014,0.0105,0.001,0.0,0.0156,0.6976,0.0014,0.0016,0.0016,0.0033,0.1372,0.0346,0.0012,0.0121,0.002,0.0156
