Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_389,BitInterpretations,Concentration
Mimusops elengi,1,DOI:10.3389/fvets.2023.1188752,OCCC1=CC=CC=C1,2-Phenylethanol,1,"[(7, 'C', 2, 'ccccc')]",0.378
Elaeagnus angustifolia,1,DOI:10.3390/molecules25092021,OCCC1=CC=CC=C1,2-Phenylethanol,1,"[(18, 'O', 1, 'CO')]",0.0935
Catharanthus roseus,0,No Reference,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,1,"[(16, 'O', 1, 'CO')]",0.649
Melicocca bijuga,0,No Reference,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,1,"[(16, 'O', 1, 'CO')]",0.302
Averrhoa bilimbi,1,DOI:10.4103/0975-7406.199342,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,1,"[(18, 'O', 1, 'CO')]",0.204
Psidium guajava,0,DOI:10.1155/2013/746165,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,1,"[(16, 'O', 1, 'CO')]",0.12
Rheum palmatum,1,10.25141/2471-7371-2015-1.0001,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,1,"[(16, 'O', 1, 'CO')]",0.225
Spartium junceum,0,DOI:10.1186/s12941-020-00371-1,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,1,"[(16, 'O', 1, 'CO')]",0.14
Spartium junceum,0,DOI:10.1186/s12941-020-00371-1,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,Linolenic acid,1,"[(16, 'O', 1, 'CO')]",0.09
Osmanthus fragrans,0,No Reference,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,Linolenic acid,1,"[(18, 'O', 1, 'CO')]",0.174
Mimusops elengi,1,DOI:10.3389/fvets.2023.1188752,COC(=O)C1=CC=CC=C1,Methyl benzoate,1,"[(7, 'C', 2, 'ccccc')]",0.134
Narcissus jonquilla,0,No Reference,COC(=O)C1=CC=CC=C1,Methyl benzoate,1,"[(7, 'C', 2, 'ccccc')]",0.234
