Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1386,BitInterpretations,Concentration
Salvia officinalis,1,DOI:10.1016/j.meatsci.2011.11.026,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.2245
Salvia lavandulaefolia,1,DOI:10.1007/s13197-017-2905-0,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.126
Rosmarinus officinalis,1,DOI:10.1016/J.LWT.2017.05.075,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.126
Picea engelmanni,0,No Reference,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.1272
Lavandula latifolia,0,No Reference,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.235
Achillea millefolium,0,DOI:10.3390/medicines4020030,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.1085
Cinnamomum camphora,1,DOI:10.1111/lam.13610. Epub 2021 Dec 1.,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.8387
Artemisia alba,0,No Reference,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(3, 'C', 1, 'CC(=O)O'), (39, 'C', 1, 'CC(=O)O')]",0.211
Citrus reticulata,0,DOI:10.3390/molecules26113412,[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,Sabinene,1,"[(3, 'C', 1, 'CC(=O)O'), (22, 'C', 1, 'CC(=O)O'), (44, 'C', 1, 'CC(=O)O')]",0.3909
Litsea cubeba,1,DOI:10.1080/14786419.2018.1557177,[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,Sabinene,1,"[(3, 'C', 1, 'CC(=O)O'), (22, 'C', 1, 'CC(=O)O'), (44, 'C', 1, 'CC(=O)O')]",0.6236
Peucedanum petiolare,0,No Reference,[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,Sabinene,1,"[(3, 'C', 1, 'CC(=O)O'), (22, 'C', 1, 'CC(=O)O'), (44, 'C', 1, 'CC(=O)O')]",0.578
Cupressocyparis leylandii,0,No Reference,[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,Sabinene,1,"[(3, 'C', 1, 'CC(=O)O'), (22, 'C', 1, 'CC(=O)O'), (44, 'C', 1, 'CC(=O)O')]",0.157
