Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_549,BitInterpretations,Concentration
Neolitsea brassii,0,No Reference,CC1=CCCC(=CC2C(C2(C)C)CC1)C,Bicyclogermacrene,1,"[(9, 'C', 1, 'CC(C)(C)C')]",0.126
Neolitsea australiensis,0,No Reference,CC1=CCCC(=CC2C(C2(C)C)CC1)C,Bicyclogermacrene,1,"[(9, 'C', 1, 'CC(C)(C)C')]",0.12
Cupressocyparis leylandii,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.1
Larix decidua,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.3834
Picea engelmanni,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.0958
Pinus nigra,0,DOI:10.1504/ijewm.2013.055590,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.4849
Chaerophyllum macrospermum,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.194
Calyptranthes sintenisii,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.1248
Pinus halepensis,0,DOI:10.1016/s2222-1808(14)60323-6,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.158
Pinus pinaster,0,DOI:10.1504/ijewm.2013.055590,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.71
Angelica archangelica,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.1814
Pinus sibirica,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.572
Pinus sylvestris,0,DOI:10.1504/ijewm.2013.055590,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.281
Abies nordmannia,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.3409
Nigella sativa,0,DOI:10.1016/0378-8741(91)90047-h,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.093
Abies balsamea,0,DOI:10.3390/f10111042,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.1027
Pinus mugo,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.275
Ferula galbaniflua,0,No Reference,CC1=CCC2CC1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.138
Piper nigrum,1,DOI:10.3389/fvets.2023.1188752,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.0963
Abies balsamea,0,DOI:10.3390/f10111042,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.2353
Pinus nigra,0,DOI:10.1504/ijewm.2013.055590,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.0957
Croton zambesicus,0,No Reference,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.189
Calyptranthes sintenisii,0,No Reference,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.1799
Pinus pinaster,0,DOI:10.1504/ijewm.2013.055590,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.26
Abies nordmannia,0,No Reference,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.1658
Abies borisii-regis,0,No Reference,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.114
Ferula galbaniflua,0,No Reference,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.599
Citrus sinensis,0,DOI:10.3390/molecules26113412,CC1(C2CCC(=C)C1C2)C,beta-Pinene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.13
Pinus mugo,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.162
Pinus sylvestris,0,DOI:10.1504/ijewm.2013.055590,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.237
Pinus halepensis,0,DOI:10.1016/s2222-1808(14)60323-6,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.156
Ferula galbaniflua,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.196
Mangifera indica,0,DOI:10.1007/s13197-020-04816-5,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.289
Lepechinia urbanii,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.3255
Cupressocyparis leylandii,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.163
Chaerophyllum macrospermum,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.183
Astronium urundeuva,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.672
Angelica archangelica,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.0963
Abies semenovii,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.44
Abies nordmannia,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.1878
Abies balsamea,0,DOI:10.3390/f10111042,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.3093
Peucedanum petiolare,0,No Reference,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(7, 'C', 1, 'CC(C)(C)C')]",0.362
Piper nigrum,1,DOI:10.3389/fvets.2023.1188752,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,1,"[(1, 'C', 1, 'CC(C)(C)C')]",0.1904
