Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_171,BitInterpretations,Concentration
Lepechinia urbanii,0,No Reference,[H][C@@]12C3C(C)=CC[C@]1([H])[C@]3(C)CC[C@H]2C(C)C,alpha-Copaene,1,"[(2, 'C', 1, 'C=C(C)C')]",0.1382
Rheum palmatum,1,10.25141/2471-7371-2015-1.0001,[H][C@@]12C3C(C)=CC[C@]1([H])[C@]3(C)CC[C@H]2C(C)C,alpha-Copaene,1,"[(2, 'C', 1, 'C=C(C)C')]",0.098
Amorpha fruticosa,0,No Reference,CC1=CCC[C@]2(C)CC[C@H](CC12)C(C)(C)O,alpha-Eudesmol,1,"[(1, 'C', 1, 'C=C(C)C')]",0.158
Pinus sibirica,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.572
Pinus pinaster,0,DOI:10.1504/ijewm.2013.055590,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.71
Pinus nigra,0,DOI:10.1504/ijewm.2013.055590,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.4849
Pinus mugo,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.275
Pinus halepensis,0,DOI:10.1016/s2222-1808(14)60323-6,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.158
Picea engelmanni,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.0958
Abies nordmannia,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.3409
Nigella sativa,0,DOI:10.1016/0378-8741(91)90047-h,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.093
Larix decidua,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.3834
Ferula galbaniflua,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.138
Cupressocyparis leylandii,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.1
Chaerophyllum macrospermum,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.194
Calyptranthes sintenisii,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.1248
Angelica archangelica,0,No Reference,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.1814
Pinus sylvestris,0,DOI:10.1504/ijewm.2013.055590,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.281
Abies balsamea,0,DOI:10.3390/f10111042,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,1,"[(1, 'C', 1, 'C=C(C)C')]",0.1027
